event,found,delta_s,delta_w,n_hits,reason
1466.0,False,,,26,no valid outer-layer seed pairs
1487.0,False,,,23,no valid outer-layer seed pairs
1488.0,False,,,23,no exact8 plane survived
1493.0,False,,,25,no valid outer-layer seed pairs
1503.0,False,,,29,no valid outer-layer seed pairs
1505.0,False,,,34,no valid outer-layer seed pairs
1518.0,True,0.018402953735763287,4.4189331508120375,23,
1545.0,False,,,23,no exact8 plane survived
1549.0,False,,,28,no valid outer-layer seed pairs
1554.0,False,,,32,no valid outer-layer seed pairs
1598.0,False,,,21,no valid outer-layer seed pairs
1630.0,False,,,25,no exact8 plane survived
1631.0,False,,,21,no valid outer-layer seed pairs
1655.0,False,,,26,no exact8 plane survived
1684.0,False,,,23,no valid outer-layer seed pairs
1687.0,False,,,22,no valid outer-layer seed pairs
1691.0,False,,,24,no valid outer-layer seed pairs
1709.0,False,,,23,no exact8 plane survived
1728.0,False,,,22,no valid outer-layer seed pairs
1738.0,False,,,29,no valid outer-layer seed pairs
1777.0,False,,,25,no valid outer-layer seed pairs
1791.0,False,,,25,no exact8 plane survived
1796.0,False,,,27,no valid outer-layer seed pairs
1799.0,False,,,24,no valid outer-layer seed pairs
1802.0,False,,,23,no valid outer-layer seed pairs
1813.0,False,,,26,no valid outer-layer seed pairs
1836.0,False,,,25,no valid outer-layer seed pairs
1838.0,False,,,25,no exact8 plane survived
1840.0,False,,,20,no valid outer-layer seed pairs
1866.0,False,,,22,no exact8 plane survived
1883.0,False,,,25,no valid outer-layer seed pairs
1886.0,False,,,26,no valid outer-layer seed pairs
1902.0,True,0.010513307586568321,3.7274124121649352,24,
1913.0,False,,,27,no valid outer-layer seed pairs
1914.0,False,,,29,no exact8 plane survived
1918.0,False,,,22,no exact8 plane survived
1975.0,False,,,21,no valid outer-layer seed pairs
1980.0,False,,,22,no exact8 plane survived
1981.0,False,,,25,no exact8 plane survived
1983.0,False,,,24,no exact8 plane survived
1989.0,False,,,20,no valid outer-layer seed pairs
1992.0,False,,,31,no valid outer-layer seed pairs
2009.0,False,,,27,no exact8 plane survived
2012.0,False,,,27,no valid outer-layer seed pairs
2023.0,False,,,27,no valid outer-layer seed pairs
2032.0,False,,,21,no valid outer-layer seed pairs
2035.0,False,,,26,no valid outer-layer seed pairs
2041.0,False,,,18,no valid outer-layer seed pairs
2050.0,False,,,26,no exact8 plane survived
2075.0,False,,,26,no exact8 plane survived
2078.0,False,,,23,no exact8 plane survived
2096.0,False,,,24,no valid outer-layer seed pairs
2103.0,False,,,26,no valid outer-layer seed pairs
2108.0,False,,,21,no valid outer-layer seed pairs
2116.0,False,,,27,no valid outer-layer seed pairs
2123.0,False,,,24,no exact8 plane survived
2131.0,False,,,26,no valid outer-layer seed pairs
2137.0,False,,,23,no exact8 plane survived
2145.0,True,0.0022289347388234917,1.7412761808678652,24,
2149.0,False,,,24,no valid outer-layer seed pairs
2165.0,True,0.0028694924975238615,1.8207426228154078,22,
2182.0,False,,,23,no valid outer-layer seed pairs
2200.0,False,,,22,no valid outer-layer seed pairs
2204.0,False,,,22,no valid outer-layer seed pairs
2208.0,False,,,30,no exact8 plane survived
2215.0,False,,,24,no valid outer-layer seed pairs
2216.0,False,,,26,no exact8 plane survived
2234.0,False,,,25,no valid outer-layer seed pairs
2237.0,False,,,30,no valid outer-layer seed pairs
2239.0,False,,,30,no valid outer-layer seed pairs
2244.0,False,,,24,no valid outer-layer seed pairs
2247.0,False,,,26,no exact8 plane survived
2282.0,False,,,26,no exact8 plane survived
2285.0,False,,,21,no valid outer-layer seed pairs
2307.0,False,,,27,no valid outer-layer seed pairs
2321.0,False,,,23,no exact8 plane survived
2322.0,False,,,22,no valid outer-layer seed pairs
2326.0,False,,,18,no valid outer-layer seed pairs
2335.0,False,,,21,no valid outer-layer seed pairs
2353.0,False,,,20,no valid outer-layer seed pairs
2358.0,False,,,26,no valid outer-layer seed pairs
2371.0,False,,,22,no exact8 plane survived
2381.0,False,,,22,no valid outer-layer seed pairs
2392.0,False,,,25,no exact8 plane survived
2395.0,False,,,24,no exact8 plane survived
2396.0,False,,,20,no exact8 plane survived
2409.0,True,0.011081976982246992,3.619855717968347,25,
2418.0,False,,,26,no valid outer-layer seed pairs
2419.0,True,0.001209293619309837,1.9335631381570593,28,
2421.0,False,,,27,no valid outer-layer seed pairs
2438.0,False,,,26,no valid outer-layer seed pairs
2440.0,False,,,23,no valid outer-layer seed pairs
2445.0,False,,,25,no valid outer-layer seed pairs
2448.0,False,,,24,no valid outer-layer seed pairs
2449.0,False,,,44,no exact8 plane survived
2450.0,False,,,22,no valid outer-layer seed pairs
2462.0,False,,,20,no valid outer-layer seed pairs
2484.0,False,,,25,no valid outer-layer seed pairs
2485.0,False,,,24,no valid outer-layer seed pairs
2489.0,False,,,23,no valid outer-layer seed pairs
2492.0,False,,,22,no exact8 plane survived
2496.0,False,,,28,no valid outer-layer seed pairs
2521.0,False,,,20,no valid outer-layer seed pairs
2526.0,False,,,28,no valid outer-layer seed pairs
2529.0,False,,,23,no valid outer-layer seed pairs
2550.0,False,,,22,no valid outer-layer seed pairs
2566.0,False,,,25,no exact8 plane survived
2579.0,False,,,22,no valid outer-layer seed pairs
2596.0,False,,,22,no valid outer-layer seed pairs
2604.0,False,,,23,no valid outer-layer seed pairs
2609.0,False,,,20,no exact8 plane survived
2617.0,False,,,23,no valid outer-layer seed pairs
2638.0,False,,,21,no valid outer-layer seed pairs
2644.0,False,,,24,no valid outer-layer seed pairs
2663.0,False,,,27,no valid outer-layer seed pairs
2666.0,False,,,22,no valid outer-layer seed pairs
2673.0,False,,,27,no valid outer-layer seed pairs
2674.0,False,,,22,no valid outer-layer seed pairs
2677.0,False,,,25,no valid outer-layer seed pairs
2687.0,False,,,24,no valid outer-layer seed pairs
2689.0,False,,,21,no exact8 plane survived
2691.0,False,,,24,no valid outer-layer seed pairs
2704.0,False,,,26,no exact8 plane survived
2712.0,False,,,26,no exact8 plane survived
2741.0,False,,,24,no valid outer-layer seed pairs
2780.0,False,,,22,no exact8 plane survived
2810.0,False,,,29,no valid outer-layer seed pairs
2832.0,False,,,21,no exact8 plane survived
2844.0,False,,,22,no valid outer-layer seed pairs
2854.0,False,,,21,no valid outer-layer seed pairs
2863.0,False,,,29,no valid outer-layer seed pairs
2869.0,False,,,26,no exact8 plane survived
2881.0,False,,,26,no valid outer-layer seed pairs
2890.0,False,,,27,no valid outer-layer seed pairs
2909.0,False,,,18,no valid outer-layer seed pairs
2920.0,False,,,20,no exact8 plane survived
2928.0,False,,,21,no exact8 plane survived
2931.0,False,,,27,no exact8 plane survived
2932.0,False,,,26,no exact8 plane survived
2941.0,False,,,30,no exact8 plane survived
2959.0,False,,,22,no exact8 plane survived
2967.0,False,,,24,no exact8 plane survived
2989.0,False,,,24,no exact8 plane survived
2993.0,False,,,26,no valid outer-layer seed pairs
3000.0,False,,,28,no valid outer-layer seed pairs
3002.0,False,,,24,no valid outer-layer seed pairs
3007.0,False,,,22,no valid outer-layer seed pairs
3016.0,False,,,22,no valid outer-layer seed pairs
3028.0,False,,,27,no valid outer-layer seed pairs
3039.0,False,,,26,no exact8 plane survived
3042.0,False,,,20,no valid outer-layer seed pairs
3045.0,False,,,29,no exact8 plane survived
3059.0,True,0.0005269880929522943,0.7211567851485429,27,
3061.0,False,,,25,no valid outer-layer seed pairs
3080.0,False,,,25,no exact8 plane survived
3105.0,False,,,33,no valid outer-layer seed pairs
3107.0,False,,,26,no valid outer-layer seed pairs
3109.0,False,,,21,no exact8 plane survived
3123.0,False,,,22,no valid outer-layer seed pairs
3128.0,False,,,22,no valid outer-layer seed pairs
3132.0,False,,,21,no valid outer-layer seed pairs
3143.0,False,,,23,no exact8 plane survived
3157.0,False,,,29,no exact8 plane survived
3163.0,False,,,20,no exact8 plane survived
3177.0,False,,,28,no valid outer-layer seed pairs
3198.0,False,,,24,no exact8 plane survived
3226.0,False,,,24,no valid outer-layer seed pairs
3227.0,False,,,22,no valid outer-layer seed pairs
3269.0,False,,,28,no exact8 plane survived
3270.0,False,,,27,no valid outer-layer seed pairs
3274.0,False,,,25,no exact8 plane survived
3280.0,False,,,23,no valid outer-layer seed pairs
3287.0,False,,,25,no valid outer-layer seed pairs
3293.0,False,,,23,no valid outer-layer seed pairs
3294.0,False,,,26,no valid outer-layer seed pairs
3303.0,False,,,25,no exact8 plane survived
3305.0,False,,,25,no valid outer-layer seed pairs
3312.0,False,,,22,no valid outer-layer seed pairs
3315.0,False,,,22,no valid outer-layer seed pairs
3321.0,False,,,29,no valid outer-layer seed pairs
3322.0,False,,,23,no valid outer-layer seed pairs
3329.0,False,,,27,no valid outer-layer seed pairs
3335.0,False,,,25,no exact8 plane survived
3344.0,False,,,24,no valid outer-layer seed pairs
3345.0,False,,,24,no valid outer-layer seed pairs
3347.0,False,,,26,no valid outer-layer seed pairs
3355.0,False,,,24,no valid outer-layer seed pairs
3371.0,True,0.001593582758871853,1.7349364622204786,23,
3393.0,False,,,25,no valid outer-layer seed pairs
3399.0,False,,,26,no valid outer-layer seed pairs
3400.0,False,,,23,no exact8 plane survived
3402.0,False,,,24,no valid outer-layer seed pairs
3421.0,False,,,24,no valid outer-layer seed pairs
3423.0,False,,,23,no exact8 plane survived
3428.0,False,,,23,no valid outer-layer seed pairs
3441.0,False,,,24,no valid outer-layer seed pairs
3448.0,False,,,23,no valid outer-layer seed pairs
3449.0,False,,,24,no valid outer-layer seed pairs
3450.0,False,,,26,no exact8 plane survived
3452.0,False,,,25,no valid outer-layer seed pairs
3458.0,False,,,26,no exact8 plane survived
3461.0,False,,,27,no exact8 plane survived
3463.0,False,,,27,no valid outer-layer seed pairs
3477.0,False,,,26,no valid outer-layer seed pairs
3495.0,False,,,28,no exact8 plane survived
3497.0,False,,,30,no valid outer-layer seed pairs
3516.0,False,,,26,no valid outer-layer seed pairs
3521.0,False,,,26,no valid outer-layer seed pairs
3538.0,False,,,24,no valid outer-layer seed pairs
3541.0,False,,,19,no valid outer-layer seed pairs
3545.0,False,,,21,no exact8 plane survived
3560.0,False,,,24,no exact8 plane survived
3565.0,False,,,22,no valid outer-layer seed pairs
3573.0,False,,,23,no valid outer-layer seed pairs
3581.0,False,,,30,no valid outer-layer seed pairs
3585.0,False,,,22,no valid outer-layer seed pairs
3589.0,False,,,24,no valid outer-layer seed pairs
3604.0,False,,,26,no valid outer-layer seed pairs
3605.0,False,,,26,no valid outer-layer seed pairs
3611.0,False,,,26,no valid outer-layer seed pairs
3616.0,False,,,23,no valid outer-layer seed pairs
3648.0,False,,,28,no valid outer-layer seed pairs
3659.0,False,,,26,no valid outer-layer seed pairs
3688.0,False,,,23,no valid outer-layer seed pairs
3689.0,False,,,23,no exact8 plane survived
3740.0,False,,,25,no exact8 plane survived
3755.0,False,,,21,no valid outer-layer seed pairs
3756.0,False,,,24,no valid outer-layer seed pairs
3767.0,False,,,24,no valid outer-layer seed pairs
3801.0,True,0.017188982340706146,3.993604890408049,25,
3807.0,False,,,24,no exact8 plane survived
3810.0,False,,,25,no valid outer-layer seed pairs
3821.0,False,,,24,no valid outer-layer seed pairs
3825.0,False,,,25,no exact8 plane survived
3847.0,False,,,26,no valid outer-layer seed pairs
