sigma_z_mm,mean_found,std_found,min_found,max_found,mean_acceptance
0.0,522.0,0.0,522,522,0.07147747501026976
0.1,976.7,9.055998625834208,962,992,0.1337395590853074
0.3,318.6,12.859929151351393,303,342,0.043625907161440505
0.58,59.2,7.641989269817121,46,73,0.008106257702314119
0.87,14.7,4.217687623436435,8,22,0.0020128714227029987
1.16,5.0,3.711842908553348,1,11,0.0006846501437765302
