event,hard_found,plus5pu_found,transition,hard_ds,plus5pu_ds,hard_dw,plus5pu_dw,hard_hits,combined_hits
6300.0,False,False,0->0,,,,,16,1035
9182.0,False,False,0->0,,,,,16,1035
5553.0,False,False,0->0,,,,,16,1035
6795.0,False,False,0->0,,,,,16,1035
2923.0,False,False,0->0,,,,,16,1035
4561.0,False,False,0->0,,,,,16,1035
7937.0,False,False,0->0,,,,,16,1035
8574.0,False,False,0->0,,,,,16,1035
2202.0,False,False,0->0,,,,,16,1035
4261.0,False,False,0->0,,,,,16,1035
9246.0,False,False,0->0,,,,,16,1035
252.0,False,False,0->0,,,,,16,1035
8008.0,False,False,0->0,,,,,16,1035
6320.0,False,False,0->0,,,,,16,1035
932.0,False,False,0->0,,,,,16,1035
4719.0,False,False,0->0,,,,,16,1035
6700.0,False,False,0->0,,,,,16,1035
9709.0,False,False,0->0,,,,,16,1035
1283.0,False,False,0->0,,,,,16,1035
4699.0,False,False,0->0,,,,,16,1035
734.0,False,False,0->0,,,,,16,1035
5831.0,False,False,0->0,,,,,16,1035
4017.0,False,False,0->0,,,,,16,1035
329.0,False,False,0->0,,,,,16,1035
2460.0,False,False,0->0,,,,,16,1035
4792.0,False,False,0->0,,,,,16,1035
8192.0,False,False,0->0,,,,,16,1035
5739.0,False,False,0->0,,,,,16,1035
1981.0,False,False,0->0,,,,,16,1035
9216.0,False,False,0->0,,,,,16,1035
7665.0,False,False,0->0,,,,,16,1035
6289.0,False,False,0->0,,,,,16,1035
9934.0,False,False,0->0,,,,,16,1035
1817.0,False,False,0->0,,,,,16,1035
5610.0,False,False,0->0,,,,,16,1035
6788.0,False,False,0->0,,,,,16,1035
2068.0,False,False,0->0,,,,,16,1035
8398.0,False,False,0->0,,,,,16,1035
2597.0,False,False,0->0,,,,,16,1035
8948.0,False,False,0->0,,,,,16,1035
5489.0,False,False,0->0,,,,,16,1035
4306.0,False,False,0->0,,,,,16,1035
5886.0,False,False,0->0,,,,,16,1035
8191.0,False,False,0->0,,,,,16,1035
3325.0,False,False,0->0,,,,,16,1035
1577.0,False,False,0->0,,,,,16,1035
7096.0,False,False,0->0,,,,,16,1035
6897.0,False,False,0->0,,,,,16,1035
6033.0,False,False,0->0,,,,,16,1035
2742.0,False,False,0->0,,,,,16,1035
7561.0,False,False,0->0,,,,,16,1035
4526.0,False,False,0->0,,,,,16,1035
6074.0,False,False,0->0,,,,,16,1035
2991.0,False,False,0->0,,,,,16,1035
3302.0,False,False,0->0,,,,,16,1035
8677.0,False,False,0->0,,,,,16,1035
4645.0,False,False,0->0,,,,,16,1035
6916.0,False,False,0->0,,,,,16,1035
2679.0,False,False,0->0,,,,,16,1035
2459.0,False,False,0->0,,,,,16,1035
3216.0,False,False,0->0,,,,,16,1035
