event,hard_found,combined_found,transition,combined_hits
0,False,False,0->0,7502
1,False,False,0->0,8391
2,False,False,0->0,8628
3,False,False,0->0,7501
4,False,False,0->0,9369
5,False,False,0->0,7317
6,False,False,0->0,8833
7,False,False,0->0,8755
8,False,False,0->0,8419
9,False,False,0->0,9145
10,False,False,0->0,6661
11,False,False,0->0,8715
12,False,False,0->0,6951
13,False,False,0->0,9013
14,False,False,0->0,8207
15,False,False,0->0,10095
