event,final_ds_mm,final_dw_mm,n_hits
48.0,0.18712195373936732,0.8846124178521213,16
63.0,0.1581886810749746,2.3712873311453238,14
77.0,0.19757061412534713,2.847605939050019,15
89.0,0.2793538221574579,1.8853151281938174,14
109.0,0.09222474497993896,4.117446646244164,14
132.0,0.1868518729245769,4.959543646775463,14
135.0,0.2550770179597378,3.868425665239607,15
155.0,0.21231892442979752,2.8492505397731307,16
165.0,0.1748739123322964,2.7562121722593953,16
207.0,0.2553796675467734,2.9034147839851734,14
214.0,0.1362183706874239,2.515173215588501,13
224.0,0.13309865298605503,1.8606691855487685,12
228.0,0.18362667520378728,3.0411295039900637,14
242.0,0.17143609395892592,3.2405217930979084,15
275.0,0.21382654905861975,4.396204114336367,15
376.0,0.22716652412623098,2.5927975741360507,15
394.0,0.1346766312623641,4.9022343803279504,12
405.0,0.08419439229535289,2.6180437897879743,15
425.0,0.18349456306259285,3.874636263666247,16
470.0,0.2611463039472588,5.0564876266779315,14
524.0,0.10128975358089869,3.601545981594755,14
599.0,0.16408140714998393,2.250468910726359,14
605.0,0.2507822069646294,3.3887748652392693,14
631.0,0.13076318811280543,4.8211152511731665,15
657.0,0.17767195310960754,1.824469049223361,14
658.0,0.08292325983921152,2.7598829488825682,13
665.0,0.20381417403818372,3.3248962856943898,14
679.0,0.27180557706821157,2.9344570204490723,12
726.0,0.17206972460479497,3.6448537882245846,14
733.0,0.12509532150668773,2.995973698336051,14
747.0,0.25451687470680046,3.689658271333101,14
774.0,0.2535050972583819,1.9244191717302443,15
830.0,0.18556220287943676,4.887812787085826,12
873.0,0.18541320650848775,2.54366353271557,13
925.0,0.2532599221870803,4.621742148300722,13
934.0,0.21642892748874248,4.486772540853842,15
987.0,0.15775860015342028,4.123813803895526,16
990.0,0.2552678109160268,4.548390716882782,12
1008.0,0.14611198176473467,4.888847371763526,16
1013.0,0.18738488316634233,4.649813033824566,14
1061.0,0.20914441628566371,2.683286938772107,13
1068.0,0.23834233706949842,4.676381899640151,15
1070.0,0.17440088428882514,3.084893275910453,12
1079.0,0.20275256481514703,4.209947372087256,15
1091.0,0.15395859537136514,4.892355984313053,13
1157.0,0.24313327889150635,4.776953831185201,15
1164.0,0.1626432525688788,2.9260153391108847,13
1181.0,0.21661836956846173,2.6188542463363524,14
1189.0,0.1777777008561805,2.841233633716964,14
1194.0,0.22167930048466675,4.1081534833685724,14
1224.0,0.13976967005975025,4.505952518803376,15
1259.0,0.22066223296226886,4.137270495125511,15
1278.0,0.1795363715742274,2.561153797693434,14
1281.0,0.2625664898894729,4.484205739787976,15
1287.0,0.16166972827805096,4.328608367933205,12
1300.0,0.24616854557607792,2.555258744013162,13
1322.0,0.2693875102837299,2.3409348940708896,15
1344.0,0.2263515859545749,2.712136441837395,15
1365.0,0.2708949193807559,3.052409577881885,13
1380.0,0.17811743277044556,4.248743288194595,14
1438.0,0.18791685350311857,2.754586662119649,14
1456.0,0.04117232192349948,2.3711507786713826,10
1473.0,0.11161198441215416,2.1981742135587234,12
1507.0,0.21819402583886155,4.94536429735819,13
1518.0,0.16967160160796935,3.905313824280187,12
1525.0,0.12624406465044663,3.77319054841356,14
1603.0,0.13859213057838046,5.0353492811931755,13
1610.0,0.22178414016234244,1.774668782113452,16
1676.0,0.2097342450875386,3.290106633995918,16
1703.0,0.1504241032534194,4.020916544635937,14
1712.0,0.26808483682344875,3.9405103109336177,13
1735.0,0.17222518578216958,4.3204809807063596,15
1749.0,0.20698429215732594,4.5449657632300715,13
1771.0,0.23257390770692166,4.179751107390033,12
1785.0,0.11148904103145546,3.0472404741790746,13
1786.0,0.23365487308076593,2.897254838482799,15
1802.0,0.12564156277663646,4.358323990068953,14
1900.0,0.01067072130089822,6.429347399905113,6
1902.0,0.18149743020745113,2.889920057619482,14
1909.0,0.26152671980248016,1.6099045915050598,13
1920.0,0.3071441810053379,2.354443741112402,13
1925.0,0.13090695145792933,2.2360610532695824,14
1927.0,0.24398679104438536,2.9412500217918143,15
1968.0,0.26877171456867704,4.83357084283252,13
1974.0,0.19274241176914025,2.572589815133906,14
1983.0,0.2686751886735401,4.909778096772143,12
2045.0,0.16009097615657888,1.8496483273154531,15
2129.0,0.24985825341700046,4.036248749252146,12
2139.0,0.1534445459066291,3.4420118540664943,15
2145.0,0.23096438053720367,1.368729879136553,15
2168.0,0.17759663275513646,1.6810549376828934,15
2213.0,0.13058063558284477,2.544201487937601,14
2231.0,0.2525878854630663,3.364686252829413,14
2265.0,0.21513652469733333,2.863983595912895,13
2271.0,0.19184766905106096,3.866929447702458,14
2274.0,0.1883934355867304,4.386681232559209,14
2302.0,0.22141353687825377,3.558558435164005,13
2326.0,0.183951266430829,4.163648137873422,15
2330.0,0.1483315830494183,1.3279982868936444,14
2363.0,0.19229208346512547,4.570475811045836,16
2368.0,0.19089948820428787,3.8098422885354326,14
2381.0,0.24523310580777757,2.8652482149833105,15
2397.0,0.23285932211797816,2.8754300198787095,13
2404.0,0.19145722278324673,4.0984614129287955,15
2409.0,0.15895305711472524,3.270958717968994,14
2422.0,0.15377694376995324,1.3076326883800766,12
2450.0,0.14858634299677956,0.7592589192645983,15
2482.0,0.21868061255602042,2.8449898155677085,15
2483.0,0.1837901425002648,4.68327225770161,13
2487.0,0.17407146695572812,3.280569396176495,14
2505.0,0.09065169361686885,3.398856860305664,14
2516.0,0.2779406069373335,3.7705334416680225,15
2530.0,0.27557006594476674,2.5216957706145067,12
2567.0,0.27653477451128633,2.73204880439971,14
2586.0,0.20491649432190365,4.903175564837276,14
