sigma_z_mm,seed_passing_events,median_final_ds_mm,p75_final_ds_mm,p90_final_ds_mm,n_ds_below_0p1,fraction_ds_below_0p1,median_n1_mm,n1_pass_fraction,mean_found,std_found,mean_acceptance
0.0,1137,0.0253242183384214,0.0415174758817496,0.054166911493157,1137,1.0,0.009400216747475,1.0,522.0,0.0,0.0714774750102697
0.1,1137,0.066830889087488,0.0858765207189652,0.1013312504941838,1009,0.8874230430958663,0.0481508045621604,1.0,976.7,9.055998625834208,0.1337395590853074
0.3,1135,0.1261481162788215,0.1600022490904987,0.1917268225483934,334,0.2942731277533039,,,318.6,12.859929151351391,0.0436259071614405
0.58,958,0.164098314713115,0.2031857089347463,0.2365553227533624,90,0.0939457202505219,0.25626268439677496,0.776356993736952,59.2,7.641989269817121,0.0081062577023141
0.87,722,0.1822172723835058,0.2218065302133663,0.2476628904917826,30,0.0415512465373961,,,14.7,4.217687623436435,0.0020128714227029
1.16,542,0.1938690241947479,0.229616130355709,0.2531214511320246,17,0.0313653136531365,0.45961336841662465,0.5295202952029521,5.0,3.711842908553348,0.0006846501437765
