event,hard_found,combined_found,transition,combined_hits
0,False,False,0->0,1938
1,False,False,0->0,1328
2,False,False,0->0,1549
3,False,False,0->0,1251
4,False,False,0->0,2067
5,False,False,0->0,1216
6,False,False,0->0,1341
7,False,False,0->0,717
8,False,False,0->0,1502
9,False,False,0->0,1629
10,False,False,0->0,1097
11,False,False,0->0,1797
12,False,False,0->0,1290
13,False,False,0->0,2933
14,False,False,0->0,1808
15,False,False,0->0,1509
