sigma_z_mm,layer,count,median_n1_mm,p75_n1_mm,p90_n1_mm,fraction_below_0p5
0.0,1304,2274,0.00933468130677141,0.01725317886682205,0.023982209585947246,1.0
0.0,1302,2274,0.009465752188178696,0.017524015766999555,0.0243529393970477,1.0
0.1,1304,2274,0.04963973998614124,0.09077689933081366,0.1359127392344643,1.0
0.1,1302,2274,0.046661869138179664,0.08450257249648846,0.1281751432269838,1.0
0.58,1304,1916,0.2644710989113864,0.4854375335927383,0.730870021544755,0.7635699373695198
0.58,1302,1916,0.24805426988216359,0.44870300407287445,0.7133428699754573,0.7891440501043842
1.16,1304,1084,0.47619793548054035,0.8841090380411799,1.3716865848165305,0.5138376383763837
1.16,1302,1084,0.44302880135270906,0.7909829296611111,1.301630667365851,0.5452029520295203
