sigma_z_mm,seed_passing_events,median_final_ds_mm,p75_final_ds_mm,p90_final_ds_mm,n_ds_below_0p1,fraction_ds_below_0p1
0.0,1137,0.025324218338421477,0.04151747588174964,0.05416691149315707,1137,1.0
0.1,1137,0.066830889087488,0.08587652071896525,0.10133125049418387,1009,0.8874230430958663
0.3,1135,0.12614811627882153,0.16000224909049876,0.19172682254839346,334,0.29427312775330394
0.58,958,0.16409831471311506,0.2031857089347463,0.23655532275336247,90,0.09394572025052192
0.87,722,0.18221727238350588,0.22180653021336633,0.24766289049178264,30,0.04155124653739612
1.16,542,0.19386902419474794,0.22961613035570902,0.25312145113202467,17,0.03136531365313653
