event,photon_pT,weight,found,delta_s,delta_w,n_hits,reason
135.0,37.74933799765712,0.01,False,,,14,no exact8 plane survived
136.0,1.642822168082913,0.01,False,,,16,no valid outer-layer seed pairs
137.0,1.039909535680084,0.01,False,,,16,no valid outer-layer seed pairs
138.0,2.3704395051861327,0.01,False,,,16,no valid outer-layer seed pairs
139.0,1.706300845964646,0.01,False,,,16,no valid outer-layer seed pairs
141.0,38.90683186550079,0.01,False,,,14,no exact8 plane survived
142.0,2.718859214338233,0.01,False,,,16,no valid outer-layer seed pairs
144.0,1.41129225745106,0.01,False,,,16,no valid outer-layer seed pairs
145.0,9.55899402690657,0.01,False,,,15,no valid outer-layer seed pairs
146.0,4.6551419274214005,0.01,False,,,15,no valid outer-layer seed pairs
149.0,1.598843646377382,0.01,False,,,16,no valid outer-layer seed pairs
150.0,1.4369561915362363,0.01,False,,,16,no valid outer-layer seed pairs
151.0,2.8095558594967605,0.01,False,,,16,no valid outer-layer seed pairs
153.0,25.88111860861749,0.01,False,,,15,no exact8 plane survived
154.0,0.6826556985465122,0.01,False,,,10,no valid outer-layer seed pairs
156.0,1.2699244722690135,0.01,False,,,16,no valid outer-layer seed pairs
157.0,0.9287997882980862,0.01,False,,,14,no valid outer-layer seed pairs
158.0,15.220290716148014,0.01,False,,,15,no valid outer-layer seed pairs
159.0,0.9113074900592102,0.01,False,,,14,no valid outer-layer seed pairs
160.0,2.701522034882569,0.01,False,,,16,no valid outer-layer seed pairs
161.0,8.448791845725653,0.01,False,,,15,no valid outer-layer seed pairs
162.0,231.8730419745582,0.01,False,,,14,no exact8 plane survived
163.0,4.492224453020306,0.01,False,,,15,no valid outer-layer seed pairs
164.0,55.88272977690609,0.01,False,,,15,no exact8 plane survived
165.0,58.79078070196527,0.01,False,,,14,no exact8 plane survived
168.0,0.8417291651612386,0.01,False,,,12,no valid outer-layer seed pairs
170.0,2.9607424705375016,0.01,False,,,16,no valid outer-layer seed pairs
171.0,1.3789191634325837,0.01,False,,,16,no valid outer-layer seed pairs
173.0,107.74048666342162,0.01,False,,,14,no exact8 plane survived
174.0,88.70947776821899,0.01,False,,,14,no exact8 plane survived
175.0,282.6548862146918,0.01,False,,,14,no exact8 plane survived
176.0,0.8032085268684201,0.01,False,,,12,no valid outer-layer seed pairs
177.0,0.9734824377814698,0.01,False,,,14,no valid outer-layer seed pairs
180.0,1.0789979079301903,0.01,False,,,16,no valid outer-layer seed pairs
181.0,51.80345232382934,0.01,False,,,14,no exact8 plane survived
182.0,147.38677648613952,0.01,False,,,14,no exact8 plane survived
183.0,0.5493581296108232,0.01,False,,,8,no valid outer-layer seed pairs
184.0,3.544186910647069,0.01,False,,,16,no valid outer-layer seed pairs
185.0,22.52891892601137,0.01,False,,,15,no exact8 plane survived
186.0,257.54668556657754,0.01,False,,,13,no exact8 plane survived
187.0,126.0763216359738,0.01,False,,,14,no exact8 plane survived
188.0,1.411957630036937,0.01,False,,,16,no valid outer-layer seed pairs
189.0,29.755017458038445,0.01,False,,,14,no exact8 plane survived
190.0,4.423252632189943,0.01,False,,,15,no valid outer-layer seed pairs
191.0,231.7807915329368,0.01,False,,,14,no exact8 plane survived
192.0,7.952314997477793,0.01,False,,,15,no valid outer-layer seed pairs
193.0,37.59416617772568,0.01,False,,,15,no exact8 plane survived
194.0,0.536791981297978,0.01,False,,,8,no valid outer-layer seed pairs
195.0,1.9455262127764348,0.01,False,,,16,no valid outer-layer seed pairs
196.0,0.7323046468985667,0.01,False,,,10,no valid outer-layer seed pairs
197.0,10.968953248306928,0.01,False,,,15,no valid outer-layer seed pairs
199.0,0.514222913169114,0.01,False,,,8,no valid outer-layer seed pairs
201.0,168.03719498513308,0.01,False,,,14,no exact8 plane survived
202.0,97.20631470841982,0.01,False,,,14,no exact8 plane survived
205.0,11.493511694238016,0.01,False,,,15,no valid outer-layer seed pairs
206.0,77.16698243870823,0.01,False,,,14,no exact8 plane survived
207.0,10.971821561704566,0.01,False,,,15,no valid outer-layer seed pairs
211.0,49.94690525664988,0.01,False,,,14,no exact8 plane survived
212.0,126.42990693538694,0.01,False,,,14,no exact8 plane survived
214.0,2.6113507538566973,0.01,False,,,16,no valid outer-layer seed pairs
215.0,3.7387070585502222,0.01,False,,,16,no valid outer-layer seed pairs
216.0,54.751617105423776,0.01,False,,,14,no exact8 plane survived
217.0,112.27882508983164,0.01,False,,,14,no exact8 plane survived
218.0,87.69346891346781,0.01,False,,,14,no exact8 plane survived
220.0,10.009624056776866,0.01,False,,,15,no valid outer-layer seed pairs
221.0,19.81124638143204,0.01,False,,,15,no exact8 plane survived
222.0,0.7785358418325864,0.01,False,,,12,no valid outer-layer seed pairs
223.0,0.8969081940598901,0.01,False,,,14,no valid outer-layer seed pairs
224.0,180.58130352037747,0.01,False,,,14,no exact8 plane survived
225.0,186.0279217867276,0.01,False,,,14,no exact8 plane survived
226.0,1.6891057074760136,0.01,False,,,16,no valid outer-layer seed pairs
227.0,205.30808521645736,0.01,False,,,14,no exact8 plane survived
228.0,2.03820350417246,0.01,False,,,16,no valid outer-layer seed pairs
230.0,73.15898323960545,0.01,False,,,14,no exact8 plane survived
231.0,3.947427990656095,0.01,False,,,16,no valid outer-layer seed pairs
232.0,2.027033528497024,0.01,False,,,16,no valid outer-layer seed pairs
233.0,37.745037120679264,0.01,False,,,14,no exact8 plane survived
234.0,15.465720592917274,0.01,False,,,15,no valid outer-layer seed pairs
237.0,1.7788940558549216,0.01,False,,,16,no valid outer-layer seed pairs
238.0,0.5993024242334042,0.01,False,,,10,no valid outer-layer seed pairs
239.0,37.07902023300521,0.01,False,,,15,no exact8 plane survived
240.0,36.38406275195512,0.01,False,,,14,no exact8 plane survived
241.0,19.63072921259223,0.01,False,,,15,no exact8 plane survived
242.0,1.8585752605411925,0.01,False,,,16,no valid outer-layer seed pairs
243.0,3.216714357241653,0.01,False,,,16,no valid outer-layer seed pairs
247.0,1.699974817692198,0.01,False,,,16,no valid outer-layer seed pairs
248.0,1.986580983857121,0.01,False,,,16,no valid outer-layer seed pairs
250.0,1.3719940114693223,0.01,False,,,16,no valid outer-layer seed pairs
251.0,27.7393144965604,0.01,False,,,15,no exact8 plane survived
252.0,11.470560752156514,0.01,False,,,15,no valid outer-layer seed pairs
253.0,28.10029943180984,0.01,False,,,15,no exact8 plane survived
255.0,28.8957565254594,0.01,False,,,15,no exact8 plane survived
258.0,0.5290250102231476,0.01,False,,,8,no valid outer-layer seed pairs
259.0,39.559199336344726,0.01,False,,,14,no exact8 plane survived
261.0,1.5423940344694131,0.01,False,,,16,no valid outer-layer seed pairs
263.0,42.43023193437728,0.01,False,,,15,no exact8 plane survived
264.0,20.61225074903836,0.01,False,,,15,no exact8 plane survived
265.0,6.290004561555468,0.01,False,,,15,no valid outer-layer seed pairs
266.0,2.0142554730880184,0.01,False,,,16,no valid outer-layer seed pairs
269.0,0.9526636632739508,0.01,False,,,14,no valid outer-layer seed pairs
270.0,0.6585877151561406,0.01,False,,,10,no valid outer-layer seed pairs
271.0,245.1125770653913,0.01,False,,,13,no exact8 plane survived
272.0,3.228448654719741,0.01,False,,,16,no valid outer-layer seed pairs
273.0,26.809909895482964,0.01,False,,,15,no exact8 plane survived
274.0,240.1760370654788,0.01,False,,,13,no exact8 plane survived
275.0,1.951006735457244,0.01,False,,,16,no valid outer-layer seed pairs
278.0,24.31050711292934,0.01,False,,,15,no exact8 plane survived
279.0,24.860808922150746,0.01,False,,,15,no exact8 plane survived
281.0,1.868501218377632,0.01,False,,,16,no valid outer-layer seed pairs
282.0,11.361029583347232,0.01,False,,,15,no valid outer-layer seed pairs
284.0,81.62697420330473,0.01,False,,,14,no exact8 plane survived
286.0,80.21351456842706,0.01,False,,,14,no exact8 plane survived
289.0,15.665995562028192,0.01,False,,,15,no valid outer-layer seed pairs
290.0,2.729880451215463,0.01,False,,,16,no valid outer-layer seed pairs
291.0,234.4598667254665,0.01,False,,,14,no exact8 plane survived
293.0,46.61796089412204,0.01,False,,,14,no exact8 plane survived
295.0,37.65445236634965,0.01,False,,,14,no exact8 plane survived
296.0,0.5714706855086119,0.01,False,,,8,no valid outer-layer seed pairs
297.0,16.992019521806714,0.01,False,,,15,no valid outer-layer seed pairs
298.0,284.2737702680548,0.01,False,,,14,no exact8 plane survived
299.0,1.7054031637462583,0.01,False,,,16,no valid outer-layer seed pairs
300.0,93.68295651328005,0.01,False,,,14,no exact8 plane survived
