event,layer,hits,valid_pairs,hard_pair_exists,hard_pair_rank,hard_pair_dphi,hard_pair_dz,inside_top50
405,8,75,3,True,1,0.020410512643396106,0.7902773822595464,True
405,7,87,2,True,1,0.017328518687705352,0.4492883634594591,True
5833,8,75,3,True,2,0.02437942394362813,0.35599883630811746,True
5833,7,87,2,True,1,0.020707963939761154,0.30268576314483653,True
8053,8,75,3,True,2,0.033350337157927346,0.30156119834282435,True
8053,7,87,2,True,1,0.0281742529117055,0.8775008151110342,True
