event,mu,pre_found,post_found,pre_ds,post_ds,pre_dw,post_dw,hits_pre,hits_post,merged_away,merge_transition
9182,5,False,False,,,,,1422,1421,1,0->0
9182,10,False,False,,,,,2024,2022,2,0->0
9182,20,False,False,,,,,2956,2955,1,0->0
5553,0,False,False,,,,,16,13,3,0->0
5553,5,False,False,,,,,473,470,3,0->0
5553,10,False,False,,,,,1967,1964,3,0->0
5553,20,False,False,,,,,2433,2430,3,0->0
6795,0,False,False,,,,,16,14,2,0->0
6795,5,False,False,,,,,560,558,2,0->0
6795,10,False,False,,,,,977,975,2,0->0
6795,20,False,False,,,,,3223,3221,2,0->0
2923,0,False,False,,,,,16,15,1,0->0
2923,5,False,False,,,,,749,748,1,0->0
2923,10,False,False,,,,,1185,1184,1,0->0
2923,20,False,False,,,,,3153,3152,1,0->0
4561,0,False,False,,,,,16,14,2,0->0
4561,5,False,False,,,,,1448,1445,3,0->0
4561,10,False,False,,,,,1348,1346,2,0->0
4561,20,False,False,,,,,3415,3411,4,0->0
7937,0,False,False,,,,,16,15,1,0->0
7937,5,False,False,,,,,650,649,1,0->0
7937,10,False,False,,,,,1746,1745,1,0->0
7937,20,False,False,,,,,2331,2329,2,0->0
8574,0,False,False,,,,,16,15,1,0->0
8574,5,False,False,,,,,1229,1228,1,0->0
8574,10,False,False,,,,,1351,1350,1,0->0
8574,20,False,False,,,,,2586,2585,1,0->0
2202,0,False,False,,,,,16,15,1,0->0
2202,5,False,False,,,,,1058,1057,1,0->0
2202,10,False,False,,,,,1607,1606,1,0->0
2202,20,False,False,,,,,2875,2874,1,0->0
4261,0,False,False,,,,,16,15,1,0->0
4261,5,False,False,,,,,689,688,1,0->0
4261,10,False,False,,,,,2603,2601,2,0->0
4261,20,False,False,,,,,3205,3204,1,0->0
9246,0,False,False,,,,,16,15,1,0->0
9246,5,False,False,,,,,959,958,1,0->0
9246,10,False,False,,,,,1342,1341,1,0->0
9246,20,False,False,,,,,2405,2403,2,0->0
252,0,False,False,,,,,16,15,1,0->0
252,5,False,False,,,,,613,612,1,0->0
252,10,False,False,,,,,1628,1627,1,0->0
252,20,False,False,,,,,2798,2797,1,0->0
8008,0,False,False,,,,,16,15,1,0->0
8008,5,False,False,,,,,353,352,1,0->0
8008,10,False,False,,,,,927,926,1,0->0
8008,20,False,False,,,,,2610,2608,2,0->0
6320,0,False,False,,,,,16,15,1,0->0
6320,5,False,False,,,,,1240,1239,1,0->0
6320,10,False,False,,,,,1228,1227,1,0->0
6320,20,False,False,,,,,1372,1371,1,0->0
932,0,False,False,,,,,16,15,1,0->0
932,5,False,False,,,,,726,725,1,0->0
932,10,False,False,,,,,1855,1854,1,0->0
932,20,False,False,,,,,4205,4201,4,0->0
4719,0,False,False,,,,,16,15,1,0->0
4719,5,False,False,,,,,403,402,1,0->0
4719,10,False,False,,,,,1277,1276,1,0->0
4719,20,False,False,,,,,2083,2082,1,0->0
6700,0,False,False,,,,,16,15,1,0->0
6700,5,False,False,,,,,487,486,1,0->0
6700,10,False,False,,,,,1610,1609,1,0->0
6700,20,False,False,,,,,2032,2031,1,0->0
9709,0,False,False,,,,,16,15,1,0->0
9709,5,False,False,,,,,925,924,1,0->0
9709,10,False,False,,,,,994,992,2,0->0
9709,20,False,False,,,,,3197,3196,1,0->0
1283,0,False,False,,,,,16,15,1,0->0
1283,5,False,False,,,,,613,612,1,0->0
1283,10,False,False,,,,,2721,2720,1,0->0
1283,20,False,False,,,,,3793,3791,2,0->0
4699,0,False,False,,,,,16,15,1,0->0
4699,5,False,False,,,,,800,799,1,0->0
4699,10,False,False,,,,,1894,1893,1,0->0
4699,20,False,False,,,,,2103,2102,1,0->0
734,0,False,False,,,,,16,15,1,0->0
734,5,False,False,,,,,596,595,1,0->0
734,10,False,False,,,,,1726,1725,1,0->0
734,20,False,False,,,,,4143,4141,2,0->0
5831,0,False,False,,,,,16,15,1,0->0
5831,5,False,False,,,,,799,798,1,0->0
5831,10,False,False,,,,,1630,1629,1,0->0
5831,20,False,False,,,,,3221,3220,1,0->0
4017,0,False,False,,,,,16,14,2,0->0
4017,5,False,False,,,,,643,641,2,0->0
4017,10,False,False,,,,,1883,1880,3,0->0
4017,20,False,False,,,,,3452,3448,4,0->0
329,0,False,False,,,,,16,15,1,0->0
329,5,False,False,,,,,787,786,1,0->0
329,10,False,False,,,,,1841,1839,2,0->0
329,20,False,False,,,,,3204,3202,2,0->0
2460,0,False,False,,,,,16,15,1,0->0
2460,5,False,False,,,,,836,835,1,0->0
2460,10,False,False,,,,,1467,1466,1,0->0
2460,20,False,False,,,,,3192,3191,1,0->0
4792,0,False,False,,,,,16,14,2,0->0
4792,5,False,False,,,,,312,310,2,0->0
4792,10,False,False,,,,,1829,1827,2,0->0
4792,20,False,False,,,,,3733,3729,4,0->0
8192,0,False,False,,,,,16,15,1,0->0
8192,5,False,False,,,,,548,547,1,0->0
8192,10,False,False,,,,,1676,1674,2,0->0
8192,20,False,False,,,,,2520,2518,2,0->0
5739,0,False,False,,,,,16,15,1,0->0
5739,5,False,False,,,,,1015,1014,1,0->0
5739,10,False,False,,,,,2088,2087,1,0->0
5739,20,False,False,,,,,4205,4204,1,0->0
1981,0,False,False,,,,,16,14,2,0->0
1981,5,False,False,,,,,532,530,2,0->0
1981,10,False,False,,,,,1235,1232,3,0->0
1981,20,False,False,,,,,1704,1702,2,0->0
9216,0,False,False,,,,,16,15,1,0->0
9216,5,False,False,,,,,1705,1704,1,0->0
9216,10,False,False,,,,,1964,1961,3,0->0
9216,20,False,False,,,,,3712,3711,1,0->0
7665,0,False,False,,,,,16,14,2,0->0
7665,5,False,False,,,,,1047,1045,2,0->0
7665,10,False,False,,,,,1304,1301,3,0->0
7665,20,False,False,,,,,3590,3587,3,0->0
6289,0,False,False,,,,,16,14,2,0->0
6289,5,False,False,,,,,929,927,2,0->0
6289,10,False,False,,,,,1601,1599,2,0->0
6289,20,False,False,,,,,4197,4193,4,0->0
9934,0,False,False,,,,,16,14,2,0->0
9934,5,False,False,,,,,833,831,2,0->0
9934,10,False,False,,,,,2115,2113,2,0->0
9934,20,False,False,,,,,2707,2703,4,0->0
1817,0,False,False,,,,,16,15,1,0->0
1817,5,False,False,,,,,624,623,1,0->0
1817,10,False,False,,,,,2157,2155,2,0->0
1817,20,False,False,,,,,2507,2505,2,0->0
5610,0,False,False,,,,,16,15,1,0->0
5610,5,False,False,,,,,882,881,1,0->0
5610,10,False,False,,,,,1064,1062,2,0->0
5610,20,False,False,,,,,2453,2452,1,0->0
6788,0,False,False,,,,,16,15,1,0->0
6788,5,False,False,,,,,1455,1453,2,0->0
6788,10,False,False,,,,,1749,1748,1,0->0
6788,20,False,False,,,,,2781,2779,2,0->0
2068,0,False,False,,,,,16,15,1,0->0
2068,5,False,False,,,,,695,694,1,0->0
2068,10,False,False,,,,,1630,1629,1,0->0
2068,20,False,False,,,,,2322,2321,1,0->0
8398,0,False,False,,,,,16,15,1,0->0
8398,5,False,False,,,,,1072,1071,1,0->0
8398,10,False,False,,,,,1378,1377,1,0->0
8398,20,False,False,,,,,2873,2871,2,0->0
2597,0,False,False,,,,,16,15,1,0->0
2597,5,False,False,,,,,1377,1376,1,0->0
2597,10,False,False,,,,,1577,1576,1,0->0
2597,20,False,False,,,,,3323,3319,4,0->0
8948,0,False,False,,,,,16,15,1,0->0
8948,5,False,False,,,,,1626,1625,1,0->0
8948,10,False,False,,,,,2076,2075,1,0->0
8948,20,False,False,,,,,3207,3206,1,0->0
5489,0,False,False,,,,,16,15,1,0->0
5489,5,False,False,,,,,538,537,1,0->0
5489,10,False,False,,,,,2542,2541,1,0->0
5489,20,False,False,,,,,3360,3359,1,0->0
4306,0,False,False,,,,,16,15,1,0->0
4306,5,False,False,,,,,729,728,1,0->0
4306,10,False,False,,,,,1587,1586,1,0->0
4306,20,False,False,,,,,2578,2576,2,0->0
5886,0,False,False,,,,,16,14,2,0->0
5886,5,False,False,,,,,858,856,2,0->0
5886,10,False,False,,,,,1940,1938,2,0->0
5886,20,False,False,,,,,3247,3245,2,0->0
8191,0,False,False,,,,,16,15,1,0->0
8191,5,False,False,,,,,954,952,2,0->0
8191,10,False,False,,,,,2094,2093,1,0->0
8191,20,False,False,,,,,2989,2988,1,0->0
3325,0,False,False,,,,,16,15,1,0->0
3325,5,False,False,,,,,1669,1668,1,0->0
3325,10,False,False,,,,,1292,1291,1,0->0
3325,20,False,False,,,,,3073,3071,2,0->0
1577,0,False,False,,,,,16,15,1,0->0
1577,5,False,False,,,,,849,848,1,0->0
1577,10,False,False,,,,,2150,2149,1,0->0
1577,20,False,False,,,,,2875,2874,1,0->0
7096,0,False,False,,,,,16,14,2,0->0
7096,5,False,False,,,,,846,844,2,0->0
7096,10,False,False,,,,,1316,1313,3,0->0
7096,20,False,False,,,,,3260,3258,2,0->0
6897,0,False,False,,,,,16,15,1,0->0
6897,5,False,False,,,,,892,891,1,0->0
6897,10,False,False,,,,,1333,1332,1,0->0
6897,20,False,False,,,,,3167,3165,2,0->0
6033,0,False,False,,,,,16,15,1,0->0
6033,5,False,False,,,,,460,459,1,0->0
6033,10,False,False,,,,,1209,1208,1,0->0
6033,20,False,False,,,,,3622,3620,2,0->0
2742,0,False,False,,,,,16,14,2,0->0
2742,5,False,False,,,,,1195,1193,2,0->0
2742,10,False,False,,,,,1170,1168,2,0->0
2742,20,False,False,,,,,3484,3478,6,0->0
7561,0,False,False,,,,,16,15,1,0->0
7561,5,False,False,,,,,1242,1241,1,0->0
7561,10,False,False,,,,,2321,2319,2,0->0
7561,20,False,False,,,,,3139,3137,2,0->0
4526,0,False,False,,,,,16,14,2,0->0
4526,5,False,False,,,,,357,355,2,0->0
4526,10,False,False,,,,,2571,2569,2,0->0
4526,20,False,False,,,,,3014,3012,2,0->0
6074,0,False,False,,,,,16,15,1,0->0
6074,5,False,False,,,,,1081,1079,2,0->0
6074,10,False,False,,,,,1574,1573,1,0->0
6074,20,False,False,,,,,3692,3691,1,0->0
2991,0,False,False,,,,,16,15,1,0->0
2991,5,False,False,,,,,639,638,1,0->0
2991,10,False,False,,,,,1381,1380,1,0->0
2991,20,False,False,,,,,3275,3272,3,0->0
3302,0,False,False,,,,,16,15,1,0->0
3302,5,False,False,,,,,800,799,1,0->0
3302,10,False,False,,,,,1170,1169,1,0->0
3302,20,False,False,,,,,3513,3511,2,0->0
8677,0,False,False,,,,,16,15,1,0->0
8677,5,False,False,,,,,728,727,1,0->0
8677,10,False,False,,,,,2117,2116,1,0->0
8677,20,False,False,,,,,2673,2672,1,0->0
4645,0,False,False,,,,,16,15,1,0->0
4645,5,False,False,,,,,838,837,1,0->0
4645,10,False,False,,,,,1498,1497,1,0->0
4645,20,False,False,,,,,3339,3336,3,0->0
6916,0,False,False,,,,,16,14,2,0->0
6916,5,False,False,,,,,1313,1311,2,0->0
6916,10,False,False,,,,,1357,1355,2,0->0
6916,20,False,False,,,,,4732,4729,3,0->0
2679,0,False,False,,,,,16,14,2,0->0
2679,5,False,False,,,,,1255,1253,2,0->0
2679,10,False,False,,,,,1904,1902,2,0->0
2679,20,False,False,,,,,2912,2910,2,0->0
2459,0,False,False,,,,,16,15,1,0->0
2459,5,False,False,,,,,664,663,1,0->0
2459,10,False,False,,,,,1588,1587,1,0->0
2459,20,False,False,,,,,2902,2901,1,0->0
3216,0,False,False,,,,,16,14,2,0->0
3216,5,False,False,,,,,250,248,2,0->0
3216,10,False,False,,,,,1361,1358,3,0->0
3216,20,False,False,,,,,3243,3240,3,0->0
