event,mu,pre_found,post_found,pre_ds,post_ds,pre_dw,post_dw,hits_pre,hits_post,merged_away,merge_transition
2770,0,False,False,,,,,16,15,1,0->0
2770,5,False,False,,,,,628,627,1,0->0
2770,10,False,False,,,,,1976,1975,1,0->0
2770,20,False,False,,,,,4044,4042,2,0->0
5035,0,False,False,,,,,16,15,1,0->0
5035,5,False,False,,,,,501,500,1,0->0
5035,10,False,False,,,,,1565,1563,2,0->0
5035,20,False,False,,,,,2624,2621,3,0->0
9578,0,False,False,,,,,16,15,1,0->0
9578,5,False,False,,,,,529,528,1,0->0
9578,10,False,False,,,,,1439,1437,2,0->0
9578,20,False,False,,,,,2485,2484,1,0->0
9919,0,False,False,,,,,16,15,1,0->0
9919,5,False,False,,,,,991,990,1,0->0
9919,10,False,False,,,,,1538,1537,1,0->0
9919,20,False,False,,,,,3552,3550,2,0->0
7270,0,False,False,,,,,16,15,1,0->0
7270,5,False,False,,,,,577,576,1,0->0
7270,10,False,False,,,,,2216,2215,1,0->0
7270,20,False,False,,,,,4004,4002,2,0->0
4450,0,False,False,,,,,16,14,2,0->0
4450,5,False,False,,,,,1262,1259,3,0->0
4450,10,False,False,,,,,1262,1260,2,0->0
4450,20,False,False,,,,,3159,3157,2,0->0
5991,0,False,False,,,,,16,15,1,0->0
5991,5,False,False,,,,,475,474,1,0->0
5991,10,False,False,,,,,1585,1584,1,0->0
5991,20,False,False,,,,,3782,3779,3,0->0
2143,0,False,False,,,,,16,15,1,0->0
2143,5,False,False,,,,,728,727,1,0->0
2143,10,False,False,,,,,2329,2328,1,0->0
2143,20,False,False,,,,,3873,3871,2,0->0
6811,0,False,False,,,,,16,14,2,0->0
6811,5,False,False,,,,,1134,1131,3,0->0
6811,10,False,False,,,,,1175,1173,2,0->0
6811,20,False,False,,,,,3205,3202,3,0->0
6704,0,False,False,,,,,16,15,1,0->0
6704,5,False,False,,,,,531,530,1,0->0
6704,10,False,False,,,,,1766,1765,1,0->0
6704,20,False,False,,,,,4029,4027,2,0->0
5644,0,False,False,,,,,16,15,1,0->0
5644,5,False,False,,,,,641,640,1,0->0
5644,10,False,False,,,,,1311,1310,1,0->0
5644,20,False,False,,,,,3106,3105,1,0->0
1277,0,False,False,,,,,16,15,1,0->0
1277,5,False,False,,,,,661,660,1,0->0
1277,10,False,False,,,,,1659,1658,1,0->0
1277,20,False,False,,,,,2811,2810,1,0->0
7666,0,False,False,,,,,16,14,2,0->0
7666,5,False,False,,,,,1213,1211,2,0->0
7666,10,False,False,,,,,918,916,2,0->0
7666,20,False,False,,,,,4152,4149,3,0->0
2520,0,False,False,,,,,16,15,1,0->0
2520,5,False,False,,,,,789,788,1,0->0
2520,10,False,False,,,,,1645,1643,2,0->0
2520,20,False,False,,,,,4388,4386,2,0->0
9785,0,False,False,,,,,16,15,1,0->0
9785,5,False,False,,,,,477,476,1,0->0
9785,10,False,False,,,,,1816,1815,1,0->0
9785,20,False,False,,,,,2563,2562,1,0->0
2896,0,False,False,,,,,16,15,1,0->0
2896,5,False,False,,,,,935,934,1,0->0
2896,10,False,False,,,,,1903,1902,1,0->0
2896,20,False,False,,,,,4114,4112,2,0->0
4408,0,False,False,,,,,16,15,1,0->0
4408,5,False,False,,,,,650,649,1,0->0
4408,10,False,False,,,,,1766,1765,1,0->0
4408,20,False,False,,,,,3338,3337,1,0->0
3089,0,False,False,,,,,16,15,1,0->0
3089,5,False,False,,,,,302,301,1,0->0
3089,10,False,False,,,,,1623,1622,1,0->0
3089,20,False,False,,,,,4987,4986,1,0->0
2588,0,False,False,,,,,16,15,1,0->0
2588,5,False,False,,,,,1561,1560,1,0->0
2588,10,False,False,,,,,1400,1399,1,0->0
2588,20,False,False,,,,,2840,2838,2,0->0
7450,0,False,False,,,,,16,15,1,0->0
7450,5,False,False,,,,,787,786,1,0->0
7450,10,False,False,,,,,1160,1159,1,0->0
7450,20,False,False,,,,,2847,2846,1,0->0
7155,0,False,False,,,,,16,14,2,0->0
7155,5,False,False,,,,,744,742,2,0->0
7155,10,False,False,,,,,1342,1340,2,0->0
7155,20,False,False,,,,,4048,4046,2,0->0
818,0,False,False,,,,,16,15,1,0->0
818,5,False,False,,,,,416,415,1,0->0
818,10,False,False,,,,,2530,2529,1,0->0
818,20,False,False,,,,,2871,2869,2,0->0
6502,0,False,False,,,,,16,15,1,0->0
6502,5,False,False,,,,,728,727,1,0->0
6502,10,False,False,,,,,1373,1372,1,0->0
6502,20,False,False,,,,,2947,2946,1,0->0
722,0,False,False,,,,,16,15,1,0->0
722,5,False,False,,,,,497,496,1,0->0
722,10,False,False,,,,,2143,2142,1,0->0
722,20,False,False,,,,,4119,4118,1,0->0
242,0,False,False,,,,,16,14,2,0->0
242,5,False,False,,,,,411,409,2,0->0
242,10,False,False,,,,,2089,2087,2,0->0
242,20,False,False,,,,,3084,3082,2,0->0
4255,0,False,False,,,,,16,15,1,0->0
4255,5,False,False,,,,,1035,1034,1,0->0
4255,10,False,False,,,,,1040,1039,1,0->0
4255,20,False,False,,,,,3187,3186,1,0->0
1210,0,False,False,,,,,16,15,1,0->0
1210,5,False,False,,,,,848,847,1,0->0
1210,10,False,False,,,,,1341,1340,1,0->0
1210,20,False,False,,,,,3181,3179,2,0->0
49,0,False,False,,,,,16,14,2,0->0
49,5,False,False,,,,,558,556,2,0->0
49,10,False,False,,,,,1530,1527,3,0->0
49,20,False,False,,,,,3212,3209,3,0->0
6976,0,False,False,,,,,16,15,1,0->0
6976,5,False,False,,,,,744,743,1,0->0
6976,10,False,False,,,,,1277,1276,1,0->0
6976,20,False,False,,,,,3762,3761,1,0->0
2536,0,False,False,,,,,16,14,2,0->0
2536,5,False,False,,,,,488,486,2,0->0
