event,orig_found,orig_ds,floor_found,floor_ds,floor_dw,floor_accepted_hits
1900,False,,False,0.03143514770282364,5.4679284131759305,8
3485,False,,False,0.03157247665092414,2.4224338361470306,14
4790,False,,False,0.0766346133665887,3.9901199745154488,11
6899,False,,False,0.09096947239480263,4.2526670293884905,14
