event,found,delta_s,delta_w,n_hits
2687.0,False,,,24
2689.0,False,,,21
2691.0,False,,,24
2704.0,False,,,26
2712.0,False,,,26
2741.0,False,,,24
2780.0,False,,,22
2810.0,True,5.2724622723514205e-05,1.1706844023003287,29
2832.0,False,,,21
2844.0,False,,,22
2854.0,False,,,21
2863.0,True,1.995916842197012e-05,0.7352276809739373,29
2869.0,False,,,26
2881.0,True,0.018597303187621695,3.769367327585093,26
2890.0,True,0.006603832300419863,1.236546813414131,27
2909.0,True,0.0004118104303743837,9.320026687807324,18
2920.0,False,,,20
2928.0,False,,,21
2931.0,False,,,27
2932.0,False,,,26
2941.0,False,,,30
2959.0,False,,,22
2967.0,False,,,24
2989.0,False,,,24
2993.0,False,,,26
3000.0,False,,,28
3002.0,False,,,24
3007.0,False,,,22
3016.0,False,,,22
3028.0,False,,,27
3039.0,True,0.0010531662573726715,7.261754367999581,26
3042.0,False,,,20
3045.0,False,,,29
3059.0,True,1.512597367620702e-05,0.397707510999191,27
3061.0,False,,,25
3080.0,False,,,25
3105.0,False,,,33
3107.0,False,,,26
3109.0,False,,,21
3123.0,False,,,22
3128.0,False,,,22
3132.0,False,,,21
3143.0,False,,,23
3157.0,False,,,29
3163.0,False,,,20
3177.0,False,,,28
3198.0,False,,,24
3226.0,False,,,24
3227.0,False,,,22
3269.0,False,,,28
3270.0,False,,,27
3274.0,False,,,25
3280.0,True,0.017030057806874978,3.903078096257927,23
3287.0,False,,,25
3293.0,False,,,23
3294.0,False,,,26
3303.0,False,,,25
3305.0,False,,,25
3312.0,False,,,22
3315.0,False,,,22
3321.0,True,0.00011289036576165019,1.6963689017351413,29
3322.0,False,,,23
3329.0,False,,,27
3335.0,False,,,25
3344.0,False,,,24
3345.0,True,0.03024488248848472,7.16002308047861,24
3347.0,True,0.0003459557972774046,5.489594691309142,26
3355.0,True,0.00043826081692374864,4.581540092121491,24
3371.0,True,0.00591152672600264,4.536896882997387,23
3393.0,False,,,25
3399.0,True,0.0006492179114207443,7.524814536843005,26
3400.0,True,0.00024848166460195224,4.734951034431,23
3402.0,False,,,24
3421.0,False,,,24
3423.0,False,,,23
3428.0,False,,,23
3441.0,False,,,24
3448.0,False,,,23
3449.0,False,,,24
3450.0,False,,,26
3452.0,False,,,25
3458.0,False,,,26
3461.0,False,,,27
3463.0,False,,,27
3477.0,False,,,26
3495.0,False,,,28
3497.0,False,,,30
3516.0,False,,,26
3521.0,False,,,26
3538.0,False,,,24
3541.0,False,,,19
3545.0,False,,,21
3560.0,False,,,24
3565.0,False,,,22
3573.0,False,,,23
3581.0,False,,,30
3585.0,False,,,22
3589.0,False,,,24
3604.0,False,,,26
3605.0,False,,,26
3611.0,False,,,26
3616.0,False,,,23
3648.0,False,,,28
3659.0,False,,,26
3688.0,True,0.0008839913339806077,6.720092292148814,23
3689.0,False,,,23
3740.0,True,0.0033133230499393096,9.914067121133732,25
3755.0,False,,,21
3756.0,False,,,24
3767.0,False,,,24
3801.0,False,,,25
3807.0,False,,,24
3810.0,False,,,25
3821.0,False,,,24
3825.0,False,,,25
3847.0,False,,,26
3854.0,True,0.004992109981224207,1.960055321210945,28
3859.0,False,,,24
3861.0,False,,,25
3866.0,True,6.111807862900413e-05,1.2193414671613811,27
3867.0,True,0.0003598912861370707,3.6196004956665293,26
3873.0,False,,,27
3915.0,False,,,26
3921.0,False,,,29
3934.0,False,,,25
3936.0,True,1.1256574665714922e-05,1.0836087425665608,29
3949.0,False,,,31
3952.0,True,0.01068810946512196,3.646351648612463,25
3965.0,False,,,27
3973.0,False,,,24
3977.0,False,,,20
3986.0,False,,,24
3996.0,True,6.501052883571021e-06,0.3612592241471415,30
4012.0,True,0.00505684567825603,1.3620096495063407,30
4035.0,False,,,18
4037.0,False,,,24
4053.0,False,,,34
4056.0,True,0.0007038150638669282,5.025116668654938,24
4063.0,False,,,25
4114.0,False,,,28
4120.0,False,,,30
4121.0,True,0.00041734549858740705,3.9740430188720617,23
4128.0,False,,,25
4136.0,False,,,21
4148.0,False,,,26
4159.0,False,,,24
4161.0,False,,,29
4165.0,False,,,28
4170.0,True,0.04588672534811024,9.437582952602103,22
4178.0,False,,,23
4181.0,False,,,25
4182.0,False,,,21
4200.0,False,,,27
4205.0,False,,,19
4263.0,False,,,29
4277.0,False,,,24
4296.0,False,,,23
4327.0,False,,,25
4334.0,False,,,21
4338.0,False,,,26
4347.0,False,,,25
4349.0,False,,,18
4358.0,False,,,20
4380.0,False,,,20
4382.0,False,,,19
4400.0,False,,,20
4412.0,False,,,26
4416.0,False,,,23
4426.0,True,3.109725749629193e-05,0.6218269938772599,29
4429.0,False,,,27
4444.0,True,5.1950113825069727e-05,1.0560612950271475,29
4452.0,False,,,23
4453.0,False,,,19
4472.0,False,,,22
4477.0,False,,,27
4488.0,False,,,22
4489.0,False,,,23
4490.0,False,,,22
4502.0,False,,,22
4512.0,True,0.0013202213744392143,6.510844449354397,24
4521.0,True,7.354889904501752e-05,1.453524371803027,29
4524.0,False,,,30
4531.0,False,,,23
4534.0,False,,,20
4535.0,False,,,20
4536.0,False,,,24
4550.0,False,,,32
4554.0,False,,,24
4580.0,False,,,23
4605.0,True,0.0008921499347667593,9.403414824881784,26
4614.0,False,,,23
4620.0,False,,,20
4622.0,False,,,22
4633.0,False,,,26
4644.0,False,,,24
4655.0,False,,,21
4664.0,False,,,21
4679.0,False,,,28
4706.0,False,,,23
4726.0,False,,,24
4743.0,False,,,22
4748.0,False,,,26
4749.0,False,,,21
4759.0,False,,,24
4761.0,False,,,28
4768.0,False,,,24
4777.0,False,,,24
4787.0,False,,,26
4789.0,False,,,21
4848.0,False,,,22
4854.0,False,,,29
4856.0,False,,,27
4876.0,False,,,25
4886.0,False,,,21
4893.0,False,,,22
4896.0,False,,,25
4921.0,False,,,23
4940.0,False,,,24
4953.0,False,,,23
4960.0,False,,,24
4961.0,False,,,22
4975.0,False,,,23
4989.0,False,,,23
4991.0,False,,,25
4992.0,False,,,22
4994.0,False,,,24
5010.0,False,,,22
5021.0,False,,,27
5037.0,False,,,24
5060.0,False,,,24
5061.0,True,0.004355182438553614,2.1373790814125164,27
5079.0,False,,,22
5084.0,False,,,21
5173.0,True,1.1616001107468059e-05,0.5125752977936537,25
5200.0,False,,,28
5204.0,False,,,25
5207.0,False,,,25
5227.0,True,4.944305561740971e-05,1.0404166537124238,26
5242.0,False,,,23
5270.0,False,,,25
5271.0,False,,,19
5273.0,False,,,23
5302.0,False,,,26
5328.0,False,,,26
5347.0,False,,,24
5363.0,True,0.03623650279635579,6.338829863279194,27
5370.0,False,,,23
5381.0,False,,,24
5382.0,False,,,34
5397.0,False,,,23
5400.0,False,,,23
5401.0,False,,,27
5419.0,False,,,26
5421.0,False,,,23
5423.0,False,,,21
5428.0,True,0.0012989443893101794,3.7467730128073935,23
5430.0,False,,,25
5432.0,False,,,24
5452.0,False,,,23
5453.0,False,,,22
5455.0,False,,,28
5456.0,False,,,24
5464.0,False,,,24
5469.0,False,,,23
5475.0,False,,,25
5500.0,True,6.511697206746953e-05,2.4940515348255796,28
5514.0,False,,,25
5548.0,False,,,24
5553.0,True,0.004865540883711562,3.1983584197573105,26
5566.0,False,,,21
5570.0,False,,,25
5573.0,True,0.00028479777801784946,3.5930669429837097,22
5591.0,False,,,24
5595.0,False,,,21
5611.0,False,,,24
5623.0,False,,,21
5637.0,False,,,23
5650.0,True,0.001561226509839752,7.28879525076948,31
5667.0,False,,,25
5675.0,False,,,28
5687.0,False,,,24
5702.0,False,,,31
5711.0,False,,,25
5716.0,False,,,25
5722.0,True,0.01168440174188673,5.092835804101187,22
5724.0,False,,,21
5735.0,False,,,26
5736.0,True,0.020943623059633987,5.9205529783479705,20
5754.0,False,,,25
5797.0,False,,,23
5810.0,False,,,24
