event,reason
349.0,seed_ds_fail
350.0,seed_dw_fail
351.0,no_outer_pairs
352.0,no_outer_pairs
353.0,no_outer_pairs
354.0,no_outer_pairs
355.0,no_outer_pairs
356.0,seed_ds_fail
357.0,seed_ds_fail
360.0,seed_ds_fail
362.0,seed_dw_fail
363.0,seed_ds_fail
364.0,no_outer_pairs
367.0,seed_ds_fail
368.0,no_outer_pairs
370.0,seed_ds_fail
371.0,seed_ds_fail
372.0,no_outer_pairs
374.0,no_outer_pairs
375.0,no_outer_pairs
376.0,final_ds_fail
377.0,no_outer_pairs
378.0,seed_ds_fail
379.0,no_outer_pairs
380.0,no_outer_pairs
381.0,no_outer_pairs
382.0,seed_ds_fail
383.0,no_outer_pairs
384.0,seed_dw_fail
385.0,no_outer_pairs
387.0,no_outer_pairs
389.0,seed_dw_fail
390.0,no_outer_pairs
391.0,seed_dw_fail
393.0,no_outer_pairs
394.0,final_ds_fail
397.0,no_outer_pairs
398.0,no_outer_pairs
399.0,seed_ds_fail
400.0,no_outer_pairs
401.0,seed_ds_fail
402.0,no_outer_pairs
403.0,no_outer_pairs
404.0,seed_dw_fail
405.0,pass
406.0,seed_dw_fail
407.0,no_outer_pairs
410.0,no_outer_pairs
411.0,seed_dw_fail
412.0,no_outer_pairs
417.0,seed_ds_fail
418.0,no_outer_pairs
419.0,no_outer_pairs
420.0,seed_ds_fail
421.0,no_outer_pairs
422.0,seed_dw_fail
423.0,seed_ds_fail
424.0,no_outer_pairs
425.0,final_ds_fail
426.0,no_outer_pairs
427.0,seed_dw_fail
428.0,no_outer_pairs
429.0,seed_dw_fail
430.0,seed_ds_fail
432.0,no_outer_pairs
433.0,seed_ds_fail
434.0,seed_ds_fail
435.0,no_outer_pairs
437.0,seed_ds_fail
439.0,seed_ds_fail
440.0,no_outer_pairs
441.0,no_outer_pairs
443.0,no_outer_pairs
444.0,no_outer_pairs
445.0,no_outer_pairs
446.0,seed_ds_fail
447.0,seed_ds_fail
450.0,seed_ds_fail
452.0,no_outer_pairs
453.0,seed_dw_fail
454.0,seed_ds_fail
455.0,seed_dw_fail
457.0,seed_ds_fail
458.0,seed_ds_fail
460.0,no_outer_pairs
461.0,seed_ds_fail
462.0,no_outer_pairs
464.0,seed_ds_fail
466.0,seed_dw_fail
467.0,no_outer_pairs
468.0,seed_ds_fail
469.0,no_outer_pairs
470.0,seed_dw_fail
472.0,seed_ds_fail
473.0,no_outer_pairs
474.0,no_outer_pairs
475.0,seed_ds_fail
476.0,seed_ds_fail
477.0,seed_ds_fail
478.0,seed_dw_fail
479.0,seed_dw_fail
480.0,no_outer_pairs
481.0,no_outer_pairs
483.0,seed_ds_fail
484.0,no_outer_pairs
485.0,seed_ds_fail
486.0,no_outer_pairs
488.0,no_outer_pairs
489.0,no_outer_pairs
492.0,seed_ds_fail
493.0,seed_ds_fail
494.0,seed_dw_fail
495.0,seed_ds_fail
496.0,seed_ds_fail
499.0,seed_ds_fail
500.0,no_outer_pairs
501.0,no_outer_pairs
502.0,seed_ds_fail
505.0,no_outer_pairs
506.0,seed_ds_fail
507.0,no_outer_pairs
510.0,seed_dw_fail
511.0,seed_ds_fail
512.0,no_outer_pairs
513.0,no_outer_pairs
514.0,seed_ds_fail
518.0,no_outer_pairs
519.0,seed_dw_fail
520.0,no_outer_pairs
521.0,seed_ds_fail
523.0,no_outer_pairs
524.0,final_ds_fail
526.0,no_outer_pairs
527.0,no_outer_pairs
528.0,seed_ds_fail
530.0,seed_ds_fail
531.0,seed_ds_fail
533.0,no_outer_pairs
535.0,no_outer_pairs
536.0,no_outer_pairs
537.0,no_outer_pairs
543.0,no_outer_pairs
544.0,seed_dw_fail
545.0,seed_ds_fail
546.0,no_outer_pairs
547.0,seed_ds_fail
548.0,seed_ds_fail
549.0,no_outer_pairs
550.0,no_outer_pairs
552.0,no_outer_pairs
554.0,seed_dw_fail
555.0,no_outer_pairs
557.0,seed_dw_fail
558.0,seed_ds_fail
559.0,no_outer_pairs
560.0,no_outer_pairs
561.0,no_outer_pairs
562.0,no_outer_pairs
563.0,no_outer_pairs
565.0,no_outer_pairs
566.0,seed_ds_fail
569.0,seed_dw_fail
570.0,seed_dw_fail
571.0,seed_dw_fail
572.0,seed_dw_fail
575.0,no_outer_pairs
576.0,seed_dw_fail
577.0,seed_dw_fail
578.0,seed_dw_fail
579.0,seed_ds_fail
580.0,no_outer_pairs
582.0,seed_ds_fail
583.0,seed_dw_fail
584.0,no_outer_pairs
587.0,seed_ds_fail
589.0,no_outer_pairs
590.0,seed_ds_fail
591.0,no_outer_pairs
592.0,no_outer_pairs
593.0,no_outer_pairs
596.0,seed_ds_fail
597.0,no_outer_pairs
598.0,seed_dw_fail
599.0,final_ds_fail
600.0,no_outer_pairs
601.0,seed_ds_fail
602.0,seed_dw_fail
