mu,events,pass,fail,acceptance,new_0to1,lost_1to0
0,7303,3,7300,0.0004107900862659181,0,0
5,7303,3,7300,0.0004107900862659181,0,0
10,7303,3,7300,0.0004107900862659181,0,0
20,7303,1,7302,0.00013693002875530603,0,2
