event,found,delta_s,delta_w,coplanarity_score,residual_std_mm,n_hits
54.0,True,0.0,4.885399416226451e-07,2.9627204904456184e-33,1.909698350641426e-14,24
438.0,True,0.0,4.2924871254996645e-06,9.630555407294112e-33,3.28944443531827e-14,18
618.0,True,0.0,1.5248858470057247e-06,1.1540902898087008e-33,5.53060086732455e-14,18
673.0,True,0.0,3.428211416650838e-06,2.121402646430889e-34,4.98129111783162e-15,22
769.0,True,0.0,3.827760033795452e-06,8.478254051583708e-34,1.2086081822483858e-13,16
772.0,True,0.0,6.676137023087425e-07,2.9104091935775776e-33,3.2185186711991214e-14,24
794.0,True,0.0,5.396642602612017e-06,8.621719115737293e-34,1.1634718054577977e-14,26
804.0,True,0.0,1.42087911384536e-06,1.752688131312038e-33,1.7063116193550083e-14,24
841.0,True,0.0,8.129653673469526e-07,2.7898994926822517e-34,5.5516584119325634e-14,16
