event,n_valid_seeds,min_seed_ds,median_seed_ds,max_seed_ds
48,1,0.2716883359305849,0.2716883359305849,0.2716883359305849
63,1,0.2427196394969,0.2427196394969,0.2427196394969
77,1,0.17585805172442653,0.17585805172442653,0.17585805172442653
89,1,0.4398218186707089,0.4398218186707089,0.4398218186707089
109,1,0.16179006302047574,0.16179006302047574,0.16179006302047574
132,1,0.2970617388637549,0.2970617388637549,0.2970617388637549
135,1,0.35612264475959887,0.35612264475959887,0.35612264475959887
155,1,0.3469357272797046,0.3469357272797046,0.3469357272797046
165,1,0.24050423046846897,0.24050423046846897,0.24050423046846897
207,1,0.459969298087528,0.459969298087528,0.459969298087528
214,1,0.23531061737520645,0.23531061737520645,0.23531061737520645
224,1,0.23030703222250198,0.23030703222250198,0.23030703222250198
228,1,0.1503272733719008,0.1503272733719008,0.1503272733719008
242,1,0.21455054270936094,0.21455054270936094,0.21455054270936094
275,1,0.3518703399990072,0.3518703399990072,0.3518703399990072
376,1,0.24945394286255376,0.24945394286255376,0.24945394286255376
394,1,0.22896265367389632,0.22896265367389632,0.22896265367389632
405,1,0.08541443048229175,0.08541443048229175,0.08541443048229175
425,1,0.30939110705844525,0.30939110705844525,0.30939110705844525
524,1,0.14349842119280412,0.14349842119280412,0.14349842119280412
599,1,0.3126488882993142,0.3126488882993142,0.3126488882993142
605,1,0.4445568811015691,0.4445568811015691,0.4445568811015691
631,1,0.021198002265978788,0.021198002265978788,0.021198002265978788
657,1,0.3319430027563173,0.3319430027563173,0.3319430027563173
658,1,0.02188981213909421,0.02188981213909421,0.02188981213909421
665,1,0.13842851647769697,0.13842851647769697,0.13842851647769697
679,1,0.4366800237456981,0.4366800237456981,0.4366800237456981
726,1,0.2565945259810163,0.2565945259810163,0.2565945259810163
733,1,0.24328869099756262,0.24328869099756262,0.24328869099756262
747,1,0.4417153414073687,0.4417153414073687,0.4417153414073687
774,1,0.4804519303591234,0.4804519303591234,0.4804519303591234
