event,photon_pT,weight,found,delta_s,delta_w,n_hits,reason
127.0,23.374213903752928,0.01,False,,,15,no exact8 plane survived
128.0,21.558627213209046,0.01,False,,,15,no exact8 plane survived
129.0,15.5741603961581,0.01,False,,,15,no valid outer-layer seed pairs
130.0,11.503839775822431,0.01,False,,,15,no valid outer-layer seed pairs
131.0,20.749893229069382,0.01,False,,,15,no exact8 plane survived
132.0,50.66986100828035,0.01,False,,,14,no exact8 plane survived
133.0,14.110365531382298,0.01,False,,,15,no valid outer-layer seed pairs
135.0,61.76036339565649,0.01,False,,,14,no exact8 plane survived
136.0,24.35404367595316,0.01,False,,,15,no exact8 plane survived
138.0,24.11625749434887,0.01,False,,,15,no exact8 plane survived
139.0,24.86695480959488,0.01,False,,,15,no exact8 plane survived
141.0,17.232551611150974,0.01,False,,,15,no valid outer-layer seed pairs
142.0,29.955366391039195,0.01,False,,,15,no exact8 plane survived
144.0,44.52918126933594,0.01,False,,,14,no exact8 plane survived
145.0,12.963233645429636,0.01,False,,,15,no valid outer-layer seed pairs
146.0,26.23955883275768,0.01,False,,,15,no exact8 plane survived
148.0,11.715450599876185,0.01,False,,,15,no valid outer-layer seed pairs
149.0,34.587464688460685,0.01,False,,,15,no exact8 plane survived
151.0,34.721161337949816,0.01,False,,,14,no exact8 plane survived
152.0,11.747799047870844,0.01,False,,,15,no valid outer-layer seed pairs
153.0,12.268578753219268,0.01,False,,,15,no valid outer-layer seed pairs
154.0,20.684575067628284,0.01,False,,,15,no exact8 plane survived
155.0,84.49017941759182,0.01,False,,,14,no exact8 plane survived
156.0,42.69064063377529,0.01,False,,,15,no exact8 plane survived
157.0,49.91316138499008,0.01,False,,,14,no exact8 plane survived
159.0,13.669680267876076,0.01,False,,,15,no valid outer-layer seed pairs
160.0,36.37114239127449,0.01,False,,,15,no exact8 plane survived
161.0,11.794480172423668,0.01,False,,,15,no valid outer-layer seed pairs
163.0,44.3538692836517,0.01,False,,,14,no exact8 plane survived
164.0,28.013335704304986,0.01,False,,,14,no exact8 plane survived
165.0,87.43432828111511,0.01,False,,,14,no exact8 plane survived
166.0,10.358672003108714,0.01,False,,,15,no valid outer-layer seed pairs
167.0,25.59448139677482,0.01,False,,,15,no exact8 plane survived
169.0,10.827763072541,0.01,False,,,15,no valid outer-layer seed pairs
172.0,25.25880158997148,0.01,False,,,15,no exact8 plane survived
173.0,11.616671164526572,0.01,False,,,15,no valid outer-layer seed pairs
174.0,20.8872018600338,0.01,False,,,15,no exact8 plane survived
177.0,11.48197602223872,0.01,False,,,15,no valid outer-layer seed pairs
179.0,58.89532496688017,0.01,False,,,14,no exact8 plane survived
180.0,17.992505093223777,0.01,False,,,15,no valid outer-layer seed pairs
181.0,18.933703437903954,0.01,False,,,15,no exact8 plane survived
183.0,34.80115333858375,0.01,False,,,14,no exact8 plane survived
185.0,17.98554504101128,0.01,False,,,15,no valid outer-layer seed pairs
188.0,35.90411749804212,0.01,False,,,15,no exact8 plane survived
189.0,21.8834253904651,0.01,False,,,15,no exact8 plane survived
190.0,33.39342057904048,0.01,False,,,15,no exact8 plane survived
192.0,12.05833973646802,0.01,False,,,15,no valid outer-layer seed pairs
193.0,10.76545649362838,0.01,False,,,15,no valid outer-layer seed pairs
194.0,20.070561811974763,0.01,False,,,15,no exact8 plane survived
197.0,29.2445668460513,0.01,False,,,14,no exact8 plane survived
198.0,13.534875764457055,0.01,False,,,15,no valid outer-layer seed pairs
199.0,10.127249368043822,0.01,False,,,15,no valid outer-layer seed pairs
200.0,15.476649586158551,0.01,False,,,15,no valid outer-layer seed pairs
