event,layer,n1_distance_mm,passes_0p5
48.0,1304,0.27754137230271103,True
48.0,1304,0.3247867796649116,True
48.0,1302,0.23936586825383824,True
48.0,1302,0.3004422776561049,True
63.0,1304,1.2696914878221432,False
63.0,1304,0.028484255410717703,True
63.0,1302,0.3566998254850915,True
63.0,1302,0.7374227137606958,False
77.0,1304,0.46000907749909,True
77.0,1304,0.36109912882595363,True
77.0,1302,0.4335993243952108,True
77.0,1302,0.7359630807097326,False
89.0,1304,2.5067781519810626,False
89.0,1304,0.4807284751472155,True
89.0,1302,1.0088163539932207,False
89.0,1302,0.4319185840921105,True
109.0,1304,0.6592540850153852,False
109.0,1304,0.1604441011319827,True
109.0,1302,0.6049776867081164,False
109.0,1302,0.027139231982096865,True
132.0,1304,0.15020305611445572,True
132.0,1304,0.39767840474430033,True
132.0,1302,0.8081134227492182,False
132.0,1302,0.7237298968394167,False
135.0,1304,1.2561373475648767,False
135.0,1304,0.37915367628233965,True
135.0,1302,0.4750102622863131,True
135.0,1302,0.41075530857456405,True
155.0,1304,0.22706713982652343,True
155.0,1304,0.20211292162228958,True
155.0,1302,0.340978070112917,True
155.0,1302,0.35795039440998494,True
165.0,1304,0.4495884282212977,True
165.0,1304,0.30797690110512416,True
165.0,1302,0.1803655039486206,True
165.0,1302,0.09101226678016597,True
207.0,1304,0.44090983508900794,True
207.0,1304,1.514949309903173,False
207.0,1302,0.969237611444127,False
207.0,1302,0.13361640341518735,True
214.0,1304,1.3367724525986615,False
214.0,1304,0.08159547028959886,True
214.0,1302,0.6082459924554532,False
214.0,1302,0.5633745426508411,False
224.0,1304,1.5134393911270347,False
224.0,1304,1.0178416617132644,False
224.0,1302,0.6066093090242248,False
224.0,1302,2.267653871431852,False
228.0,1304,0.5203648996029268,False
228.0,1304,0.7737970731597056,False
228.0,1302,0.41048986096198065,True
228.0,1302,0.4924077694696137,True
242.0,1304,0.17362445445941402,True
242.0,1304,1.1181667985318227,False
242.0,1302,0.28181406505658313,True
242.0,1302,0.30632204426758275,True
275.0,1304,0.007663583482602725,True
275.0,1304,0.29947156901242,True
275.0,1302,0.8913069845196272,False
275.0,1302,0.4490556353496355,True
376.0,1304,0.6907879966782279,False
376.0,1304,0.4845658102712688,True
376.0,1302,0.4722294751729881,True
376.0,1302,0.3009706795627487,True
394.0,1304,0.793710803945177,False
394.0,1304,0.8445402891905109,False
394.0,1302,1.7950924768542473,False
394.0,1302,0.8963090648351401,False
405.0,1304,0.23939817050557777,True
405.0,1304,0.5482499943827084,False
405.0,1302,0.13317651896496108,True
405.0,1302,0.022481357165178784,True
425.0,1304,0.17150360206785736,True
425.0,1304,0.07324893389764985,True
425.0,1302,0.07424724488928248,True
425.0,1302,0.4442672887147764,True
470.0,1304,0.7059815361187942,False
470.0,1304,0.2893405738573108,True
470.0,1302,0.38683576537786196,True
470.0,1302,0.569189746407369,False
524.0,1304,1.078453190034345,False
524.0,1304,1.229628334983293,False
