event,mu,hard_found,pu_found,transition,hard_ds,pu_ds,hard_dw,pu_dw,hard_hits,combined_hits,pu_events
2,5,False,False,0->0,,,,,16,1017,"699,220,197,782,314"
3,5,False,False,0->0,,,,,16,864,"329,603,572,393,833"
4,5,False,False,0->0,,,,,16,642,"941,615,243,707,914"
5,5,False,False,0->0,,,,,16,917,"260,69,93,883,443"
7,5,False,False,0->0,,,,,16,480,"769,211,716,731,110"
8,5,False,False,0->0,,,,,16,639,"261,337,476,481,468"
10,5,False,False,0->0,,,,,16,1248,"23,125,117,88,79"
13,5,False,False,0->0,,,,,16,528,"603,327,931,725,641"
14,5,False,False,0->0,,,,,16,1179,"557,940,544,549,245"
15,5,False,False,0->0,,,,,16,1238,"667,453,571,327,896"
17,5,False,False,0->0,,,,,16,884,"835,631,252,283,337"
18,5,False,False,0->0,,,,,16,655,"346,614,629,64,276"
19,5,False,False,0->0,,,,,16,554,"951,301,650,442,392"
20,5,False,False,0->0,,,,,16,486,"541,249,481,409,476"
21,5,False,False,0->0,,,,,16,1208,"668,488,572,832,253"
22,5,False,False,0->0,,,,,16,735,"833,175,611,472,239"
24,5,False,False,0->0,,,,,16,608,"805,287,374,614,745"
26,5,False,False,0->0,,,,,16,1184,"621,343,243,83,430"
27,5,False,False,0->0,,,,,16,312,"961,169,95,581,243"
28,5,False,False,0->0,,,,,16,934,"621,867,429,693,262"
29,5,False,False,0->0,,,,,16,1024,"249,9,284,202,817"
31,5,False,False,0->0,,,,,16,358,"586,382,442,270,477"
32,5,False,False,0->0,,,,,16,1263,"160,381,164,414,410"
33,5,False,False,0->0,,,,,16,695,"372,937,196,555,426"
34,5,False,False,0->0,,,,,16,325,"124,356,999,276,159"
36,5,False,False,0->0,,,,,16,896,"870,875,948,114,26"
37,5,False,False,0->0,,,,,16,627,"892,743,752,283,667"
38,5,False,False,0->0,,,,,16,925,"856,667,521,381,346"
39,5,False,False,0->0,,,,,16,2338,"329,477,871,84,3"
40,5,False,False,0->0,,,,,16,725,"963,944,709,255,775"
41,5,False,False,0->0,,,,,16,1291,"347,381,3,24,763"
43,5,False,False,0->0,,,,,16,1081,"45,985,859,964,284"
44,5,False,False,0->0,,,,,16,2005,"590,343,79,876,53"
45,5,False,False,0->0,,,,,16,859,"991,90,772,966,795"
46,5,False,False,0->0,,,,,16,1141,"164,538,590,570,120"
48,5,False,False,0->0,,,,,16,568,"251,417,161,945,708"
49,5,False,False,0->0,,,,,16,500,"731,112,280,721,500"
50,5,False,False,0->0,,,,,16,858,"874,658,870,616,712"
52,5,False,False,0->0,,,,,16,717,"507,272,588,828,754"
55,5,False,False,0->0,,,,,16,1086,"750,884,64,313,720"
56,5,False,False,0->0,,,,,16,656,"172,97,142,402,745"
57,5,False,False,0->0,,,,,16,755,"1000,497,651,338,4"
59,5,False,False,0->0,,,,,16,769,"757,697,611,374,309"
60,5,False,False,0->0,,,,,16,1160,"479,440,124,876,208"
62,5,False,False,0->0,,,,,16,1313,"759,798,38,84,416"
63,5,False,False,0->0,,,,,16,1882,"957,197,982,210,871"
64,5,False,False,0->0,,,,,16,866,"337,655,31,942,640"
65,5,False,False,0->0,,,,,16,1356,"437,36,892,621,166"
66,5,False,False,0->0,,,,,16,560,"702,738,565,212,836"
69,5,False,False,0->0,,,,,16,1007,"401,962,607,104,870"
70,5,False,False,0->0,,,,,16,1050,"829,99,802,968,990"
71,5,False,False,0->0,,,,,16,1457,"313,537,376,852,485"
