pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi,pileup_z0
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,1,41,29.633580814089022,-15.080231700304044,-88.0477722590727,33.25,-0.4707342564646478,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,2,63,45.58710942915278,-21.72706731002712,-100.50613620424744,50.5,-0.4447574690647797,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,3,111,81.94428987918334,-33.4272846069849,-128.05003481954435,88.5,-0.3873212248399834,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,4,154,115.6678926835232,-40.33842587599267,-152.87330991315918,122.5,-0.3355550058490158,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,5,387,298.5540524155227,-16.324147336671235,-287.58904195977044,299.0,-0.0546229692464905,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,6,492,370.07046029884543,26.246036161688007,-347.7346464463531,371.0,0.0708031750646902,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,7,606,433.4596232209298,91.44263249256066,-413.48228323186777,443.0,0.2079114473699117,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,8,734,480.6590246219894,182.10684240148095,-487.4484966784578,514.0,0.3621584180340999,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,1,71,26.677675330184208,-19.846010656484115,-1.570601218088406,33.25,-0.639597439542824,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,2,108,40.33165818904871,-30.39090896504643,30.85791284555704,50.49999999999999,-0.6457532346299376,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,3,190,69.95134117248587,-54.21309683250426,102.30907648424488,88.5,-0.6593172796316931,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,4,264,95.90711001017036,-76.21073578897584,166.2646418191598,122.5,-0.6714584046854052,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,5,645,221.8816466772587,-200.42338902380655,499.0303046456443,298.99999999999994,-0.7346296031534741,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,6,802,268.7842353800009,-255.7264843757649,635.3502244364879,371.00000000000006,-0.7605081965577267,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,7,959,312.9103214617801,-313.58592239238914,772.1430874018315,443.00000000000006,-0.7864765428376295,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,8,1114,353.5859119931915,-373.05898037702167,907.5949834026403,514.0,-0.8121903544243725,-64.07212664045841
1,11,321,1.0,0.49368,0.1321259019429985,-1.0738985125516238,1,137,12.915890239526163,-30.63890140524808,-107.51704668867217,33.25,-1.1718497854240255,-64.07212664045841
1,11,321,1.0,0.49368,0.1321259019429985,-1.0738985125516238,2,211,13.03332406710157,-48.789163384525374,-131.0521551443971,50.50000000000001,-1.3097561541127516,-64.07212664045841
1,11,321,1.0,0.49368,0.1321259019429985,-1.0738985125516238,3,395,-7.166819915557554,-88.20933449640104,-189.4371029002305,88.5,-1.6518661162541712,-64.07212664045841
1,11,321,1.0,0.49368,0.1321259019429985,-1.0738985125516238,4,640,-62.44750609796116,-105.3876604833085,-266.8922937110225,122.5,-2.1057202133968764,-64.07212664045841
1,15,321,1.0,0.49368,1.9780885461180184,1.7075710502702806,1,95,6.315491036384704,-32.64470972407849,24.61383872415223,33.25,-1.3796957208807612,-64.07212664045841
1,15,321,1.0,0.49368,1.9780885461180184,1.7075710502702806,2,144,9.158814754244933,-49.66252221038945,70.63215473252657,50.5,-1.3884244045153311,-64.07212664045841
1,15,321,1.0,0.49368,1.9780885461180184,1.7075710502702806,3,253,14.373595698554508,-87.32496634236108,172.04703465729452,88.5,-1.4076601769815789,-64.07212664045841
1,15,321,1.0,0.49368,1.9780885461180184,1.7075710502702806,4,350,17.810763373568026,-121.1982949882166,262.85972175040604,122.5,-1.42488514767599,-64.07212664045841
1,15,321,1.0,0.49368,1.9780885461180184,1.7075710502702806,5,858,16.75878447201914,-298.5299702593031,736.4698740074155,299.0,-1.5147174919011177,-64.07212664045841
1,15,321,1.0,0.49368,1.9780885461180184,1.7075710502702806,6,1067,7.092335049859353,-370.9322024083923,931.3332288482156,371.0,-1.551678356159016,-64.07212664045841
1,15,321,1.0,0.49368,1.9780885461180184,1.7075710502702806,7,1277,-8.020481055284007,-442.9273889517805,1127.5834200154738,443.0,-1.58890223941304,-64.07212664045841
1,15,321,1.0,0.49368,1.9780885461180184,1.7075710502702806,8,1487,-28.32118660683148,-513.2191640899441,1322.7667497720306,514.0,-1.6259238298529768,-64.07212664045841
1,16,-2212,-1.0,0.93827,2.0511761190943343,1.5531149632899173,1,83,9.299674596654508,-31.923009764061074,10.986079545746207,33.25,-1.287325679882398,-64.07212664045841
1,16,-2212,-1.0,0.93827,2.0511761190943343,1.5531149632899173,2,126,14.531908191122644,-48.36397051860799,49.93258594269807,50.5,-1.2789086615361185,-64.07212664045841
1,16,-2212,-1.0,0.93827,2.0511761190943343,1.5531149632899173,3,222,27.034551155922188,-84.26970418719782,135.7602151807977,88.5,-1.2603589306257137,-64.07212664045841
1,16,-2212,-1.0,0.93827,2.0511761190943343,1.5531149632899173,4,307,39.35285142732344,-116.00690964136147,212.61084568167263,122.5,-1.2437495272188883,-64.07212664045841
1,16,-2212,-1.0,0.93827,2.0511761190943343,1.5531149632899173,5,753,120.18189667056193,-273.7833298662765,613.2745546276185,299.0,-1.157155078511643,-64.07212664045841
1,16,-2212,-1.0,0.93827,2.0511761190943343,1.5531149632899173,6,937,161.1209787045941,-334.18711857471965,778.0239450913411,371.0,-1.1215482409389748,-64.07212664045841
1,16,-2212,-1.0,0.93827,2.0511761190943343,1.5531149632899173,7,1121,206.5655760404221,-391.8924122703687,943.8606727539839,443.0,-1.0857063225821728,-64.07212664045841
1,16,-2212,-1.0,0.93827,2.0511761190943343,1.5531149632899173,8,1304,255.7151005614004,-445.8764260923343,1108.6924329672463,514.0,-1.050081679375407,-64.07212664045841
1,18,-211,-1.0,0.13957,0.3675040208906039,0.263723310050201,1,36,-32.47031543625229,-7.158289982270627,-55.18915262473051,33.25,-2.924607026987971,-64.07212664045841
1,18,-211,-1.0,0.13957,0.3675040208906039,0.263723310050201,2,55,-48.74693608853745,-13.190383693435365,-50.556349906577395,50.50000000000001,-2.87733194017592,-64.07212664045841
1,18,-211,-1.0,0.13957,0.3675040208906039,0.263723310050201,3,98,-82.52081374638125,-31.97757493361644,-40.2263833297903,88.5,-2.771900361529352,-64.07212664045841
1,18,-211,-1.0,0.13957,0.3675040208906039,0.263723310050201,4,137,-109.41659478191742,-55.08410647663877,-30.751630384840738,122.5,-2.675201091228456,-64.07212664045841
