pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi,pileup_z0,n_merged
1,19,211,1.0,0.13957,1.3061922836352122,-0.0166848216871821,1,33,-30.85096405172886,12.400827273973833,-64.75,33.25,2.759398496240602,-64.07212664045841,1
1,49,-211,-1.0,0.13957,0.5130386466495557,0.0030410642640589,1,34,4.366330296820738,-32.96206394840992,-64.0,33.25,-1.4390977443609025,-64.07212664045841,1
1,70,211,1.0,0.13957,0.4704642320194525,-0.0326896504029125,1,34,18.091089080963773,-27.8975804661378,-65.25,33.25,-0.9954887218045113,-64.07212664045841,1
1,18,-211,-1.0,0.13957,0.3675040208906039,0.263723310050201,1,36,-32.471782225484525,-7.151633316991818,-55.25,33.25,-2.924812030075188,-64.07212664045841,1
1,42,211,1.0,0.13957,1.736588795404115,-0.528489980508974,1,38,29.7469825130195,-14.855286310607145,-82.5,33.25,-0.4631578947368421,-64.07212664045841,1
1,21,211,1.0,0.13957,0.2466630941899117,-0.3267680749663401,1,39,-30.850964051728855,12.400827273973851,-75.25,33.25,2.7593984962406015,-64.07212664045841,1
1,71,211,1.0,0.13957,0.5634110410048714,-0.6230106337831108,1,40,12.97484534307243,30.61398190897995,-86.25,33.25,1.1699248120300754,-64.07212664045841,1
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,1,41,29.634448854536625,-15.078525826083034,-88.0,33.25,-0.4706766917293233,-64.07212664045841,1
1,104,211,1.0,0.13957,0.1834801056294073,0.3756703555206291,1,43,12.744300449481715,-30.71067088250174,-51.25,33.25,-1.1774436090225566,-64.07212664045841,1
1,97,-211,-1.0,0.13957,0.3112212944657307,0.6893374543344017,1,44,-20.9159374104835,-25.847360837051365,-39.25,33.25,-2.2511278195488726,-64.07212664045841,1
1,69,-211,-1.0,0.13957,1.2081093543994723,0.8756943743572513,1,47,8.725590957850862,32.08467800113118,-31.0,33.25,1.305263157894737,-64.07212664045841,1
1,76,-211,-1.0,0.13957,0.4321224973105982,-0.8549162088123476,1,47,-19.283609562117434,27.086987692539996,-96.0,33.25,2.189473684210526,-64.07212664045841,1
1,24,211,1.0,0.13957,0.2101747632094604,0.7299029105123866,1,48,-15.141790682219845,29.602173483307613,-37.5,33.25,2.043609022556391,-64.07212664045841,1
