layer_id,trajectory_step,t,x,y,z,r,phi,particle,charge,event,beamspot_z0
1,1506,0.1774503712370514,33.24759401397935,0.39999035188921345,-36.5,33.25,0.012030075187969926,1,1,0,-38.138198155413235
2,2287,0.7530309909756806,50.49198041028562,-0.8999523583685922,-35.6,50.5,-0.017821782178217824,1,1,0,-38.138198155413235
3,4009,0.4367133337830151,88.4997740113956,0.1999998297637342,-33.6,88.49999999999999,0.002259887005649718,1,1,0,-38.138198155413235
4,5548,0.6076626047917804,122.49950000034013,0.3499995238097182,-32.0,122.5,0.0028571428571428576,1,1,0,-38.138198155413235
5,13537,0.2917934434065315,298.9986829235813,0.8874739228128622,-23.18796558859763,299.0,0.0029681445682418,1,1,0,-38.138198155413235
6,16794,0.4204646776694898,370.99995652762686,-0.1796009436482129,-19.587830745547492,371.0,-0.0004840995974749,1,1,0,-38.138198155413235
7,20050,0.7866152162583148,442.99895841254335,-0.9606484277473948,-15.987807485703751,443.00000000000006,-0.0021685083084526,1,1,0,-38.138198155413235
8,23265,0.3298805597521854,513.9999442677044,-0.2393591373944583,-12.437686201673277,513.9999999999999,-0.0004656792724622,1,1,0,-38.138198155413235
1,1506,0.1774503712370514,33.24759401397935,-0.39999035188921345,-36.5,33.25,-0.012030075187969926,-1,-1,0,-38.138198155413235
2,2287,0.7530309909756806,50.49198041028562,0.8999523583685922,-35.6,50.5,0.017821782178217824,-1,-1,0,-38.138198155413235
3,4009,0.4367133337830151,88.4997740113956,-0.1999998297637342,-33.6,88.49999999999999,-0.002259887005649718,-1,-1,0,-38.138198155413235
4,5548,0.6076626047917804,122.49950000034013,-0.3499995238097182,-32.0,122.5,-0.0028571428571428576,-1,-1,0,-38.138198155413235
5,13537,0.2917934434065315,298.9986829235813,-0.8874739228128622,-23.18796558859763,299.0,-0.0029681445682418,-1,-1,0,-38.138198155413235
6,16794,0.4204646776694898,370.99995652762686,0.1796009436482129,-19.587830745547492,371.0,0.0004840995974749,-1,-1,0,-38.138198155413235
7,20050,0.7866152162583148,442.99895841254335,0.9606484277473948,-15.987807485703751,443.00000000000006,0.0021685083084526,-1,-1,0,-38.138198155413235
8,23265,0.3298805597521854,513.9999442677044,0.2393591373944583,-12.437686201673277,513.9999999999999,0.0004656792724622,-1,-1,0,-38.138198155413235
1,1506,0.1774718762486803,30.566553860731993,13.086186804373918,4.75,33.25,0.40451127819548877,1,1,1,3.0844139761287237
2,2287,0.753030809514105,47.00435716944452,18.461863586520447,5.6000000000000005,50.5,0.3742574257425743,1,1,1,3.0844139761287237
3,4009,0.4366485490162276,81.6880817142233,34.04860211301452,7.6000000000000005,88.5,0.3949152542372882,1,1,1,3.0844139761287237
4,5548,0.6077005463397485,113.04301390758089,47.19668427644546,9.200000000000001,122.5,0.3955102040816327,1,1,1,3.0844139761287237
5,13544,0.0283258283723719,276.5294809398277,113.72091351703725,18.03466444746422,299.0,0.3901611977057622,1,1,1,3.0844139761287237
6,16812,0.246831172960193,342.5646252164018,142.44464732079683,21.63476784384861,371.0,0.3940680513737552,1,1,1,3.0844139761287237
7,20071,0.3027774972347812,409.1759214527044,169.77651575918935,25.23485291513071,443.0,0.3933045037409587,1,1,1,3.0844139761287237
8,23292,0.6765308708330985,474.9232134259364,196.5806230257257,28.784927175909452,514.0,0.3924492153110844,1,1,1,3.0844139761287237
1,1506,0.177468839785292,30.872532183968154,12.347034322048776,4.75,33.25,0.3804511278195489,-1,-1,1,3.0844139761287237
2,2287,0.753073858682149,46.29664574703583,20.171033502859206,5.6000000000000005,50.5,0.41089108910891087,-1,-1,1,3.0844139761287237
3,4009,0.4365847522428531,81.84113880198306,33.679043923403476,7.6000000000000005,88.5,0.39039548022598874,-1,-1,1,3.0844139761287237
4,5548,0.607671496153586,113.31086218337107,46.549957156382945,9.200000000000001,122.5,0.38979591836734695,-1,-1,1,3.0844139761287237
5,13542,0.3706939554957335,275.968337799351,115.0759598363764,18.034670517801,299.0,0.3950663522835714,-1,-1,1,3.0844139761287237
6,16806,0.3514291729687253,342.85880033763164,141.73511573015372,21.63478108714553,371.00000000000006,0.3919977067933107,-1,-1,1,3.0844139761287237
7,20074,0.5347627474222542,409.3250310046234,169.41670222579614,25.23485524798154,443.0,0.3924253025399458,-1,-1,1,3.0844139761287237
8,23295,0.1347320518785335,474.77573937858944,196.93653114014603,28.784924419168604,514.0,0.3931987330329004,-1,-1,1,3.0844139761287237
1,1506,0.1775071129891319,23.23712881889255,23.782311583489804,-54.75,33.25,0.7969924812030075,1,1,2,-56.2916688044555
2,2287,0.7530898713283802,36.348337416929084,35.05778611129164,-53.6,50.5,0.7673267326732673,1,1,2,-56.2916688044555
3,4009,0.4365839190798546,62.442852423684606,62.71475250045993,-52.0,88.5,0.7875706214689265,1,1,2,-56.2916688044555
4,5548,0.6075138340788466,86.38073512644222,86.8597639820385,-50.0,122.5,0.7881632653061226,1,1,2,-56.2916688044555
5,13546,0.719916658453388,211.240454685389,211.6092396477765,-41.34137530737801,299.0,0.7862703051391279,1,1,2,-56.2916688044555
6,16810,0.6210585081898714,263.12690772481824,261.5439359480066,-37.74138217425357,371.0,0.7823810966158714,1,1,2,-56.2916688044555
7,20063,0.8632611879781418,314.1916006008367,312.3021583529072,-34.14132561898101,443.0,0.7823822729877057,1,1,2,-56.2916688044555
8,23260,0.6107448027102677,363.6407049713391,363.26496897987215,-30.59115830063642,514.0,0.7848812655777337,1,1,2,-56.2916688044555
1,1506,0.1775071129891319,23.80255404999995,23.21639336108929,-54.75,33.25,0.7729323308270678,-1,-1,2,-56.2916688044555
2,2287,0.7530898713283802,35.075930359795564,36.33082863622535,-53.6,50.5,0.802970297029703,-1,-1,2,-56.2916688044555
3,4009,0.4365839190798546,62.72567016571199,62.43188530120094,-52.0,88.5,0.7830508474576271,-1,-1,2,-56.2916688044555
4,5548,0.6075138340788466,86.87566363985833,86.36474435285614,-50.0,122.5,0.7824489795918368,-1,-1,2,-56.2916688044555
5,13545,0.59505041459937,211.573945213594,211.2758048304517,-41.3413729037007,299.0,0.7846930894705831,-1,-1,2,-56.2916688044555
6,16805,0.2296555296224832,261.692803887894,262.97885160843686,-37.74135461107971,371.0,0.7878493061864695,-1,-1,2,-56.2916688044555
7,20095,0.1391594461115503,312.80645105402573,313.6895346979006,-34.14124697501562,443.0,0.7868077224035789,-1,-1,2,-56.2916688044555
8,23318,0.3175625837209725,363.34465628492353,363.5610825558627,-30.591155643507772,514.0,0.7856958997516682,-1,-1,2,-56.2916688044555
1,1506,0.177468839785292,12.373935497248032,30.86175983818721,-69.5,33.25,1.1894736842105265,1,1,3,-71.26365111381651
2,2287,0.753073858682149,20.14830859177802,46.30654015245022,-68.8,50.5,1.1603960396039603,1,1,3,-71.26365111381651
3,4009,0.4365847522428531,33.69335397553122,81.8352485050272,-66.8,88.5,1.180225988700565,1,1,3,-71.26365111381651
4,5548,0.607671496153586,46.57081484602019,113.30229125916962,-65.2,122.5,1.1808163265306122,1,1,3,-71.26365111381651
5,13541,0.1783706167582514,114.49720902518284,276.20895916940054,-56.31335249405595,299.0,1.1778262236778114,1,1,3,-71.26365111381651
6,16783,0.0671199486903196,142.4406928457244,342.5662695328161,-52.71329844997254,371.0,1.1767398191279066,1,1,3,-71.26365111381651
7,20034,0.4276850296419255,169.6388775744193,409.2330035753363,-49.11320948831094,443.0,1.177828178582973,1,1,3,-71.26365111381651
8,23270,0.3649712442974554,196.7261440661217,474.86295311476505,-45.56313619162806,514.0,1.1780406824277074,1,1,3,-71.26365111381651
1,1506,0.1774718762486803,13.066858650520961,30.574821422328956,-69.5,33.25,1.166917293233083,-1,-1,3,-71.26365111381651
2,2287,0.753030809514105,18.48533042313891,46.995133355990966,-68.8,50.5,1.1960396039603962,-1,-1,3,-71.26365111381651
3,4009,0.4366485490162276,34.06288539625662,81.68212679945037,-66.8,88.5,1.1757062146892656,-1,-1,3,-71.26365111381651
4,5548,0.6077005463397485,47.21749264910672,113.03432393716324,-65.2,122.5,1.1751020408163266,-1,-1,3,-71.26365111381651
5,13547,0.0025334241536293,114.09554755093887,276.37511832480766,-56.31336297048558,299.0,1.1792799803815002,-1,-1,3,-71.26365111381651
6,16805,0.1038367242055231,141.95157717276325,342.7692368608435,-52.71328100506686,371.0,1.1781671947281909,-1,-1,3,-71.26365111381651
