layer_id,trajectory_step,t,x,y,z,r,phi,particle,charge,event,beamspot_z0
1,1506,0.1774503712370514,33.24759401397935,0.39999035188921345,-36.5,33.25,0.012030075187969926,1,1,0,-38.138198155413235
2,2287,0.7530309909756806,50.49198041028562,-0.8999523583685922,-35.6,50.5,-0.017821782178217824,1,1,0,-38.138198155413235
3,4009,0.4367133337830151,88.4997740113956,0.1999998297637342,-33.6,88.49999999999999,0.002259887005649718,1,1,0,-38.138198155413235
4,5548,0.6076626047917804,122.49950000034013,0.3499995238097182,-32.0,122.5,0.0028571428571428576,1,1,0,-38.138198155413235
5,13537,0.2917934434065315,298.9986519930254,0.8978342573528234,-24.394347151836605,299.0,0.003002794670956351,1,1,0,-38.138198155413235
6,16794,0.4204646776694898,370.9999680021902,-0.15408560557593723,-18.496775674533684,371.0,-0.0004153250943551708,1,1,0,-38.138198155413235
7,20050,0.7866152162583148,442.99880959769945,-1.0269834571755239,-17.49833571366404,443.00000000000006,-0.0023182491581461226,1,1,0,-38.138198155413235
8,23265,0.3298805597521854,513.9999462734355,-0.23501256414954438,-12.804527608791831,513.9999999999999,-0.0004572229033810955,1,1,0,-38.138198155413235
1,1506,0.1774503712370514,33.24759401397935,-0.39999035188921345,-36.5,33.25,-0.012030075187969926,-1,-1,0,-38.138198155413235
2,2287,0.7530309909756806,50.49198041028562,0.8999523583685922,-35.6,50.5,0.017821782178217824,-1,-1,0,-38.138198155413235
3,4009,0.4367133337830151,88.4997740113956,-0.1999998297637342,-33.6,88.49999999999999,-0.002259887005649718,-1,-1,0,-38.138198155413235
4,5548,0.6076626047917804,122.49950000034013,-0.3499995238097182,-32.0,122.5,-0.0028571428571428576,-1,-1,0,-38.138198155413235
5,13537,0.2917934434065315,298.9986812275171,-0.8880451596500947,-24.177496544582983,299.0,-0.0029700550677573376,-1,-1,0,-38.138198155413235
6,16794,0.4204646776694898,370.99994084844917,0.20950047067440142,-18.685592100449913,371.0,0.0005646913256294449,-1,-1,0,-38.138198155413235
7,20050,0.7866152162583148,442.9989535384625,0.9628934661735251,-14.680207685620832,443.00000000000006,0.00217357612722705,-1,-1,0,-38.138198155413235
8,23265,0.3298805597521854,513.9999366198055,0.2552544531905205,-13.434465458617833,513.9999999999999,0.0004966040149457983,-1,-1,0,-38.138198155413235
1,1506,0.1774718762486803,30.566553860731993,13.086186804373918,4.75,33.25,0.40451127819548877,1,1,1,3.0844139761287237
2,2287,0.753030809514105,47.00435716944452,18.461863586520447,5.6000000000000005,50.5,0.3742574257425743,1,1,1,3.0844139761287237
3,4009,0.4366485490162276,81.6880817142233,34.04860211301452,7.6000000000000005,88.5,0.3949152542372882,1,1,1,3.0844139761287237
4,5548,0.6077005463397485,113.04301390758089,47.19668427644546,9.200000000000001,122.5,0.3955102040816327,1,1,1,3.0844139761287237
5,13544,0.0283258283723719,276.5263225853993,113.72859322701423,18.821351298755694,299.0,0.3901889696229088,1,1,1,3.0844139761287237
6,16812,0.246831172960193,342.57226835633264,142.4262649696215,20.58070702102321,371.0,0.39401439099918384,1,1,1,3.0844139761287237
7,20071,0.3027774972347812,409.2018708247687,169.713962046466,26.361935574234703,443.0,0.39315163128231734,1,1,1,3.0844139761287237
8,23292,0.6765308708330985,474.9229968243137,196.5811463172725,29.023575536047773,514.0,0.39245031715586964,1,1,1,3.0844139761287237
1,1506,0.177468839785292,30.872532183968154,12.347034322048776,4.75,33.25,0.3804511278195489,-1,-1,1,3.0844139761287237
2,2287,0.753073858682149,46.29664574703583,20.171033502859206,5.6000000000000005,50.5,0.41089108910891087,-1,-1,1,3.0844139761287237
3,4009,0.4365847522428531,81.84113880198306,33.679043923403476,7.6000000000000005,88.5,0.39039548022598874,-1,-1,1,3.0844139761287237
4,5548,0.607671496153586,113.31086218337107,46.549957156382945,9.200000000000001,122.5,0.38979591836734695,-1,-1,1,3.0844139761287237
5,13542,0.3706939554957335,275.97859048208005,115.05136937700635,19.457408231772714,299.0,0.39497724784945365,-1,-1,1,3.0844139761287237
6,16806,0.3514291729687253,342.84654763397,141.7647515268447,21.49346538461981,371.00000000000006,0.3920841456602677,-1,-1,1,3.0844139761287237
7,20074,0.5347627474222542,409.3322583224914,169.3992393625461,24.821093242473587,443.0,0.3923826403332445,-1,-1,1,3.0844139761287237
8,23295,0.1347320518785335,474.7861423551965,196.91144971146565,28.815738832287632,514.0,0.3931459056623898,-1,-1,1,3.0844139761287237
1,1506,0.1775071129891319,23.23712881889255,23.782311583489804,-54.75,33.25,0.7969924812030075,1,1,2,-56.2916688044555
2,2287,0.7530898713283802,36.348337416929084,35.05778611129164,-53.6,50.5,0.7673267326732673,1,1,2,-56.2916688044555
3,4009,0.4365839190798546,62.442852423684606,62.71475250045993,-52.0,88.5,0.7875706214689265,1,1,2,-56.2916688044555
4,5548,0.6075138340788466,86.38073512644222,86.8597639820385,-50.0,122.5,0.7881632653061226,1,1,2,-56.2916688044555
5,13546,0.719916658453388,211.20565822295134,211.643969757255,-41.22270134539528,299.0,0.7864347289950423,1,1,2,-56.2916688044555
6,16810,0.6210585081898714,263.11907567407604,261.5518151655993,-36.423085796468314,371.0,0.7824110416143727,1,1,2,-56.2916688044555
7,20063,0.8632611879781418,314.1718436574,312.32203356937566,-33.469736066864996,443.0,0.7824455332446268,1,1,2,-56.2916688044555
8,23260,0.6107448027102677,363.6498160228575,363.2558482757599,-31.773051619610662,514.0,0.7848561842550752,1,1,2,-56.2916688044555
1,1506,0.1775071129891319,23.80255404999995,23.21639336108929,-54.75,33.25,0.7729323308270678,-1,-1,2,-56.2916688044555
2,2287,0.7530898713283802,35.075930359795564,36.33082863622535,-53.6,50.5,0.802970297029703,-1,-1,2,-56.2916688044555
3,4009,0.4365839190798546,62.72567016571199,62.43188530120094,-52.0,88.5,0.7830508474576271,-1,-1,2,-56.2916688044555
4,5548,0.6075138340788466,86.87566363985833,86.36474435285614,-50.0,122.5,0.7824489795918368,-1,-1,2,-56.2916688044555
5,13545,0.59505041459937,211.5649076851413,211.28485472503147,-41.93524593477737,299.0,0.7847358645290131,-1,-1,2,-56.2916688044555
6,16805,0.2296555296224832,261.6728663721519,262.9986901195174,-37.49629945134081,371.0,0.7879251174679438,-1,-1,2,-56.2916688044555
7,20095,0.1391594461115503,312.8243938725331,313.67164136766064,-33.83068567011988,443.0,0.7867505214826837,-1,-1,2,-56.2916688044555
8,23318,0.3175625837209725,363.32760095455626,363.578126933685,-30.38523230862139,514.0,0.785742810522375,-1,-1,2,-56.2916688044555
1,1506,0.177468839785292,12.373935497248032,30.86175983818721,-69.5,33.25,1.1894736842105265,1,1,3,-71.26365111381651
2,2287,0.753073858682149,20.14830859177802,46.30654015245022,-68.8,50.5,1.1603960396039603,1,1,3,-71.26365111381651
3,4009,0.4365847522428531,33.69335397553122,81.8352485050272,-66.8,88.5,1.180225988700565,1,1,3,-71.26365111381651
4,5548,0.607671496153586,46.57081484602019,113.30229125916962,-65.2,122.5,1.1808163265306122,1,1,3,-71.26365111381651
5,13541,0.1783706167582514,114.51158967283455,276.20299750473447,-57.03586856535237,299.0,1.177774158737961,1,1,3,-71.26365111381651
6,16783,0.0671199486903196,142.43644551081826,342.56803556409596,-51.734371441156775,371.0,1.176752217674803,1,1,3,-71.26365111381651
7,20034,0.4276850296419255,169.64354166990748,409.2310701421513,-48.808728301357675,443.0,1.1778167813924598,1,1,3,-71.26365111381651
8,23270,0.3649712442974554,196.70944363034673,474.869871424414,-44.76295972377915,514.0,1.1780758511306135,1,1,3,-71.26365111381651
1,1506,0.1774718762486803,13.066858650520961,30.574821422328956,-69.5,33.25,1.166917293233083,-1,-1,3,-71.26365111381651
2,2287,0.753030809514105,18.48533042313891,46.995133355990966,-68.8,50.5,1.1960396039603962,-1,-1,3,-71.26365111381651
3,4009,0.4366485490162276,34.06288539625662,81.68212679945037,-66.8,88.5,1.1757062146892656,-1,-1,3,-71.26365111381651
4,5548,0.6077005463397485,47.21749264910672,113.03432393716324,-65.2,122.5,1.1751020408163266,-1,-1,3,-71.26365111381651
5,13547,0.0025334241536293,114.12357690519306,276.36354534266,-55.76953127826968,299.0,1.1791785604661855,-1,-1,3,-71.26365111381651
6,16805,0.1038367242055231,141.95213593204147,342.76900546042845,-53.41093945507941,371.0,1.1781655645951254,-1,-1,3,-71.26365111381651
