pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,1,41,29.633580814089022,-15.080231700304045,-23.97564561861429,33.25,-0.47073425646464784
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,2,63,45.58710942915278,-21.72706731002712,-36.43400956378903,50.5,-0.44475746906477975
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,3,111,81.94428987918334,-33.4272846069849,-63.97790817908595,88.5,-0.38732122483998344
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,4,154,115.6678926835232,-40.33842587599267,-88.80118327270077,122.49999999999999,-0.3355550058490158
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,5,387,298.5540524155227,-16.324147336671235,-223.51691531931203,299.0,-0.05462296924649058
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,6,492,370.07046029884543,26.246036161688007,-283.6625198058947,370.99999999999994,0.07080317506469029
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,7,606,433.45962322092987,91.44263249256066,-349.41015659140936,443.0,0.2079114473699117
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,8,734,480.6590246219894,182.10684240148098,-423.3763700379994,514.0,0.3621584180340999
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,1,71,26.677675330184208,-19.846010656484115,62.50152542237,33.25,-0.639597439542824
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,2,108,40.33165818904871,-30.39090896504643,94.93003948601543,50.49999999999999,-0.6457532346299376
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,3,190,69.95134117248587,-54.21309683250426,166.3812031247033,88.5,-0.6593172796316931
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,4,264,95.90711001017036,-76.21073578897584,230.3367684596182,122.50000000000001,-0.6714584046854052
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,5,645,221.8816466772587,-200.42338902380658,563.1024312861027,298.99999999999994,-0.7346296031534741
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,6,802,268.7842353800009,-255.7264843757649,699.4223510769464,371.00000000000006,-0.7605081965577267
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,7,959,312.9103214617801,-313.58592239238914,836.21521404229,443.00000000000006,-0.7864765428376295
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,8,1114,353.5859119931915,-373.05898037702167,971.6671100430987,514.0,-0.8121903544243725
1,11,321,1.0,0.49368,0.1321259019429985,-1.0738985125516238,1,137,12.915890239526165,-30.63890140524808,-43.444920048213746,33.25,-1.1718497854240255
1,11,321,1.0,0.49368,0.1321259019429985,-1.0738985125516238,2,211,13.03332406710157,-48.789163384525374,-66.98002850393867,50.50000000000001,-1.3097561541127516
1,11,321,1.0,0.49368,0.1321259019429985,-1.0738985125516238,3,395,-7.166819915557554,-88.20933449640104,-125.36497625977213,88.5,-1.6518661162541712
