event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,n_merged
2.0,0,1,12,33.197138082984736,-1.8740058962987114,-24.25,33.25,-0.05639097744360902,48.350277237637215,0.01,2
2.0,1,2,33,50.41675555341781,-2.898406366766914,-36.8,50.5,-0.05742574257425743,48.350277237637215,0.01,1
2.0,-1,2,33,50.42239612155469,-2.79856558990976,-36.8,50.5,-0.05544554455445545,48.350277237637215,0.01,1
2.0,1,3,80,88.35019764760762,-5.147093901287451,-64.8,88.5,-0.05819209039548022,48.350277237637215,0.01,1
2.0,-1,3,80,88.36986241513208,-4.79764699937637,-64.8,88.5,-0.05423728813559324,48.350277237637215,0.01,1
2.0,1,4,122,122.2825541565836,-7.295680156243407,-89.60000000000001,122.5,-0.059591836734693863,48.350277237637215,0.01,1
2.0,-1,4,122,122.3275914773602,-6.496950311344209,-89.60000000000001,122.5,-0.05306122448979591,48.350277237637215,0.01,1
2.0,1,5,341,298.3329305164269,-19.96152723317457,-220.05557776935308,299.0,-0.0668106529313827,48.350277237637215,0.01,1
2.0,-1,5,341,298.6860281311004,-13.69878094092748,-219.83872716209925,299.0,-0.0458313640907753,48.350277237637215,0.01,1
2.0,1,6,430,370.09809602317085,-25.85341989029317,-270.46134952876747,371.0,-0.0697422917531307,48.350277237637215,0.01,1
2.0,-1,6,430,370.6605137878309,-15.867687876349333,-270.6501659546838,371.0,-0.0427830986409519,48.350277237637215,0.01,1
2.0,1,7,520,441.8223617201349,-32.28003537857871,-325.76855396767195,443.0,-0.0729315337338957,48.350277237637215,0.01,1
2.0,-1,7,520,442.6476304239421,-17.665652551468703,-322.9504259396287,443.0,-0.0398878959223804,48.350277237637215,0.01,1
2.0,1,8,608,512.5277449555676,-38.87557910514925,-376.6012853870012,514.0000000000001,-0.0757057177290303,48.350277237637215,0.01,1
2.0,-1,8,608,513.6495433287121,-18.977529823593716,-377.2312232368269,513.9999999999999,-0.036929657784762,48.350277237637215,0.01,1
3.0,0,1,10,-33.085585736239516,-3.3025015503319533,-13.5,33.25000000000001,-3.042105263157895,47.54800641016002,0.01,2
3.0,0,2,29,-50.25015124749413,-5.017138088991999,-20.8,50.5,-3.0420792079207923,47.54800641016002,0.01,2
3.0,1,3,70,-88.07946739462267,-8.617274713017125,-36.0,88.5,-3.04406779661017,47.54800641016002,0.01,1
3.0,-1,3,70,-88.04469906511447,-8.965543292708526,-36.0,88.5,-3.0401129943502827,47.54800641016002,0.01,1
3.0,1,4,106,-121.93738068320918,-11.727113545886748,-50.0,122.5,-3.045714285714286,47.54800641016002,0.01,1
