event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,beamspot_z0
1.0,1,1,9,-10.013142128653003,31.706458091552804,10.21226858894941,33.25,1.8766917293233083,9.108631887542044,0.01,13.71226858894941
1.0,1,2,27,-15.04293689248527,48.20746881603208,8.112268588949409,50.49999999999999,1.8732673267326736,9.108631887542044,0.01,13.71226858894941
1.0,1,3,65,-25.756333189011325,84.66912838016366,4.11226858894941,88.50000000000001,1.866101694915254,9.108631887542044,0.01,13.71226858894941
1.0,1,4,99,-34.83980099948329,117.44121195864936,0.5122685889494107,122.5,1.859183673469388,9.108631887542044,0.01,13.71226858894941
1.0,1,5,277,-73.99853929967368,289.6984918523303,-19.691729530210313,299.00000000000006,1.820881778439036,9.108631887542044,0.01,13.71226858894941
1.0,1,6,350,-86.14508224499176,360.8601180582354,-25.16311634050636,371.0,1.8051321237204307,9.108631887542044,0.01,13.71226858894941
1.0,1,7,422,-95.93504472500736,432.4875341482236,-35.54361689676668,443.0,1.7890834001879663,9.108631887542044,0.01,13.71226858894941
1.0,1,8,494,-103.52423850267212,503.4667139369213,-42.08265027149456,513.9999999999999,1.7735925386439808,9.108631887542044,0.01,13.71226858894941
1.0,-1,1,9,-10.013142128653003,31.706458091552804,10.21226858894941,33.25,1.8766917293233083,9.108631887542044,0.01,13.71226858894941
1.0,-1,2,27,-15.376684099114753,48.10205386588011,8.112268588949409,50.5,1.8801980198019803,9.108631887542044,0.01,13.71226858894941
1.0,-1,3,65,-27.520496686632512,84.11225988000231,4.11226858894941,88.49999999999999,1.8870056497175145,9.108631887542044,0.01,13.71226858894941
1.0,-1,4,99,-38.93991890697048,116.14616961191,0.5122685889494107,122.5,1.8942857142857144,9.108631887542044,0.01,13.71226858894941
1.0,-1,5,277,-105.80329682802352,279.6545411401737,-19.474878922956673,298.99999999999994,1.932488235207274,9.108631887542044,0.01,13.71226858894941
1.0,-1,6,350,-136.76979667317994,344.8695734882638,-25.351932766422546,371.0,1.9483545165539535,9.108631887542044,0.01,13.71226858894941
1.0,-1,7,422,-169.77994067369832,409.17450035997535,-32.72548886872343,443.0,1.964109200824225,9.108631887542044,0.01,13.71226858894941
1.0,-1,8,494,-204.4079336737476,471.6072483022592,-42.71258812132051,514.0,1.979784116510694,9.108631887542044,0.01,13.71226858894941
3.0,1,1,20,-29.353809139752688,15.617822799192329,-109.04928478082229,33.25,2.6526315789473687,204.55647954522595,0.01,-46.7992847808223
3.0,1,2,57,-44.57876826594881,23.727271648692263,-141.5992847808223,50.5,2.6524752475247526,204.55647954522595,0.01,-46.7992847808223
3.0,1,3,138,-78.10247709252836,41.62034444849153,-212.7992847808223,88.49999999999999,2.651977401129944,204.55647954522595,0.01,-46.7992847808223
3.0,1,4,210,-108.07631411396298,57.66940547239938,-276.3992847808223,122.5,2.651428571428572,204.55647954522595,0.01,-46.7992847808223
3.0,1,5,585,-263.571685411297,141.17707550961774,-608.5840324574508,299.0,2.649848458520951,204.55647954522595,0.01,-46.7992847808223
3.0,1,6,738,-326.9243510640493,175.38947711122876,-742.5416020313112,371.0,2.64918608623883,204.55647954522595,0.01,-46.7992847808223
3.0,1,7,891,-390.203594804811,209.7383002729899,-878.2858708128721,443.0,2.64838930574719,204.55647954522595,0.01,-46.7992847808223
3.0,1,8,1042,-452.59627893822505,243.62390747065933,-1010.8127837989507,514.0,2.647791374112091,204.55647954522595,0.01,-46.7992847808223
3.0,-1,1,20,-29.353809139752688,15.617822799192329,-109.04928478082229,33.25,2.6526315789473687,204.55647954522595,0.01,-46.7992847808223
3.0,-1,2,57,-44.57876826594881,23.727271648692263,-141.5992847808223,50.50000000000001,2.6524752475247526,204.55647954522595,0.01,-46.7992847808223
3.0,-1,3,138,-78.1259789452901,41.5762121151036,-212.7992847808223,88.5,2.652542372881356,204.55647954522595,0.01,-46.7992847808223
3.0,-1,4,210,-108.17032416181485,57.49287756520712,-276.3992847808223,122.5,2.653061224489796,204.55647954522595,0.01,-46.7992847808223
3.0,-1,5,585,-264.2570213369669,139.89005209132574,-607.8802035590559,299.0,2.654725119646765,204.55647954522595,0.01,-46.7992847808223
3.0,-1,6,738,-328.0293036775534,173.31409616306297,-742.0597728599051,371.0,2.6555235545067664,204.55647954522595,0.01,-46.7992847808223
3.0,-1,7,891,-391.8316416180712,206.6808279132039,-876.9962401778745,443.0,2.656208535979939,204.55647954522595,0.01,-46.7992847808223
3.0,-1,8,1042,-454.8232555941005,239.4406109472317,-1011.1049710187581,514.0,2.6570115126008207,204.55647954522595,0.01,-46.7992847808223
4.0,1,1,29,19.167718121046143,27.169120008423523,-62.729696188709426,33.25,0.956390977443609,16.979292088752636,0.01,33.770303811290574
4.0,1,2,82,29.15087231831665,41.23683599745742,-112.62969618870943,50.5,0.9554455445544554,16.979292088752636,0.01,33.770303811290574
4.0,1,3,199,51.37722516412761,72.05991073013158,-223.02969618870944,88.5,0.9514124293785312,16.979292088752636,0.01,33.770303811290574
4.0,1,4,304,71.47968798519811,99.48318554177246,-321.8296961887095,122.5,0.9477551020408164,16.979292088752636,0.01,33.770303811290574
4.0,1,5,846,179.45229777980583,239.16076773072092,-835.2974637459744,298.99999999999994,0.9270765638680568,16.979292088752636,0.01,33.770303811290574
4.0,1,6,1067,225.13096050937048,294.884809069793,-1042.2107230262561,371.0,0.9187401730382811,16.979292088752636,0.01,33.770303811290574
4.0,1,7,1289,271.8169633993068,349.8064299128591,-1253.7395480442972,443.00000000000006,0.9102069986198846,16.979292088752636,0.01,33.770303811290574
4.0,1,8,1507,318.7825509745636,403.2042722915393,-1458.4397462830675,514.0,0.9017993091570086,16.979292088752636,0.01,33.770303811290574
4.0,-1,1,29,19.12684064497953,27.197912915177124,-62.729696188709426,33.25,0.9578947368421054,16.979292088752636,0.01,33.770303811290574
4.0,-1,2,82,29.02825825285945,41.32324071034721,-112.62969618870943,50.5,0.9584158415841584,16.979292088752636,0.01,33.770303811290574
4.0,-1,3,199,50.55972639510228,72.63583183837298,-223.02969618870944,88.5,0.9627118644067796,16.979292088752636,0.01,33.770303811290574
4.0,-1,4,304,69.59935152824116,100.80763992301534,-321.8296961887095,122.5,0.966530612244898,16.979292088752636,0.01,33.770303811290574
4.0,-1,5,846,164.78843505339248,249.49102523468423,-833.7234284299731,299.0,0.987076193743321,16.979292088752636,0.01,33.770303811290574
4.0,-1,6,1067,201.89175621924747,311.25667666848204,-1043.2510237510562,371.0,0.9953817765498976,16.979292088752636,0.01,33.770303811290574
4.0,-1,7,1289,237.89093338735316,373.7069758675825,-1252.5112877588163,443.0,1.003919700298783,16.979292088752636,0.01,33.770303811290574
4.0,-1,8,1507,272.36136261753643,435.9074307156496,-1458.9350630803658,514.0,1.0123302850754996,16.979292088752636,0.01,33.770303811290574
6.0,1,1,18,17.66954697974216,-28.16646249585994,94.07541223760462,33.25,-1.0105263157894735,4.484943220290583,0.01,42.325412237604624
6.0,1,2,49,26.65117735346165,-42.89481024173359,121.12541223760464,50.5,-1.0148514851485149,4.484943220290583,0.01,42.325412237604624
6.0,1,3,120,45.565754202070174,-75.8683863278805,179.92541223760463,88.5,-1.029943502824859,4.484943220290583,0.01,42.325412237604624
6.0,1,4,183,61.5370357536136,-105.92187323994268,233.12541223760462,122.5,-1.0444897959183674,4.484943220290583,0.01,42.325412237604624
6.0,1,5,511,129.67150001594592,-269.4184516391083,509.1682175114124,299.0,-1.1222191174740668,4.484943220290583,0.01,42.325412237604624
6.0,1,6,646,149.98927113004837,-339.3290711770461,623.1624958458689,371.0,-1.1546007326434562,4.484943220290583,0.01,42.325412237604624
6.0,1,7,781,165.75504270166235,-410.8214524814522,736.0215894596804,443.0,-1.1873002467020242,4.484943220290583,0.01,42.325412237604624
6.0,1,8,916,176.84138184438265,-482.6210994842323,848.7704948500842,514.0,-1.2195701557445375,4.484943220290583,0.01,42.325412237604624
6.0,-1,1,18,17.754178105477,-28.113193696181177,94.07541223760462,33.25,-1.0075187969924813,4.484943220290583,0.01,42.325412237604624
6.0,-1,2,49,27.20106590759264,-42.54823161414351,121.12541223760464,50.5,-1.001980198019802,4.484943220290583,0.01,42.325412237604624
6.0,-1,3,120,48.73865477528198,-73.87011256723441,179.92541223760463,88.5,-0.9875706214689266,4.484943220290583,0.01,42.325412237604624
6.0,-1,4,183,68.93953643763065,-101.26001340985788,233.12541223760462,122.5,-0.973061224489796,4.484943220290583,0.01,42.325412237604624
6.0,-1,5,511,187.0274160747473,-233.28468795959017,510.82395771183747,299.0,-0.8950116168739322,4.484943220290583,0.01,42.325412237604624
6.0,-1,6,646,241.2861812182135,-281.81905321168665,623.5534043952221,371.00000000000006,-0.8627287677859337,4.484943220290583,0.01,42.325412237604624
6.0,-1,7,781,298.8988869059671,-326.9685847392282,736.0039414358716,443.0,-0.8302173966327534,4.484943220290583,0.01,42.325412237604624
6.0,-1,8,916,358.94448427986873,-367.90604399093394,850.1916110584237,514.0,-0.7977268407756144,4.484943220290583,0.01,42.325412237604624
8.0,1,1,28,-3.066657688845128,-33.10827858133743,4.703416510577355,33.24999999999999,-1.6631578947368426,7.300618836645946,0.01,-87.79658348942264
8.0,1,2,79,-4.817448779131868,-50.26969452125645,52.60341651057736,50.5,-1.6663366336633665,7.300618836645946,0.01,-87.79658348942264
8.0,1,3,192,-9.217776827166857,-88.0186491055421,158.60341651057735,88.5,-1.6751412429378532,7.300618836645946,0.01,-87.79658348942264
8.0,1,4,292,-13.847786159626583,-121.71478471606171,253.00341651057738,122.5,-1.6840816326530612,7.300618836645946,0.01,-87.79658348942264
8.0,1,5,815,-47.92011434597915,-295.134990540038,746.1164293178608,299.00000000000006,-1.7317584236084684,7.300618836645946,0.01,-87.79658348942264
8.0,1,6,1029,-66.71105941150127,-364.9529210078954,945.874456982758,371.0,-1.7515938720887922,7.300618836645946,0.01,-87.79658348942264
8.0,1,7,1244,-88.22521443413717,-434.1259166855286,1147.8121317602615,443.0,-1.7712908609935374,7.300618836645946,0.01,-87.79658348942264
8.0,1,8,1456,-112.2854793812054,-501.58545744482353,1346.0230050408045,514.0,-1.791026497232636,7.300618836645946,0.01,-87.79658348942264
8.0,-1,1,28,-3.0168673552200747,-33.11285266117988,4.703416510577355,33.25,-1.6616541353383458,7.300618836645946,0.01,-87.79658348942264
8.0,-1,2,79,-4.419126024410233,-50.30627520678092,52.60341651057736,50.50000000000001,-1.658415841584158,7.300618836645946,0.01,-87.79658348942264
8.0,-1,3,192,-6.927431276776205,-88.22845740409124,158.60341651057735,88.5,-1.6491525423728814,7.300618836645946,0.01,-87.79658348942264
8.0,-1,4,292,-8.520564572207183,-122.20331410960526,253.00341651057738,122.5,-1.6404081632653065,7.300618836645946,0.01,-87.79658348942264
8.0,-1,5,815,-6.5157465465353415,-298.9289966646617,745.7728529881332,299.00000000000006,-1.5925898463898631,7.300618836645946,0.01,-87.79658348942264
8.0,-1,6,1029,-0.7246736216898697,-370.9992922474948,947.2117480729681,371.0,-1.572749626208663,7.300618836645946,0.01,-87.79658348942264
8.0,-1,7,1244,7.883058363771491,-442.92985606169447,1148.2179508187735,443.0,-1.5530006734000843,7.300618836645946,0.01,-87.79658348942264
8.0,-1,8,1456,19.2474868175892,-513.6394983363398,1346.978776222974,514.0000000000001,-1.5333410973806665,7.300618836645946,0.01,-87.79658348942264
10.0,1,1,20,-25.729362251411622,-21.060921587994063,4.651922191195688,33.25,-2.455639097744361,6.042641005525755,0.01,-58.59807780880431
10.0,1,2,58,-39.197891480710126,-31.83983830779409,37.40192219119569,50.49999999999999,-2.45940594059406,6.042641005525755,0.01,-58.59807780880431
10.0,1,3,139,-69.31481107690621,-55.02460327319771,109.8019221911957,88.5,-2.470621468926553,6.042641005525755,0.01,-58.59807780880431
10.0,1,4,212,-96.74639019073,-75.14243797657234,174.60192219119568,122.5,-2.481224489795918,6.042641005525755,0.01,-58.59807780880431
10.0,1,5,593,-246.31392973926387,-169.50058411817045,510.4229072966009,299.0,-2.5388650170935083,6.042641005525755,0.01,-58.59807780880431
10.0,1,6,749,-310.5780017319608,-202.9342377229189,648.5832895703161,371.0,-2.5628251847532613,6.042641005525755,0.01,-58.59807780880431
10.0,1,7,905,-376.5703399168965,-233.331907579896,787.837148801944,443.00000000000006,-2.586868786083901,6.042641005525755,0.01,-58.59807780880431
10.0,1,8,1060,-443.215915855415,-260.2991585319586,924.0975114091169,514.0,-2.610566327314551,6.042641005525755,0.01,-58.59807780880431
10.0,-1,1,20,-25.6976626137695,-21.099588531269355,4.651922191195688,33.25,-2.454135338345865,6.042641005525755,0.01,-58.59807780880431
10.0,-1,2,58,-38.88072944620449,-32.22636929179344,37.40192219119569,50.5,-2.449504950495049,6.042641005525755,0.01,-58.59807780880431
10.0,-1,3,139,-67.53952128979343,-57.18971117207655,109.8019221911957,88.49999999999999,-2.438983050847458,6.042641005525755,0.01,-58.59807780880431
10.0,-1,4,212,-92.62494865594984,-80.16775465536412,174.60192219119568,122.5,-2.4281632653061225,6.042641005525755,0.01,-58.59807780880431
10.0,-1,5,593,-214.40672991550872,-208.40046585105824,511.7087175524334,299.0,-2.370399215536185,6.042641005525755,0.01,-58.59807780880431
10.0,-1,6,749,-259.78586240842657,-264.8628054157663,648.9118623653239,371.0,-2.346517948809356,6.042641005525755,0.01,-58.59807780880431
10.0,-1,7,905,-302.558636130786,-323.5850300966944,787.1797875995833,443.0,-2.322626322311375,6.042641005525755,0.01,-58.59807780880431
10.0,-1,8,1060,-342.06214595047305,-383.6528226245146,922.4043677633839,514.0,-2.298947176678237,6.042641005525755,0.01,-58.59807780880431
11.0,1,1,12,6.830010391574061,32.5409504786045,33.00281814252784,33.25,1.3639097744360902,16.747246822481447,0.01,5.7528181425278415
11.0,1,2,34,10.400256087869613,49.41745312444512,46.952818142527846,50.5,1.3633663366336637,16.747246822481447,0.01,5.7528181425278415
11.0,1,3,83,18.576289547340547,86.52844310776293,78.15281814252785,88.49999999999999,1.3593220338983054,16.747246822481447,0.01,5.7528181425278415
11.0,1,4,127,26.218145535146377,119.661434241354,105.75281814252784,122.5,1.3551020408163266,16.747246822481447,0.01,5.7528181425278415
11.0,1,5,355,70.04047633495966,290.68080720056486,248.70241486549264,299.0,1.3343502368936373,16.747246822481447,0.01,5.7528181425278415
11.0,1,6,448,89.92627499173089,359.9364736534929,307.62511582518783,371.0,1.3259689207082024,16.747246822481447,0.01,5.7528181425278415
11.0,1,7,541,111.0924190459502,428.8443475557525,369.02131297059714,443.0,1.317317684830354,16.747246822481447,0.01,5.7528181425278415
11.0,1,8,633,133.10842484990818,496.4656556439492,426.4175656881559,514.0,1.30884499670096,16.747246822481447,0.01,5.7528181425278415
11.0,-1,1,12,6.7810689275744975,32.55118437475791,33.00281814252784,33.24999999999999,1.365413533834587,16.747246822481447,0.01,5.7528181425278415
11.0,-1,2,34,10.253425910525854,49.448126932143325,46.952818142527846,50.50000000000001,1.3663366336633662,16.747246822481447,0.01,5.7528181425278415
11.0,-1,3,83,17.597401959703014,86.73281642071034,78.15281814252785,88.5,1.370621468926554,16.747246822481447,0.01,5.7528181425278415
