event,pT,eta,phi,px,py,pz,E
1,9.108631887542044,-0.1074027506682025,1.876668637021555,-2.742837790970797,8.685851467482632,-0.9801740284478684,9.16121804067513
2,4.385878119205312,-2.09493548694318,1.5900625729839113,-0.084494180165545,4.385064151188906,-17.547544428914417,18.08735034108781
3,204.55647954522595,-1.3863678126311327,2.6522901764070927,-180.5540096571244,96.1436577246334,-383.57532826989313,434.710692048508
4,16.979292088752636,-1.7872665163212464,0.9570632443758684,9.778769505074912,13.880634956722796,-49.28821557625571,52.1308407233821
5,13.291839951735806,-2.111230196720071,-1.3280858698429054,3.194487972329892,-12.902257782930851,-54.07988167962353,55.68937611236672
6,4.484943220290583,1.2257461597861947,-1.0086383240713286,2.3905345587347,-3.794741125916965,6.981191957790792,8.297695875407419
7,4.4843377899311125,-2.3946553886182613,-2.5752519055945764,-3.784198058314148,-2.4060611940795864,-24.37958410457228,24.78857411240343
8,7.300618836645946,1.7474643852535094,-1.6621622960794151,-0.6661004740712807,-7.270168193132235,20.316945374007467,21.588823606866423
10,6.042641005525755,1.3992219452113708,-2.4546854202353803,-4.672236399437408,-3.831933891579221,11.496901359983903,12.988158114330956
11,16.747246822481447,0.7453004543976998,1.3648439772592509,3.4248031950044835,16.39332178689243,13.669795642403349,21.61789973698149
12,1.2781903940382828,2.3133585774066776,-0.0631141046976166,1.275645473438679,-0.0806182951143775,6.396952332424988,6.5234017066810495
13,84.1509376199525,1.3145998497356566,-1.791355213734266,-18.41012182452512,-82.11240903008071,145.3572405543336,167.95864873202433
15,48.27558459500238,0.1075832630006462,-3.033850793055349,-47.99565660334597,-5.1912440900928605,5.203669391699285,48.555228792863694
15,0.8376544492041221,0.6575648519971572,-1.9362149042462269,-0.2993276639783538,-0.7823477013762634,0.5913736052137236,1.0253719896773748
17,71.12353667556745,0.874781199877082,2.6346026768759896,-62.17690533807233,34.533895115106574,70.46198956488243,100.1171785593381
18,1.070909523275001,0.1604945544518845,-0.1025188919336382,1.065286755015015,-0.1095962436886846,0.1726139720919521,1.0847316674654848
19,32.639204833608204,-1.3283287642178403,-1.5362043484029235,1.1288295097359895,-32.61967866347218,-57.27870400646062,65.92547022835682
20,0.5198937524339498,2.086561966223943,-1.3104760999858074,0.1338154543347386,-0.5023772865098904,2.0621724949387734,2.1266981244882546
21,4.803947169665835,0.13069101651183,-1.331780770078573,1.1373166421702712,-4.667378200272925,0.6296215111812752,4.845031646571834
22,6.3168984301827305,1.6773968944926283,-2.3514053977249305,-4.445279031553431,-4.488061954661102,16.312591951055506,17.492966070363423
23,2.7402651602096118,0.4151360816018358,2.8730681847751747,-2.6420634220498287,0.7270172089606646,1.1705404429796042,2.979801684157772
24,1.2043336260784734,0.1904890040542909,-0.2711797350944174,1.16032192010284,-0.3226027350041883,0.2308022438592433,1.226250039214591
25,242.1186883891802,-0.3974934609541179,0.626947152288904,196.07311537726184,142.04503755341793,-98.79504495820966,261.4993693598354
26,17.099304353435517,-0.6101717069780159,-2.242183616885796,-10.637011746496803,-13.38806149060826,-11.093087013339424,20.38241371518444
27,1.3906213085223804,-1.502171468541842,1.8784267068587956,-0.4210816806434161,1.3253368786625586,-2.9681319174460263,3.2777484197354627
28,5.3705977095411175,2.2186278220303284,1.7700365946665,-1.0629738624160785,5.264352412742572,24.39848358733859,24.982580353505497
29,0.9147074634678942,-2.1079590478640653,-1.5056498876428437,0.0595477925262324,-0.912767113851678,-3.709110649110527,3.820234489016215
30,38.6544467842832,0.3550111951181405,-3.0149669161590507,-38.34496643992223,-4.881578117803668,14.01283662697217,41.11600474916301
31,19.76340185204317,1.2129606128424255,-3.122421651068344,-19.759770168040745,-0.3788610187792178,30.29840174514731,36.17437215869391
32,2.479154189082457,-0.4163469194962764,0.7545706359581722,1.80622674276888,1.6981609013728989,-1.0622684781006608,2.697150313351369
33,13.565323784724594,-0.3310890637633146,-0.2248542390849651,13.22383869222928,-3.024582554058428,-4.573837860841738,14.31565584113016
34,3.216867263752391,-1.2546390413107962,-1.1203901141962609,1.4004029151209512,-2.89605018394408,-5.181397889284034,6.098780130458783
35,8.896142326402561,-0.4329116138691271,2.034972683058328,-3.982682455908263,7.954846871374189,-3.972670783480132,9.742867208657204
36,13.177599421130344,-2.4349477671426967,-1.6126524965640583,-0.551402801599353,-13.1660579314449,-74.63542020403203,75.78980852025032
37,18.63357791419927,1.6573762741160016,-1.5527942804753794,0.3354244149877871,-18.63055866973304,47.09535668533134,50.64763417182601
38,0.8918013094481867,0.0463754801357088,-2.7155982368440754,-0.8120994781528756,-0.3685159604648454,0.0413725400757893,0.8927604732546257
