event,pT,eta,phi
1,94.61925230648905,-2.371400083010399,0.2840103547254419
1,0.6789388814501438,1.2129543408516608,2.3535019399384094
1,0.9338015702610224,1.8494548231588388,2.208874099493453
1,0.6514705860469465,0.7189272512144358,-1.049553659050877
1,1.359661862861711,-0.811712141716317,0.968384810711042
1,0.6652013205989094,-1.676745582533534,1.36668554686992
2,0.7083743527426544,-0.5205691258302111,-1.6023443115028198
3,1.136762820404433,-2.023573167501616,0.5202734521542003
3,0.7648680441419397,-1.56376956715608,-3.125757629258508
3,0.5322858733868169,2.158531705011311,3.0334730683309385
4,1.325083001727352,0.9710322612485413,2.1532492206893297
5,10.314321627706038,-1.4318449200581964,2.1380587797923907
5,0.7673578057305275,-0.1920218934964944,-0.2284170838395096
5,0.6189044069351383,0.0457979698835202,-0.9738753766805808
5,1.3526391521563206,1.786189012336647,-0.2581654690515698
7,1.4120995990152088,1.142765916345398,2.725561500007548
8,64.40069046741858,-0.7012878747616167,-2.4271156077799936
8,0.5128263534687082,0.7395745832434242,1.205684953699249
8,0.6084461300223603,-1.670311745220572,1.3247827875106395
9,20.221544125940778,1.1416596166370274,-1.638442372286608
10,0.5025853108528414,-2.2614493838868337,-3.009083292553276
10,0.5940993282082526,1.482548839095744,-2.9764307171851065
10,0.5073076727778433,1.4911375267480604,-1.154950255137993
10,0.7854843588450358,-2.158663289780576,-0.2105228429427091
11,1.403256052171111,2.4232557780397896,0.8378390679602338
11,0.7551822170293934,-0.9255408354139872,2.4707454953123587
11,0.5025436834212266,-2.145302841211581,1.6837021817824898
11,0.6110675871264941,2.266758678790532,1.2869934156224343
11,0.5529057154478814,0.8282803223783903,-1.2725714833479926
12,43.508969638248296,0.7123407138546786,1.263927063500096
12,1.1392336441815132,-2.067928703585276,2.8791411245489718
12,0.9144478989953794,0.3711243252318952,0.487685648928128
12,0.520403820221624,1.8070591961324325,-2.317924820396301
13,2.019644728979297,1.829881671386901,1.8698302422033173
13,0.5146992881151079,0.2269427964628404,2.1515104595781063
13,1.217988650171255,0.8487700467751188,-1.373590233833433
13,0.8656127774662311,-1.9191293329905996,-2.4961382728900428
13,0.5150169028377385,0.616270839001489,-0.4547903432144096
14,2.183247403312204,0.4147543164987262,0.585568633655466
14,1.3185169882095262,0.5004493546661539,1.2757698890785003
14,0.8828728611044768,1.728942870914102,-3.13305164686415
14,0.6450632753884433,-0.1833469901172716,-1.0809947656633263
14,0.587200629605059,-2.43045445519305,2.606961654249889
14,0.5427493232138593,-2.384313461143841,0.8491110462163646
14,0.7929598236740142,-2.04573242138398,0.1894984091403366
15,0.8249481447595052,-0.7015351982371829,2.9304191884105157
15,0.5301985994242395,0.5780890993796146,-1.6741771911620935
16,0.5413293361739475,-2.401213524576268,-0.762093361313101
16,0.656526693317848,0.6529881039276867,2.867407427400846
16,0.6553593765611062,0.9844937341834036,0.8311980421466875
17,167.90974716324385,-2.4457026239423394,3.1037249027143816
18,0.6442464170640214,2.0453304918504527,0.4824902377590617
19,47.18248449988436,-1.156968695299014,-2.575742833356682
19,0.5026525071815173,-0.2435921916038557,2.840212564104842
19,0.7775922590881114,-0.1967260524721869,2.629066069993
19,0.6023451110779813,1.5816487526319525,-0.3076027980558489
19,0.6674546615332372,-1.8618239310962348,-1.793642807801282
20,1.3205406761787897,-0.7064670725809995,-2.290414325984246
21,33.97492674800851,1.7407549110735412,2.3616401617453366
21,1.3767222403502,1.598541509749662,1.6282765475931718
21,0.9576780652371718,-0.7697889364064996,-2.745515763086918
21,0.8852321576681379,0.8328002374566811,-1.5922627013623245
21,0.5051925511215244,-1.571691030807824,1.1874226077635948
21,0.8616307640645567,1.6758450915608991,-2.1225691027129625
21,0.7772212382277288,-1.869451486056136,-2.552544044677486
22,1.013533674679647,1.7616395496576545,-2.018942369483965
22,0.6535946332326746,0.4027128139426444,-0.4744771370737092
22,0.6445702861005782,0.1002189059491301,-1.3070250496537774
23,24.84175062158763,-2.469570767701708,-0.1459446489211468
