event,pT,eta,phi
1,13.48177314253139,1.832610521734328,-0.071997897948392
2,48.350277237637215,-0.6786196119498876,-0.0563373783126785
3,47.54800641016002,-0.3981481365948877,-3.042201415322448
4,16.483321659111457,1.4116986743751678,1.300822016178218
5,12.774309851914332,0.8792922504605745,0.3429345222241918
6,18.81935401801065,-2.1576823165621946,0.1725795508245155
7,23.021788705138967,1.613313879064955,-2.479058259245213
8,24.24634810176271,-1.4277164809343488,-1.7410165258272154
10,17.96214608728148,0.6753041762587589,0.2155569588920259
11,17.895757330169943,-1.9292876493287143,0.1659534865045338
12,44.00803498227809,2.1532805815019853,-1.7995837920724291
13,19.63702502724616,-0.4053402020708049,-1.3278792192422315
14,11.868590176714402,-1.2574387940415137,-0.0179455898128406
15,74.01545084851018,-0.0971353368460052,0.0739997737460226
16,21.862533243080527,-2.005306782268336,-2.5803160557451887
17,24.8603588185733,-1.373006163676034,1.852099360708666
18,16.761479079572354,0.8304290951262298,0.4109029657533311
19,18.42165394370655,0.5542650213913076,2.2612324234570256
20,17.37607845417396,-1.2647458399246172,2.6217343279422445
21,13.883915454200858,1.3654993511088065,-2.4203796748624344
22,12.42087794514057,-1.043984584321299,2.434448702460696
23,10.685475408214584,2.3630375824861463,-0.8629729308205598
24,22.46017710856511,1.36874864232008,-2.235677614093824
25,99.00311635652436,-2.0276321927898966,-2.803669189410687
26,18.34267034279568,-0.5087483886861377,-1.2580977588904712
27,14.171801602404685,1.554946606544802,2.8093372110846846
28,11.446201842001454,-1.5123332261861695,0.1051986750850146
29,47.94022684772855,-1.7371192072418933,2.6381071677465964
30,17.7273954126632,2.2069212943582515,-2.782459776377153
31,15.226291791717316,-0.6486493837788538,2.24351269161676
32,23.78242138601016,-0.2990483525547351,1.9855914627648463
33,10.103415163726345,-1.5457401281001637,-2.3419648570661007
34,30.938474815687428,1.5026139291839964,-0.4873950081287035
35,11.223013394601876,2.122887039306196,1.6271779180549202
36,13.245555596798075,1.1669807532331262,2.2079571059683047
37,21.5385333590844,0.5412015728062727,-2.8618099024896906
38,35.344448531932784,-1.4523168888150082,-1.9993327911557968
39,31.511907055228363,0.7063700842269521,1.415673233949383
40,8.69070266324446,-0.8164067155682287,-1.211176540980545
41,21.009505489922663,0.8572100669667349,2.869136020095213
42,48.44439472212098,-2.1627384498985074,-2.3075552367657504
43,26.975789555489765,-0.1560265193055912,2.5710985671949924
44,22.10071709711522,0.7107778701603469,-1.877325504634516
45,10.634668410159986,1.2989067540416688,1.598493473823111
46,15.289175770967644,-1.532781139081398,-2.868215718274933
47,14.492152811169912,-2.3846501745641286,2.869280355283414
48,272.0767448845086,1.620570083375097,-2.3754907285258
49,33.52600795280153,-0.0783480606362883,2.155871580343897
50,10.864751944521956,-0.8241128116345942,2.6566591972004203
51,87.92860955925605,-1.973216041715622,-3.138745341923694
52,11.375909361795577,-1.0602293374580831,-1.9425531561919505
53,10.891753407823098,2.30874443307332,2.211129950298629
54,91.74175339870742,-2.0163300982629035,-3.092662928140607
55,9.875264294930243,0.2499351048078685,-1.129172758693029
56,28.51161582641021,-0.1803717315131276,0.1694751133995121
57,20.65656275077251,0.4386115288066596,-3.067291486249248
58,17.743891481958638,1.8331542660939208,-0.3906275470434511
59,64.85839726973856,-0.5564596163934382,-2.760571115809571
60,38.86262621614621,0.6273702245923798,-2.9622571713774475
61,25.011756119244414,-1.839025445867688,1.3764351515019315
62,12.81839601665093,-1.083866283638041,1.8981457600431657
63,104.0752558631664,-1.3258344710701626,-0.1290093598467564
64,58.08918179955129,0.811656965476365,2.680073239918818
65,11.416936087142972,0.6966676636710757,2.0858918193596008
66,12.746765204304303,1.1764986400477444,0.0213889360203688
67,32.76134108777167,2.310032037621767,1.5211019099670626
68,89.6171498389019,-2.453728746719323,1.0015196037878176
69,29.605424052960867,-1.7288295545704353,2.925216398276218
70,82.84742645308187,1.3042974719467544,2.003600425798931
71,17.158210339641744,0.699034299809352,-1.0227196029677734
72,7.748710113667967,-0.0733797627338722,-2.3976321575214974
73,33.49982338614539,-2.0252663161600903,0.9065910735343145
74,15.033467853724344,-1.5993230354674963,-0.7736915473965261
75,33.617389937798315,-0.7697268780292785,-1.0799659432129332
76,12.75195992519278,2.401281052291187,-1.8900286871258336
77,85.87089665282231,1.745952831291737,2.456643815981936
78,12.015564287549784,0.5893026696223814,-1.974794543513868
79,24.22429561954877,0.0822311703281278,-2.976133397759829
81,13.600754411877572,-0.046907574968524,0.3260998070366463
82,56.88923213446456,-1.15591187138854,-0.973759348850194
83,11.984808472866904,-1.0977810484116244,2.349047565219289
84,11.203211316059395,-2.02509845383062,-0.3089182845976889
85,31.873923046811136,-0.1370355514139267,-1.8224922501791865
86,12.570050703932491,-2.17527618193815,2.465687634642373
87,9.388413613430291,-0.2391859909186289,-3.0184541836706176
88,9.923146992951285,-1.8703973415299733,-0.1000252371009956
89,137.16582178771185,0.0455443809237425,-2.719776023613649
90,10.69621733176885,0.5040194290318728,0.1963886938200316
91,26.360171235597427,-1.4257606078087743,-2.231297009063783
92,25.660563242102423,0.6427948959454327,-0.0849433232652783
93,8.663693070087058,-2.362844329870589,-3.108280409410174
94,19.475839143109628,0.2378969000360611,2.948711455433462
95,31.60519733041301,0.2516862465962579,1.1291440664978891
96,10.472915545345357,0.5562169935413641,-0.9657530493550488
97,24.283791690440424,0.809179817263504,1.1774315816539922
98,13.659717116962028,0.734802582099818,0.5524189823082943
99,23.45887001269771,-0.8416404745454878,-1.723805627589922
100,14.46618391419838,0.4904556509470369,-0.7726223106719216
101,27.27630945870615,-0.4688773254768023,-2.686655880024489
102,33.035112801062944,-2.282249085748163,1.216629510395418
103,11.273771569974752,-1.6083144998541303,-0.8661317773086845
104,17.348885494860127,2.2301345074184145,1.6777046192142089
105,69.59554009628177,-0.6631484135095356,-2.930670514605491
106,36.77141746746895,-2.42397009414461,0.7018816538835446
107,27.58513147016553,-1.9309406760103307,1.4331945793127814
108,8.194040091704718,-1.751471155302781,1.4487202197850222
109,59.32949296675228,1.7045963772803334,-1.2386867264257346
110,22.084947788998303,0.9826133540975076,1.4561815811917362
111,24.68332496047319,-1.5839234009525178,-0.4475459430943034
112,55.27510705304578,0.0689992291326483,-1.5656578395237946
113,35.42966275079432,1.906986327518505,0.5285210411427862
114,100.76955700103302,0.6296051584209585,-1.0206575723046531
115,46.70479595929276,1.4034406511009865,-0.0066454758042843
116,22.062469222880367,0.9414840861645696,-1.659975725594972
117,12.682051967217754,1.3842057011973328,-0.7014754193897736
118,8.897964040514681,0.2518062659211729,-0.8302276473673664
119,5.989654589405547,-1.6880445871645997,-2.2039525231393498
120,36.449903613231314,-1.686858448392096,0.7335694599715987
121,26.96651173942394,-1.2461794618261968,-2.5472393799198594
122,102.91747964663102,-2.0347284731074247,2.897754180153478
123,29.233350486802543,1.5753014582726603,2.4296078640788767
124,46.75463790856893,-2.202233938861443,0.7900736226011665
125,12.223985781690072,-0.9649966935568248,2.818161980276695
126,32.67301921211033,0.0741316246328025,1.822308004878892
127,23.374213903752928,-0.4603893250486968,-1.743924289687682
128,21.558627213209046,-1.2561916940824964,-0.441629277467669
129,15.5741603961581,-0.2072488675413862,0.7572553008046269
130,11.503839775822431,0.4566731211720224,0.3581066562393219
131,20.749893229069382,0.050909490844854,0.0498891251544301
132,50.66986100828035,1.2469975007655494,-1.6446153285660716
133,14.110365531382298,0.3563960898829085,-2.160932793359047
134,16.597431019371125,-2.4233350347430056,-3.015808959582067
135,61.76036339565649,1.196575328103059,1.0937939056895554
136,24.35404367595316,0.4760217474530978,-1.1306991201533751
137,34.44892825411985,2.1250428736533995,-0.0315859060743612
138,24.11625749434887,-0.1001725153478765,-0.7880550473655973
139,24.86695480959488,1.4238527714356952,-1.3515824688502516
141,17.232551611150974,-0.8309678227848355,1.5243550447880638
142,29.955366391039195,1.2247545552553545,-1.3258221967924395
143,12.812127305222525,-2.245398374103582,-0.6011611970244515
144,44.52918126933594,1.5653317925134822,0.0419252332408571
145,12.963233645429636,0.5582367759359145,1.154214180216401
146,26.23955883275768,1.2586387112122472,-2.7707149243961
147,25.24104109837477,-2.2596660831149453,1.2519282943159566
148,11.715450599876185,-1.7567945478818932,2.912077416221691
149,34.587464688460685,0.6689567323661669,2.587154274699801
151,34.721161337949816,0.972967444446696,-1.7519708860932786
152,11.747799047870844,-1.703656653171573,1.128590276222656
153,12.268578753219268,-1.154344953747797,-2.4731252245912865
154,20.684575067628284,1.554826063303748,1.546204815875743
155,84.49017941759182,1.6254928470010264,2.140800727411275
156,42.69064063377529,-1.3690656548934577,-0.2910833159230594
157,49.91316138499008,-0.8669824146550168,0.4898237312810784
159,13.669680267876076,1.425358899585908,-0.2955314830569565
160,36.37114239127449,-0.0973328291395076,-2.770385033909818
161,11.794480172423668,0.51344311368442,0.1773407603442521
162,10.97194952051422,1.9226930726244853,2.311788235963728
163,44.3538692836517,-0.9714729856596024,1.978096815785958
164,28.013335704304986,-0.1204833309597113,-0.7044184924026269
165,87.43432828111511,-1.6273529374889557,2.566089708900684
166,10.358672003108714,1.4604274333411442,-2.1212188268800225
167,25.59448139677482,-0.2436934270332252,-0.6834507560798957
