event,id,charge,mass,px,py,pz,E,pT,eta,phi,xProd,yProd,zProd,tProd
1,2212,1.0,0.93827,-0.07583465634411654,-0.05474632284941451,-6428.9990792874605,6428.9991484349775,0.09353103746009975,-11.831183267868402,-2.5163082759204967,0.0,0.0,0.0,0.0
1,-211,-1.0,0.13957,0.5775167589553553,-0.33123121248493265,-0.47986258778310775,0.8324587743861177,0.6657625124611152,-0.669600141560989,-0.520739291175344,0.0,0.0,0.0,0.0
1,-321,-1.0,0.49368,-0.9353832985271207,1.5007947837378142,55.01336956970153,55.0439994754471,1.7684249766552465,4.1308923437120235,2.128142439765155,0.0,0.0,0.0,0.0
1,-211,-1.0,0.13957,-0.021405246603847912,0.2651146336101544,2.3437020948800398,2.3628718221650358,0.2659773553075862,2.872427383343153,1.6513611550850849,0.0,0.0,0.0,0.0
1,-211,-1.0,0.13957,-0.02729258216328815,0.5994219009970008,2181.0110233031714,2181.011110311278,0.6000429154952153,8.891445120412865,1.6162964082807936,0.0,0.0,0.0,0.0
1,2212,1.0,0.93827,0.11954829836896455,0.32276774270131187,293.4445697133881,293.4462715995544,0.34419589098566417,7.441380619509646,1.216077897161394,0.0,0.0,0.0,0.0
1,2212,1.0,0.93827,2.2697253265112387,-1.6470182874037809,5.271320548381485,6.044128821719298,2.8043399039433563,1.3885044441655534,-0.6277318367818497,0.0,0.0,0.0,0.0
1,211,1.0,0.13957,-1.1736958883406632,-0.4953997891264623,104.61005657046309,104.61790668164682,1.273963496091753,5.101291042092985,-2.742193365508804,0.0,0.0,0.0,0.0
1,211,1.0,0.13957,0.5778980066620221,0.398093891125563,131.84699664879096,131.8489379932332,0.7017441501398,5.928982796376622,0.6032138642755129,0.0,0.0,0.0,0.0
1,-211,-1.0,0.13957,-0.16720526272678196,-0.34086803730586657,226.9380489608314,226.9384094739195,0.3796690911047222,7.086280166986977,-2.026837535883599,0.0,0.0,0.0,0.0
1,2212,1.0,0.93827,0.6562031066857865,0.771119122885933,476.635633089046,476.6376320728436,1.0125350457660458,6.847443503317698,0.8657364887454113,0.0,0.0,0.0,0.0
1,321,1.0,0.49368,0.08033022193673672,-0.10490142710109085,-0.17077890047697902,0.5388345100421622,0.1321259019429985,-1.0738985125516238,-0.9172794421807388,0.0,0.0,0.0,0.0
1,-211,-1.0,0.13957,-0.7606947251805739,-0.33723511119777555,3.764588134021623,3.857977136901997,0.8320961393625889,2.214588889844449,-2.7243033718777445,0.0,0.0,0.0,0.0
1,211,1.0,0.13957,0.37208253183667656,-0.067642965018375,1.2083910763088095,1.2738562553982422,0.37818114867675323,1.8784519488173972,-0.17983163502562546,0.0,0.0,0.0,0.0
1,-211,-1.0,0.13957,0.20801555722090165,-0.4036314124536383,4.544013573460482,4.568777509340802,0.45408015720271383,2.9989265578334017,-1.0949362194797019,0.0,0.0,0.0,0.0
1,321,1.0,0.49368,0.40833181759802056,-1.935484286430761,5.275802059339841,5.656027016202962,1.9780885461180184,1.7075710502702806,-1.3628739498575089,0.0,0.0,0.0,0.0
1,-2212,-1.0,0.93827,0.5416706021257729,-1.9783620574443892,4.6301006370444,5.150291833828627,2.0511761190943343,1.5531149632899173,-1.3035484060533613,0.0,0.0,0.0,0.0
1,211,1.0,0.13957,0.46264245428462936,-0.08544852942590728,1.7403909551192853,1.8082532879131104,0.47046731202874814,2.0190731379921676,-0.1826384764742575,0.0,0.0,0.0,0.0
1,-211,-1.0,0.13957,-0.3645762964462292,-0.0462961061031347,0.09804674699787082,0.40515695090622095,0.36750402089060397,0.263723310050201,-3.0152826378357895,0.0,0.0,0.0,0.0
1,211,1.0,0.13957,-1.2241288017588707,0.4556829583521444,-0.02179459651731066,1.31380861283732,1.3061922836352122,-0.01668482168718214,2.7852343932613306,0.0,0.0,0.0,0.0
1,-321,-1.0,0.49368,-0.6542668383508993,-0.38988431599728124,-1.702710231197896,1.9295121014008547,0.7616264672569814,-1.544303588922895,-2.6041857480804067,0.0,0.0,0.0,0.0
1,211,1.0,0.13957,-0.23915243979171208,0.060405236337694915,-0.0820437070293325,0.29504853295425176,0.2466630941899117,-0.3267680749663401,2.894186788580557,0.0,0.0,0.0,0.0
1,-211,-1.0,0.13957,-1.0549517737167446,-0.38350070491946797,-2.251744879519649,2.519887065502102,1.122495450120772,-1.4463230955684117,-2.7929205458832684,0.0,0.0,0.0,0.0
1,211,1.0,0.13957,-0.8377604811043701,0.12027640593834699,-1.503319984290462,1.730826333747192,0.8463504224171402,-1.3388424728837276,2.998998082034631,0.0,0.0,0.0,0.0
1,211,1.0,0.13957,-0.12413981777013915,0.16959580399924232,0.1673961458698018,0.30277827802241153,0.21017476320946046,0.7299029105123866,2.202661008172912,0.0,0.0,0.0,0.0
1,-211,-1.0,0.13957,0.4436478115236804,-0.5530058276333749,1.406903600828242,1.5816119476627946,0.7089702575328707,1.4366517098127456,-0.8946861636510013,0.0,0.0,0.0,0.0
1,211,1.0,0.13957,0.05988352150761416,-0.14178959952125553,0.18778867008900463,0.28006195063654643,0.15391662249591795,1.0287569175280142,-1.171180268168298,0.0,0.0,0.0,0.0
1,-211,-1.0,0.13957,0.12285931606674425,1.0091180039915284,14.896966631299694,14.932263999691433,1.016569504522064,3.3790332107673575,1.4496433839141611,0.0,0.0,0.0,0.0
1,211,1.0,0.13957,-0.2603949325268509,0.25735670894411666,3.897653638394904,3.917297750531258,0.3661119999729728,3.060536416611643,2.3620625328341194,0.0,0.0,0.0,0.0
1,2212,1.0,0.93827,-0.029426084542629627,0.38260332119767626,19.43607572486194,19.462493195151296,0.3837332352598641,4.618183196584138,1.647555382028845,0.0,0.0,0.0,0.0
1,-2212,-1.0,0.93827,0.14181715273984177,-0.3922023051014984,9.44249317180589,9.498155749693673,0.41705485602995257,3.8133920935321703,-1.2238322558278318,0.0,0.0,0.0,0.0
