event,n_hard_nu,sum_px,sum_py,met_hard_nu
4,2,-92.52411759282566,-22.49991524014441,95.22057824937167
14,2,-2.1204817835939824,-33.83277345185302,33.899159317584335
21,2,15.04520516584724,-22.34100295777767,26.93471016443034
23,2,-206.98852042755394,212.53328434179897,296.6726218273265
28,2,22.975545669866545,13.408671363728704,26.602033128477256
40,2,-111.25009527287835,60.00885133600995,126.40271332883584
41,2,-10.483405715041101,-26.215417510205885,28.233843355458458
43,2,6.8621377958212175,27.350868286449575,28.19856257243534
56,2,-71.54119228393218,23.779347544545388,75.38965156472626
57,2,49.67496500874651,56.57858784188965,75.29102702714722
63,2,-115.90640202796274,40.33250330666116,122.72328570426053
71,2,46.19247925295436,-21.163132308253086,50.80967731280376
75,2,89.04167283782607,14.802583305789542,90.26370241843225
81,2,19.593601318056784,10.355107675532135,22.1616215016596
83,2,67.82907620999208,-26.882813327810652,72.96210819266962
85,2,-47.70921101889067,-25.427326313609864,54.0621655088273
86,2,-15.80583271953903,-68.22639870175635,70.03331941132785
93,2,66.71573726905086,43.802877200332574,79.81028536711567
97,2,3.3726338518638883,17.240663904273767,17.56744577219086
98,2,-77.91520823320907,12.428654368700638,78.90026060439187
100,2,-27.0487434037472,36.82730909448106,45.6933826156721
101,2,15.897542559175879,48.778040693833,51.30330509187528
112,2,-70.28199651313736,-22.264973959326724,73.72440640169407
117,2,-62.357416040748674,4.814122366775315,62.54297010409169
127,2,25.780959273084026,63.30735343029818,68.35553276355253
133,2,96.00833580491509,10.52673591959904,96.58370832159179
135,2,-0.22992086835485992,-105.92600476450139,105.9262542950277
136,2,-118.32061725564276,121.30953057871078,169.45728274991154
141,2,-27.153337555489706,-117.35713081201754,120.45746092638416
144,2,-39.83344540733158,-58.99131054460141,71.18060194174018
147,2,2.5859752764273125,-24.536944699534434,24.672837763790046
151,2,-36.974189963197595,-11.107109621671528,38.60645810719303
154,2,18.964559469990867,-40.07146457692535,44.33257029803938
159,2,-79.11784126865295,45.70560451299667,91.37086565700375
160,2,16.58853957768659,13.819888847785126,21.590946553720382
163,2,-5.618653842246033,-29.445927339140415,29.977189792589346
165,2,153.33268224468378,-58.76872200277412,164.20923886976797
169,2,35.34300576094545,-2.0909785032195245,35.40480542693533
185,2,37.733637093948545,18.827104061668667,42.16974289329626
186,2,-8.628144618626216,69.0028019808612,69.54014351991135
195,2,-39.08677191075973,-28.228905567244052,48.21459164950107
196,2,25.96634777667833,-12.276370597821561,28.722125476964013
199,2,-51.05834286842285,-12.52546209912581,52.57225101958316
204,2,12.285425235273017,28.856020326808466,31.362423093770456
206,2,18.82287434964243,52.11323229346224,55.408389065689164
207,2,-7.777798143963487,43.60653175778273,44.294737338771476
208,2,22.687162787314662,-68.57811548605936,72.23340832992314
213,2,-47.18696311011453,-56.548413006146674,73.65006789588892
217,2,-8.3124346089904,17.614061802765438,19.476954133549267
226,2,29.73479752769521,7.568121842522039,30.682807111414828
237,2,-3.0693276557350195,31.393138226348583,31.54282644210706
239,2,20.067230030907773,-9.835918558626355,22.348132248698036
242,2,10.387360345345446,-62.03927371610851,62.90285159010112
243,2,61.20085620278846,37.78510258783112,71.92536949871938
266,2,-37.79534581805821,79.9188284301224,88.40535788712103
273,2,-28.33381864863138,20.0712513919985,34.72262103664315
274,2,-181.4472965597525,-151.38852616026537,236.30828864392404
285,2,-4.20423101973752,-15.79677866617968,16.346674728995886
288,2,34.05286875840877,-9.675250852220408,35.40068289921543
295,2,-46.253468273096644,50.200527920690085,68.26035694901063
297,2,34.618142186592294,-40.49101391591127,53.27230027312169
298,2,27.33243804413451,-2.777948431182878,27.47324456489919
300,2,23.05689203212819,45.14437729485333,50.6915680515141
301,2,46.41953638121577,-0.3807655889102186,46.42109800813325
315,2,48.227363166581114,-64.16744141241142,80.27041232868159
320,2,-40.602677745269446,-26.076399035459968,48.255113995749056
331,2,-169.99846119051446,5.388796971189883,170.083849732829
332,2,-21.795739043326947,-39.83699872251269,45.40969838770441
336,2,-140.9469033660416,-16.503254087827592,141.9097845955791
341,2,-21.839150690545104,-14.938584970409227,26.459588504027668
342,2,84.85725919517597,-14.06329068222658,86.0147114331617
364,2,-26.077771192866052,15.862558370307227,30.523284692818997
373,2,5.366583693963413,-1.0944876279470144,5.477054291500411
375,2,-20.514709536887743,5.991822301963687,21.37183290878867
378,2,89.0639751444102,-129.20767065878155,156.92996471544967
380,2,19.69181224987291,-23.902624505868637,30.96938694828809
387,2,-25.34776344536847,22.69641269664416,34.02405415259546
391,2,67.36461797077924,30.497651849172932,73.94659236680481
396,2,45.44001527816239,-14.776322870544451,47.78215886765903
399,2,-62.33524329136788,-36.03224604184404,72.00003688203229
400,2,22.03307199338666,-17.293752759116487,28.00946529227591
406,2,76.91752662839443,33.08141739056142,83.72983983740986
413,2,110.59286540781308,175.87641548057053,207.7577806037717
414,2,25.72980601612147,14.17007994848015,29.37369713491238
418,2,81.53570036626027,-2.7205425622693014,81.58107492580429
419,2,-11.480626221789574,16.96807059297737,20.48707392705717
420,2,16.816868391636135,63.99217608665526,66.16498819471748
421,2,66.58615919928641,-58.724539840024036,88.78225147142466
424,2,21.373142168387815,-56.08497989954939,60.019464979979425
427,2,-9.346686353898743,39.8024559002611,40.88515673799461
432,2,-25.362264615722662,-1.0916994745029425,25.385749431138876
433,2,-6.840997142103966,64.53718964608436,64.89875260213353
440,2,-230.09721573387512,-63.78396831801416,238.77420987802452
441,2,-19.493173979830864,15.210428608184932,24.725310316609693
451,2,46.14798992336281,41.56342610780775,62.1060010287733
