event,particle,charge,x,y,z,px,py,pz,E,photon_pT
5.0,positron,1,23.544299560598393,8.406304669758656,24.92646773667514,6.015243556667487,2.1476948112218293,6.368368447640679,9.01952685749559,12.774309851914332
5.0,electron,-1,23.544299560598393,8.406304669758656,24.92646773667514,6.015243556667487,2.1476948112218293,6.368368447640679,9.01952685749559,12.774309851914332
19.0,positron,1,-15.92183648739282,19.27420874818799,14.577085233359265,-5.866131238380616,7.101256071957612,5.370680393537184,10.662248421179488,18.42165394370655
19.0,electron,-1,-15.92183648739282,19.27420874818799,14.577085233359265,-5.866131238380616,7.101256071957612,5.370680393537184,10.662248421179488,18.42165394370655
29.0,positron,1,-21.897655091167923,12.062035545804351,-68.81159259764527,-20.995571050078166,11.565134406224516,-65.97686717769186,70.19624876113902,47.94022684772855
29.0,electron,-1,-21.897655091167923,12.062035545804351,-68.81159259764527,-20.995571050078166,11.565134406224516,-65.97686717769186,70.19624876113902,47.94022684772855
53.0,positron,1,-14.936575152979746,20.047411870348455,124.52996899020984,-3.253709866473459,4.36702933113802,27.12699428250445,27.668237961193626,10.891753407823098
53.0,electron,-1,-14.936575152979746,20.047411870348455,124.52996899020984,-3.253709866473459,4.36702933113802,27.12699428250445,27.668237961193626,10.891753407823098
70.0,positron,1,-10.48544975304648,22.6948307655364,42.671702377262875,-17.373850544860073,37.60416645425833,70.7048144865617,81.94568206472997,82.84742645308187
70.0,electron,-1,-10.48544975304648,22.6948307655364,42.671702377262875,-17.373850544860073,37.60416645425833,70.7048144865617,81.94568206472997,82.84742645308187
76.0,positron,1,-7.845944931076602,-23.736915303773433,136.83381102061708,-2.001023506727165,-6.053843854028281,34.897985490926224,35.47566083680934,12.75195992519278
76.0,electron,-1,-7.845944931076602,-23.736915303773433,136.83381102061708,-2.001023506727165,-6.053843854028281,34.897985490926224,35.47566083680934,12.75195992519278
87.0,positron,1,-24.81070084334671,-3.070687815775933,-6.0368289881487325,-4.6586624311284535,-0.5765777458445059,-1.1335249490857235,4.829125837500054,9.388413613430291
87.0,electron,-1,-24.81070084334671,-3.070687815775933,-6.0368289881487325,-4.6586624311284535,-0.5765777458445059,-1.1335249490857235,4.829125837500054,9.388413613430291
88.0,positron,1,24.875041136378567,-2.4964631908910784,-79.21015683639196,4.936773793039889,-0.4954554241140875,-15.720280592444851,16.4846726830146,9.923146992951285
88.0,electron,-1,24.875041136378567,-2.4964631908910784,-79.21015683639196,4.936773793039889,-0.4954554241140875,-15.720280592444851,16.4846726830146,9.923146992951285
100.0,positron,1,17.902068011951098,-17.450385694748334,12.75891052359261,5.179492166107447,-5.048809776678517,3.6914549235818366,8.12061935523945,14.46618391419838
100.0,electron,-1,17.902068011951098,-17.450385694748334,12.75891052359261,5.179492166107447,-5.048809776678517,3.6914549235818366,8.12061935523945,14.46618391419838
111.0,positron,1,22.53779550077881,-10.81886195332367,-58.360907577808334,11.12615460476828,-5.340909705927758,-28.81082493462371,31.34294603558535,24.68332496047319
111.0,electron,-1,22.53779550077881,-10.81886195332367,-58.360907577808334,11.12615460476828,-5.340909705927758,-28.81082493462371,31.34294603558535,24.68332496047319
125.0,positron,1,-23.70376647694474,7.9455304924511285,-28.04743147921212,-5.795090087733485,1.9425210353541502,-6.85702807229631,9.185602379920432,12.223985781690072
125.0,electron,-1,-23.70376647694474,7.9455304924511285,-28.04743147921212,-5.795090087733485,1.9425210353541502,-6.85702807229631,9.185602379920432,12.223985781690072
127.0,positron,1,-4.306609724153699,-24.626268752773427,-11.920661324197994,-2.0132723378470185,-11.512393469572658,-5.57272175331997,12.947729401116042,23.374213903752928
127.0,electron,-1,-4.306609724153699,-24.626268752773427,-11.920661324197994,-2.0132723378470185,-11.512393469572658,-5.57272175331997,12.947729401116042,23.374213903752928
