event,particle,charge,x,y,z,px,py,pz,E,photon_pT,weight
1.0,positron,1,23.439117862984737,-1.6904892206429443,71.5596886050726,6.723422759357773,-0.4849104717575078,20.526627402633558,21.60513791423737,13.48177314253139,0.01
1.0,electron,-1,23.439117862984737,-1.6904892206429443,71.5596886050726,6.723422759357773,-0.4849104717575078,20.526627402633558,21.60513791423737,13.48177314253139,0.01
2.0,positron,1,23.46271653543844,-1.3232281653833093,-17.200097574102703,24.136784026309435,-1.3612435881900653,-17.69424438770802,29.95869843119076,48.350277237637215,0.01
2.0,electron,-1,23.46271653543844,-1.3232281653833093,-17.200097574102703,24.136784026309435,-1.3612435881900653,-17.69424438770802,29.95869843119076,48.350277237637215,0.01
3.0,positron,1,-23.38402175820397,-2.331850426558947,-9.605649219374317,-23.65667269051923,-2.3590391282884933,-9.717648311841673,25.68337822615619,47.54800641016002,0.01
3.0,electron,-1,-23.38402175820397,-2.331850426558947,-9.605649219374317,-23.65667269051923,-2.3590391282884933,-9.717648311841673,25.68337822615619,47.54800641016002,0.01
4.0,positron,1,6.267606931139484,22.648777083028836,45.345483628962036,2.198105980401033,7.9431293158526906,15.903067924343702,17.911798978207706,16.483321659111457,0.01
4.0,electron,-1,6.267606931139484,22.648777083028836,45.345483628962036,2.198105980401033,7.9431293158526906,15.903067924343702,17.911798978207706,16.483321659111457,0.01
5.0,positron,1,22.13164158696249,7.901926389573138,23.43087967247463,6.015243556667487,2.1476948112218293,6.368368447640679,9.01952685749559,12.774309851914332,0.01
5.0,electron,-1,22.13164158696249,7.901926389573138,23.43087967247463,6.015243556667487,2.1476948112218293,6.368368447640679,9.01952685749559,12.774309851914332,0.01
6.0,positron,1,23.150909235385367,4.035517510177405,-100.2917872977879,9.269896951905308,1.61586878021084,-40.15801383523605,41.245703977563686,18.81935401801065,0.01
6.0,electron,-1,23.150909235385367,4.035517510177405,-100.2917872977879,9.269896951905308,1.61586878021084,-40.15801383523605,41.245703977563686,18.81935401801065,0.01
7.0,positron,1,-18.528241679732453,-14.455250266163677,56.63724580655093,-9.075601383586163,-7.08054717675583,27.742355442541136,30.035628415205625,23.021788705138967,0.01
7.0,electron,-1,-18.528241679732453,-14.455250266163677,56.63724580655093,-9.075601383586163,-7.08054717675583,27.742355442541136,30.035628415205625,23.021788705138967,0.01
8.0,positron,1,-3.9808851897256514,-23.16036599681065,-46.16941513109266,-2.0536580438987198,-11.947963747295734,-23.817866189856662,26.72568238428871,24.24634810176271,0.01
8.0,electron,-1,-3.9808851897256514,-23.16036599681065,-46.16941513109266,-2.0536580438987198,-11.947963747295734,-23.817866189856662,26.72568238428871,24.24634810176271,0.01
10.0,positron,1,22.956149297975347,5.026450975496127,17.10363967107584,8.77322781471654,1.9209754621791477,6.536554774384833,11.107935061645954,17.96214608728148,0.01
10.0,electron,-1,22.956149297975347,5.026450975496127,17.10363967107584,8.77322781471654,1.9209754621791477,6.536554774384833,11.107935061645954,17.96214608728148,0.01
11.0,positron,1,23.177140422975494,3.8820306301825434,-79.18739316988706,8.824946396103016,1.478125066085819,-30.151454718660755,31.451148695342315,17.895757330169943,0.01
11.0,electron,-1,23.177140422975494,3.8820306301825434,-79.18739316988706,8.824946396103016,1.478125066085819,-30.151454718660755,31.451148695342315,17.895757330169943,0.01
12.0,positron,1,-5.329723670156936,-22.887639581218696,99.8393425488651,-4.9904396962157875,-21.43063922025628,93.48368679783194,96.03841149803286,44.00803498227809,0.01
12.0,electron,-1,-5.329723670156936,-22.887639581218696,99.8393425488651,-4.9904396962157875,-21.43063922025628,93.48368679783194,96.03841149803286,44.00803498227809,0.01
13.0,positron,1,5.652575047039549,-22.810050314227407,-9.788486843506387,2.3616969716404843,-9.53024529560059,-4.089718321804355,10.636210976276995,19.63702502724616,0.01
13.0,electron,-1,5.652575047039549,-22.810050314227407,-9.788486843506387,2.3616969716404843,-9.53024529560059,-4.089718321804355,10.636210976276995,19.63702502724616,0.01
