event,particle,charge,x,y,z,px,py,pz,E
54.0,positron,1,20.559041178835677,14.224128296909408,5.1400324967601385,7.065267851878192,4.888227787616914,1.7664105072348164,8.771145124924294
54.0,electron,-1,20.559041178835677,14.224128296909408,5.1400324967601385,7.065267851878192,4.888227787616914,1.7664105072348164,8.771145124924294
438.0,positron,1,-19.158447214874155,-16.06094331958371,-25.843986414119566,-4.831335138226478,-4.050213409400167,-6.5172797290922695,9.06757756772909
438.0,electron,-1,-19.158447214874155,-16.06094331958371,-25.843986414119566,-4.831335138226478,-4.050213409400167,-6.5172797290922695,9.06757756772909
618.0,positron,1,-23.882979316475893,-7.389404507048236,33.53893881044633,-6.659115076088837,-2.0603331897648918,9.351415085579012,11.663522218962639
618.0,electron,-1,-23.882979316475893,-7.389404507048236,33.53893881044633,-6.659115076088837,-2.0603331897648918,9.351415085579012,11.663522218962639
673.0,positron,1,-24.77790856952675,-3.3249431454045375,-7.74692865098235,-5.033711030161217,-0.6754727881378012,-1.5738132252324561,5.317085507173825
673.0,electron,-1,-24.77790856952675,-3.3249431454045375,-7.74692865098235,-5.033711030161217,-0.6754727881378012,-1.5738132252324561,5.317085507173825
769.0,positron,1,23.076127470827362,9.617293847550192,88.20097558956493,1.0884630820450296,0.4536319759661071,4.160295346390466,4.324186769762846
769.0,electron,-1,23.076127470827362,9.617293847550192,88.20097558956493,1.0884630820450296,0.4536319759661071,4.160295346390466,4.324186769762846
772.0,positron,1,-4.822447049968792,-24.530470938207593,6.9536093237617935,-0.06304965740603244,-0.32071638581757633,0.09091290812646895,0.3392630488204077
772.0,electron,-1,-4.822447049968792,-24.530470938207593,6.9536093237617935,-0.06304965740603244,-0.32071638581757633,0.09091290812646895,0.3392630488204077
794.0,positron,1,-3.8439360293909646,24.702715555216802,-2.7599435759346953,-0.045704997196782886,0.29371912970752384,-0.03281615834313465,0.299059817048872
794.0,electron,-1,-3.8439360293909646,24.702715555216802,-2.7599435759346953,-0.045704997196782886,0.29371912970752384,-0.03281615834313465,0.299059817048872
804.0,positron,1,-23.0955485506821,9.570560962821665,-7.18075578757934,-94.55136340532667,39.18112555771527,-29.3974507038182,106.48629503207921
804.0,electron,-1,-23.0955485506821,9.570560962821665,-7.18075578757934,-94.55136340532667,39.18112555771527,-29.3974507038182,106.48629503207921
841.0,positron,1,-23.542111182825675,-8.412431340312631,-58.54341909290865,-0.7148603908742089,-0.25544497302881775,-1.7776813273399108,1.9329843285085133
841.0,electron,-1,-23.542111182825675,-8.412431340312631,-58.54341909290865,-0.7148603908742089,-0.25544497302881775,-1.7776813273399108,1.9329843285085133
