event,particle,charge,x,y,z,px,py,pz,E,photon_pT
414.0,electron,-1,-7.870954712665874,23.72863400853835,-96.86153390781043,-0.15247107622492204,0.4596558482044351,-1.8763393843386185,1.9378287883850707,0.9685678662308072
414.0,positron,1,-7.870954712665874,23.72863400853835,-96.86153390781043,-0.15247107622492204,0.4596558482044351,-1.8763393843386185,1.9378287883850707,0.9685678662308072
533.0,electron,-1,-4.109575454373662,24.659914630525577,-2.7008455138748313,-0.40483542462577965,2.4292550706325535,-0.26606104513654527,2.4770870794069912,4.925513950533856
533.0,positron,1,-4.109575454373662,24.659914630525577,-2.7008455138748313,-0.40483542462577965,2.4292550706325535,-0.26606104513654527,2.4770870794069912,4.925513950533856
551.0,electron,-1,-20.764593374927948,-13.922343982745812,-113.19591666885424,-0.3641456894189735,-0.24415414529843463,-1.9851005204158318,2.0329381215236326,0.8768428132540715
551.0,positron,1,-20.764593374927948,-13.922343982745812,-113.19591666885424,-0.3641456894189735,-0.24415414529843463,-1.9851005204158318,2.0329381215236326,0.8768428132540715
866.0,electron,-1,20.36400377484959,14.501977460260777,-2.5693618389839017,1.6348336793405498,1.1642269089712423,-0.20626981389440832,2.017585857108174,4.0140281287897785
866.0,positron,1,20.36400377484959,14.501977460260777,-2.5693618389839017,1.6348336793405498,1.1642269089712423,-0.20626981389440832,2.017585857108174,4.0140281287897785
885.0,electron,-1,-22.367501995641266,-11.166685026227967,-129.14167160875445,-1.9862838879470406,-0.9916264477677624,-11.468067450223229,11.68097674590186,4.4401111226772345
885.0,positron,1,-22.367501995641266,-11.166685026227967,-129.14167160875445,-1.9862838879470406,-0.9916264477677624,-11.468067450223229,11.68097674590186,4.4401111226772345
951.0,electron,-1,-20.406313180144284,14.44238146546024,2.616634666664741,-1.5437948923981746,1.092606711639517,0.19795575996547873,1.9016515398510636,3.7826403985123465
951.0,positron,1,-20.406313180144284,14.44238146546024,2.616634666664741,-1.5437948923981746,1.092606711639517,0.19795575996547873,1.9016515398510636,3.7826403985123465
1201.0,electron,-1,-10.075983444358611,-22.879566377643854,-2.5397925726644575,-0.4993201867706501,-1.1338078729489047,-0.1258606376980061,1.245263763946958,2.477773953917182
1201.0,positron,1,-10.075983444358611,-22.879566377643854,-2.5397925726644575,-0.4993201867706501,-1.1338078729489047,-0.1258606376980061,1.245263763946958,2.477773953917182
1272.0,electron,-1,-17.628307458126,17.726894148772345,-78.29761366137734,-0.4672341937865415,0.46984721111855965,-2.0752600600700424,2.178478485218792,1.3252383840490702
1272.0,positron,1,-17.628307458126,17.726894148772345,-78.29761366137734,-0.4672341937865415,0.46984721111855965,-2.0752600600700424,2.178478485218792,1.3252383840490702
1346.0,electron,-1,-14.83046431076285,20.12603608083791,7.328403141777083,-1.0948274369618156,1.4857617426444136,0.5410037515084393,1.9232316895726185,3.6911434936237
1346.0,positron,1,-14.83046431076285,20.12603608083791,7.328403141777083,-1.0948274369618156,1.4857617426444136,0.5410037515084393,1.9232316895726185,3.6911434936237
1516.0,electron,-1,-23.919383104708203,7.270702296903622,142.2200441461168,-2.181166119173432,0.6630024463081191,12.968793567999674,13.167637012487488,4.55941131429953
1516.0,positron,1,-23.919383104708203,7.270702296903622,142.2200441461168,-2.181166119173432,0.6630024463081191,12.968793567999674,13.167637012487488,4.55941131429953
1530.0,electron,-1,-0.5261345100062744,-24.99446303638829,62.36063020173261,-0.023003623716466796,-1.0928065195293075,2.726527997308682,2.9374666255019712,2.1860972126873475
1530.0,positron,1,-0.5261345100062744,-24.99446303638829,62.36063020173261,-0.023003623716466796,-1.0928065195293075,2.726527997308682,2.9374666255019712,2.1860972126873475
1742.0,electron,-1,23.67285031061871,-8.037173518783803,75.56787692898406,0.4136549607273762,-0.14044006753087648,1.3204589541669398,1.3908435169860383,0.8736906525823526
1742.0,positron,1,23.67285031061871,-8.037173518783803,75.56787692898406,0.4136549607273762,-0.14044006753087648,1.3204589541669398,1.3908435169860383,0.8736906525823526
2016.0,electron,-1,0.5520330271857425,-24.993904447622747,-8.671161853943788,0.02401329771053802,-1.087228551359049,-0.3771933577172587,1.151050559473063,2.1749874127058586
2016.0,positron,1,0.5520330271857425,-24.993904447622747,-8.671161853943788,0.02401329771053802,-1.087228551359049,-0.3771933577172587,1.151050559473063,2.1749874127058586
2270.0,electron,-1,21.07773748011255,13.443547995951764,-32.733576815844145,0.8398531195180211,0.5356649750687588,-1.3042859380760576,1.641173981070413,1.992275310171328
2270.0,positron,1,21.07773748011255,13.443547995951764,-32.733576815844145,0.8398531195180211,0.5356649750687588,-1.3042859380760576,1.641173981070413,1.992275310171328
2533.0,electron,-1,-18.23000819083493,17.10750716387666,108.06715265122504,-0.7466657324711754,0.7006902703254805,4.426220704111801,4.543116363520032,2.04790289904137
2533.0,positron,1,-18.23000819083493,17.10750716387666,108.06715265122504,-0.7466657324711754,0.7006902703254805,4.426220704111801,4.543116363520032,2.04790289904137
2547.0,electron,-1,14.906947947526595,20.06945198279546,126.5306607610225,0.3852598098034537,0.5186811734345819,3.2700978409993797,3.33331594218641,1.292215586851154
2547.0,positron,1,14.906947947526595,20.06945198279546,126.5306607610225,0.3852598098034537,0.5186811734345819,3.2700978409993797,3.33331594218641,1.292215586851154
2736.0,electron,-1,-9.22604334278843,-23.235320618338566,-125.53584551094231,-0.8299545433519702,-2.0901982786048166,-11.292928231989865,11.514685468599952,4.497889899903338
2736.0,positron,1,-9.22604334278843,-23.235320618338566,-125.53584551094231,-0.8299545433519702,-2.0901982786048166,-11.292928231989865,11.514685468599952,4.497889899903338
2759.0,electron,-1,-9.169463275449006,23.257707179345775,-51.28194099655368,-0.17298765007878228,0.43877116798621324,-0.9674658372017078,1.0763061883535585,0.94328121986132
2759.0,positron,1,-9.169463275449006,23.257707179345775,-51.28194099655368,-0.17298765007878228,0.43877116798621324,-0.9674658372017078,1.0763061883535585,0.94328121986132
3035.0,electron,-1,1.0600051347519082,-24.977517673185613,-52.70537834439255,0.011372461219947077,-0.267975919923566,-0.565459403594803,0.6258472366695174,0.5364342514533562
3035.0,positron,1,1.0600051347519082,-24.977517673185613,-52.70537834439255,0.011372461219947077,-0.267975919923566,-0.565459403594803,0.6258472366695174,0.5364342514533562
3181.0,electron,-1,-17.315237711251882,18.032818498583094,-110.92959388637443,-0.3250966172895637,0.3385693221108071,-2.082722532092692,2.134959049287429,0.938758747384414
3181.0,positron,1,-17.315237711251882,18.032818498583094,-110.92959388637443,-0.3250966172895637,0.3385693221108071,-2.082722532092692,2.134959049287429,0.938758747384414
3249.0,electron,-1,-6.441525370281916,24.155884394987783,-112.43430626068837,-0.15308161269426698,0.5740599511260127,-2.6719796841837202,2.7372347799051524,1.1882403925668874
3249.0,positron,1,-6.441525370281916,24.155884394987783,-112.43430626068837,-0.15308161269426698,0.5740599511260127,-2.6719796841837202,2.7372347799051524,1.1882403925668874
3429.0,electron,-1,14.835476988586427,-20.122341377710562,-113.03279781357918,0.9935659350259107,-1.3476393742673018,-7.570065831698233,7.753012436889581,3.3486147287016923
3429.0,positron,1,14.835476988586427,-20.122341377710562,-113.03279781357918,0.9935659350259107,-1.3476393742673018,-7.570065831698233,7.753012436889581,3.3486147287016923
3623.0,electron,-1,-1.201753542119651,-24.971099063197098,25.05027389312875,-0.054426556406066744,-1.1309231752189512,1.1345089465074762,1.6028287581632172,2.264464155856336
3623.0,positron,1,-1.201753542119651,-24.971099063197098,25.05027389312875,-0.054426556406066744,-1.1309231752189512,1.1345089465074762,1.6028287581632172,2.264464155856336
4178.0,electron,-1,24.995158465330118,-0.4919891188189543,-8.671236914671452,0.9932261516208509,-0.01955004445367615,-0.3445667000870538,1.0514782942650733,1.986837076865344
4178.0,positron,1,24.995158465330118,-0.4919891188189543,-8.671236914671452,0.9932261516208509,-0.01955004445367615,-0.3445667000870538,1.0514782942650733,1.986837076865344
4219.0,electron,-1,-24.7373799659471,-3.614143386801268,-94.63736076048953,-2.1914113568835454,-0.3201662776795461,-8.3836440011638,8.671232721977374,4.429352178565781
4219.0,positron,1,-24.7373799659471,-3.614143386801268,-94.63736076048953,-2.1914113568835454,-0.3201662776795461,-8.3836440011638,8.671232721977374,4.429352178565781
4302.0,electron,-1,9.263081319688546,23.22057976160021,-32.540409023036034,0.8370648402362514,2.0983439762127176,-2.9405368840058688,3.708164256807792,4.518285068150498
4302.0,positron,1,9.263081319688546,23.22057976160021,-32.540409023036034,0.8370648402362514,2.0983439762127176,-2.9405368840058688,3.708164256807792,4.518285068150498
4470.0,electron,-1,24.923012701570194,-1.9604687902057123,47.88379882043818,0.6145227679014291,-0.0483389677551173,1.180663226437187,1.331893592722006,1.2328420629956849
4470.0,positron,1,24.923012701570194,-1.9604687902057123,47.88379882043818,0.6145227679014291,-0.0483389677551173,1.180663226437187,1.331893592722006,1.2328420629956849
4539.0,electron,-1,22.96529195925184,-9.879036654771697,-58.171661977884625,1.9173987764023896,-0.8248121916979408,-4.856819312186226,5.286343448031732,4.174557806198372
4539.0,positron,1,22.96529195925184,-9.879036654771697,-58.171661977884625,1.9173987764023896,-0.8248121916979408,-4.856819312186226,5.286343448031732,4.174557806198372
4611.0,electron,-1,-23.768934024049756,7.7484046977664995,-10.307532603141963,-1.2447508444344628,0.4057747512280536,-0.5397932401518225,1.4161336644427673,2.618440614911476
4611.0,positron,1,-23.768934024049756,7.7484046977664995,-10.307532603141963,-1.2447508444344628,0.4057747512280536,-0.5397932401518225,1.4161336644427673,2.618440614911476
5066.0,electron,-1,-20.103651222824908,14.860794309558646,-31.503849756453537,-0.33157710998012224,0.24510469140938987,-0.5196048886698208,0.66333168923491,0.8246688780684338
5066.0,positron,1,-20.103651222824908,14.860794309558646,-31.503849756453537,-0.33157710998012224,0.24510469140938987,-0.5196048886698208,0.66333168923491,0.8246688780684338
5319.0,electron,-1,-15.391041212587327,-19.70065609040568,-33.841287280929535,-0.7701244794028728,-0.9857655051375313,-1.6933229785801958,2.10527149191792,2.501859584304921
5319.0,positron,1,-15.391041212587327,-19.70065609040568,-33.841287280929535,-0.7701244794028728,-0.9857655051375313,-1.6933229785801958,2.10527149191792,2.501859584304921
5377.0,electron,-1,10.55983417879556,22.66031557848083,-10.076719948986664,0.14946226299754203,0.32073060895209066,-0.14262433876019495,0.38150857603192645,0.7076922822219424
5377.0,positron,1,10.55983417879556,22.66031557848083,-10.076719948986664,0.14946226299754203,0.32073060895209066,-0.14262433876019495,0.38150857603192645,0.7076922822219424
5628.0,electron,-1,5.506890838425482,24.385941714308785,29.419339789280418,0.4812003101203283,2.13087984850209,2.5707056568756452,3.3735337913684265,4.3690743492013
5628.0,positron,1,5.506890838425482,24.385941714308785,29.419339789280418,0.4812003101203283,2.13087984850209,2.5707056568756452,3.3735337913684265,4.3690743492013
5817.0,electron,-1,-22.39492322168803,11.111589170532643,40.3823704660147,-1.108139432565838,0.5498205998051482,1.9981893508139468,2.350114119714975,2.474086250701402
5817.0,positron,1,-22.39492322168803,11.111589170532643,40.3823704660147,-1.108139432565838,0.5498205998051482,1.9981893508139468,2.350114119714975,2.474086250701402
6050.0,electron,-1,-0.38795583867858663,-24.99698962409744,-38.51291591914425,-0.006473831100210435,-0.41712554034839333,-0.6426662212028392,0.766195470343691,0.8343515491687018
6050.0,positron,1,-0.38795583867858663,-24.99698962409744,-38.51291591914425,-0.006473831100210435,-0.41712554034839333,-0.6426662212028392,0.766195470343691,0.8343515491687018
6206.0,electron,-1,-2.3709987210377372,-24.887313335610127,-40.801173550236875,-0.146896529350774,-1.5419071808972833,-2.527859140027347,2.964646383071295,3.0977774902906825
6206.0,positron,1,-2.3709987210377372,-24.887313335610127,-40.801173550236875,-0.146896529350774,-1.5419071808972833,-2.527859140027347,2.964646383071295,3.0977774902906825
6495.0,electron,-1,20.864473575646713,-13.772209060682313,-43.01846375329863,2.0499278095704585,-1.3531151049822658,-4.226550210009421,4.888440568270436,4.912483897899923
6495.0,positron,1,20.864473575646713,-13.772209060682313,-43.01846375329863,2.0499278095704585,-1.3531151049822658,-4.226550210009421,4.888440568270436,4.912483897899923
6745.0,electron,-1,-24.125698796367534,6.5536751206441535,-127.58645657924444,-0.3050459361616007,0.08286483137130482,-1.6132063330997466,1.6438838999759173,0.6322012446900185
6745.0,positron,1,-24.125698796367534,6.5536751206441535,-127.58645657924444,-0.3050459361616007,0.08286483137130482,-1.6132063330997466,1.6438838999759173,0.6322012446900185
6895.0,electron,-1,-24.26556711703316,6.015168533695375,54.0427313489522,-0.4387519630911199,0.10876181008892316,0.9771605318680004,1.0766499530909217,0.9040628660665816
6895.0,positron,1,-24.26556711703316,6.015168533695375,54.0427313489522,-0.4387519630911199,0.10876181008892316,0.9771605318680004,1.0766499530909217,0.9040628660665816
7576.0,electron,-1,-7.26204415521987,23.922013182164186,2.531351309353108,-0.33500379179904155,1.1035412278141157,0.11677322099442465,1.1591664104634132,2.3065392101633315
7576.0,positron,1,-7.26204415521987,23.922013182164186,2.531351309353108,-0.33500379179904155,1.1035412278141157,0.11677322099442465,1.1591664104634132,2.3065392101633315
7601.0,electron,-1,24.127025227224088,-6.54879024590744,-3.7526958971927855,0.6337282596662702,-0.17201264583482426,-0.09856952598123331,0.6640149161569349,1.3133161956310997
7601.0,positron,1,24.127025227224088,-6.54879024590744,-3.7526958971927855,0.6337282596662702,-0.17201264583482426,-0.09856952598123331,0.6640149161569349,1.3133161956310997
7617.0,electron,-1,-22.24516918752954,-11.408437571297236,29.856798727184874,-1.9906079428887784,-1.0208835120078983,2.6717342625959226,3.4846645602282083,4.474247703192783
7617.0,positron,1,-22.24516918752954,-11.408437571297236,29.856798727184874,-1.9906079428887784,-1.0208835120078983,2.6717342625959226,3.4846645602282083,4.474247703192783
8000.0,electron,-1,-4.901234037220492,24.514850701409365,149.44746111414736,-0.32001389146370934,1.6006362299848136,9.75780043093628,9.893387411875166,3.2646256946055816
8000.0,positron,1,-4.901234037220492,24.514850701409365,149.44746111414736,-0.32001389146370934,1.6006362299848136,9.75780043093628,9.893387411875166,3.2646256946055816
8632.0,electron,-1,-1.137495482090622,-24.974108673348553,-12.036185670032303,-0.10613639169855037,-2.3302613700100068,-1.123061442391956,2.588947660651177,4.665354428638279
8632.0,positron,1,-1.137495482090622,-24.974108673348553,-12.036185670032303,-0.10613639169855037,-2.3302613700100068,-1.123061442391956,2.588947660651177,4.665354428638279
8954.0,electron,-1,7.73919259095244,-23.77193509246033,-18.996014429126404,0.3616514522245859,-1.1108594013317927,-0.8876812566732222,1.4672349491040388,2.3364934259897936
8954.0,positron,1,7.73919259095244,-23.77193509246033,-18.996014429126404,0.3616514522245859,-1.1108594013317927,-0.8876812566732222,1.4672349491040388,2.3364934259897936
9001.0,electron,-1,5.494136480630513,24.3888184283742,35.781090680494955,0.5439608187030134,2.4146763893231653,3.542596993952932,4.321637293781509,4.95037592004438
9001.0,positron,1,5.494136480630513,24.3888184283742,35.781090680494955,0.5439608187030134,2.4146763893231653,3.542596993952932,4.321637293781509,4.95037592004438
9413.0,electron,-1,-0.6911354144944278,24.9904448107438,-70.08471135661911,-0.008807553079830072,0.3184682256807787,-0.8931315085474743,0.9482528541058046,0.6371799863759608
9413.0,positron,1,-0.6911354144944278,24.9904448107438,-70.08471135661911,-0.008807553079830072,0.3184682256807787,-0.8931315085474743,0.9482528541058046,0.6371799863759608
9577.0,electron,-1,-24.82100717864641,2.9862355294891274,-42.79065174546525,-2.2359671156096894,0.26901101938954874,-3.854738426596933,4.464406366822348,4.504182887335246
9577.0,positron,1,-24.82100717864641,2.9862355294891274,-42.79065174546525,-2.2359671156096894,0.26901101938954874,-3.854738426596933,4.464406366822348,4.504182887335246
9677.0,electron,-1,21.79184676584957,-12.252159586527247,-86.71012558107562,1.499227653057662,-0.8429196781331654,-5.96545210087352,6.208447141378688,3.4398820558134866
9677.0,positron,1,21.79184676584957,-12.252159586527247,-86.71012558107562,1.499227653057662,-0.8429196781331654,-5.96545210087352,6.208447141378688,3.4398820558134866
9730.0,electron,-1,8.869406343438285,-23.373780847671537,56.7392601976793,0.14810675978309443,-0.3903096567212621,0.9474667925869904,1.035360112945441,0.8349305130927165
9730.0,positron,1,8.869406343438285,-23.373780847671537,56.7392601976793,0.14810675978309443,-0.3903096567212621,0.9474667925869904,1.035360112945441,0.8349305130927165
