event,particle,charge,x,y,z,px,py,pz,E,photon_pT,weight
1.0,positron,1,-7.076440115663442,22.40923906091925,-2.5288199098295787,-1.3714188954853987,4.342925733741316,-0.4900870142239339,4.5806090203375645,9.108631887542044,0.01
1.0,electron,-1,-7.076440115663442,22.40923906091925,-2.5288199098295787,-1.3714188954853987,4.342925733741316,-0.4900870142239339,4.5806090203375645,9.108631887542044,0.01
3.0,positron,1,-20.74253153151437,11.04524267112914,-44.06616810370728,-90.2770048285622,48.0718288623167,-191.7876641349465,217.355346024254,204.55647954522595,0.01
3.0,electron,-1,-20.74253153151437,11.04524267112914,-44.06616810370728,-90.2770048285622,48.0718288623167,-191.7876641349465,217.355346024254,204.55647954522595,0.01
4.0,positron,1,13.534196959924166,19.211338127521973,-68.21680550564697,4.889384752537455,6.940317478361399,-24.64410778812785,26.065420361691046,16.979292088752636,0.01
4.0,electron,-1,13.534196959924166,19.211338127521973,-68.21680550564697,4.889384752537455,6.940317478361399,-24.64410778812785,26.065420361691046,16.979292088752636,0.01
6.0,positron,1,12.525813454250526,-19.88351068874198,36.579729764662254,1.1952672793673502,-1.8973705629584825,3.490595978895396,4.148847937703709,4.484943220290583,0.01
6.0,electron,-1,12.525813454250526,-19.88351068874198,36.579729764662254,1.1952672793673502,-1.8973705629584825,3.490595978895396,4.148847937703709,4.484943220290583,0.01
8.0,positron,1,-2.1441142855043984,-23.401982264985502,65.3983212892299,-0.3330502370356399,-3.6350840965661178,10.158472687003732,10.794411803433212,7.300618836645946,0.01
8.0,electron,-1,-2.1441142855043984,-23.401982264985502,65.3983212892299,-0.3330502370356399,-3.6350840965661178,10.158472687003732,10.794411803433212,7.300618836645946,0.01
10.0,positron,1,-18.17045813020724,-14.90249815763739,44.71177117961425,-2.336118199718704,-1.915966945789611,5.748450679991952,6.494079057165479,6.042641005525755,0.01
10.0,electron,-1,-18.17045813020724,-14.90249815763739,44.71177117961425,-2.336118199718704,-1.915966945789611,5.748450679991952,6.494079057165479,6.042641005525755,0.01
11.0,positron,1,4.805737679495199,23.003366826529557,19.181672128056714,1.712401597502241,8.196660893446216,6.834897821201675,10.808949868490746,16.747246822481447,0.01
11.0,electron,-1,4.805737679495199,23.003366826529557,19.181672128056714,1.712401597502241,8.196660893446216,6.834897821201675,10.808949868490746,16.747246822481447,0.01
13.0,positron,1,-5.141212624751082,-22.93072028408833,40.59247882006864,-9.205060912262566,-41.05620451504036,72.67862027716679,83.97932436601216,84.1509376199525,0.01
13.0,electron,-1,-5.141212624751082,-22.93072028408833,40.59247882006864,-9.205060912262566,-41.05620451504036,72.67862027716679,83.97932436601216,84.1509376199525,0.01
15.0,positron,1,-23.36373426942184,-2.527037987020289,2.533086481102763,-23.997828301672985,-2.5956220450464365,2.601834695849645,24.277614396431844,48.27558459500238,0.01
15.0,electron,-1,-23.36373426942184,-2.527037987020289,2.533086481102763,-23.997828301672985,-2.5956220450464365,2.601834695849645,24.277614396431844,48.27558459500238,0.01
17.0,positron,1,-20.543934451823176,11.410379364385426,23.28141754716145,-31.08845266903616,17.266947557553294,35.230994782441215,50.05858927966905,71.12353667556745,0.01
