event,ds_floor_mm,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
0,0.0,False,0.0,1.0781831301226636,8,False,False
1,0.0,False,0.0,0.8101748010537243,5,False,False
2,0.0,False,0.0,0.29267935127067307,5,False,False
3,0.0,False,4.362691336599663e-07,0.7715328307917788,8,False,False
4,0.0,False,5.81671733504157e-07,0.5715486514559496,8,False,False
5,0.0,False,4.362691336599663e-07,0.7715328307917788,8,False,False
6,0.0,False,0.0,0.2926793512023153,5,False,False
7,0.0,False,0.0,0.4572912939205363,5,False,False
8,0.0,False,6.369095251023051e-07,0.6555958171244782,8,False,False
9,0.0,False,5.745167263050693e-07,0.4510362016087916,8,False,False
10,0.0,False,4.867360589570692e-07,0.43763338754169606,8,False,False
11,0.0,False,4.533063926177286e-07,0.4316963790668336,8,False,False
12,0.0,False,0.0,0.9668353621632687,5,False,False
13,0.0,False,4.156368656726327e-07,0.4540166862911303,8,False,False
14,0.0,False,3.4232234757387086e-07,0.7038409145506604,8,False,False
15,0.0,False,7.975911976448103e-07,0.5131935401537497,8,False,False
0,0.005,False,0.03499825849161613,1.0151934242068819,12,False,False
1,0.005,False,0.035002819784007586,0.8069619940181201,12,False,False
2,0.005,False,0.03499784174967384,0.6576829498904131,12,False,False
3,0.005,False,0.035005367466991885,0.809562876611375,12,False,False
4,0.005,False,0.03500537909233099,0.6960072333968266,12,False,False
5,0.005,False,0.03500480624454266,0.8095800952985073,12,False,False
6,0.005,False,0.03500531827077573,0.6574497452478432,12,False,False
7,0.005,False,0.034999282599382106,0.6608000138368157,12,False,False
8,0.005,False,0.03500614596820021,0.7475065951187432,12,False,False
9,0.005,False,0.03500020184394909,0.6399489374970647,12,False,False
10,0.005,False,0.03500398437208135,0.6312329888916377,12,False,False
11,0.005,False,0.03500235879017078,0.6286648522415594,12,False,False
12,0.005,False,0.035004923568903286,0.8823107187829028,12,False,False
13,0.005,False,0.03500484183412904,0.6385533248438843,12,False,False
14,0.005,False,0.03500456391020924,0.769310614392549,12,False,False
15,0.005,False,0.03500526649606097,0.6665051752642874,12,False,False
0,0.01,False,0.039902171205613866,0.9630394010166441,14,False,True
1,0.01,False,0.03990667633123271,0.7787193576940792,14,False,True
2,0.01,False,0.03990703373186377,0.6492484889560958,14,False,True
3,0.01,False,0.039907425715961134,0.7809916014890265,14,False,True
4,0.01,False,0.0399073354959161,0.6821358223215768,14,False,True
5,0.01,False,0.039907236016711006,0.78108019286178,14,False,True
6,0.01,False,0.03990459196764518,0.6527489001574082,14,False,True
7,0.01,False,0.03990352272429165,0.6518179206804681,14,False,True
8,0.01,False,0.03990686344196992,0.7243805644020542,14,False,True
9,0.01,False,0.03990318371042343,0.6339722212821118,14,False,True
10,0.01,False,0.0399057411903435,0.6303132282631401,14,False,True
11,0.01,False,0.03990663505467483,0.6245813293240442,14,False,True
12,0.01,False,0.03990721041728715,0.8451212609204288,14,False,True
13,0.01,False,0.039907474749979605,0.6327816376130344,14,False,True
14,0.01,False,0.03990622826501196,0.7457759752426444,14,False,True
15,0.01,False,0.039904758172014734,0.656802423555666,14,False,True
0,0.02,True,0.05189235622167547,0.8965408911602595,16,True,True
1,0.02,True,0.05189364927196712,0.7249645659980073,16,True,True
2,0.02,True,0.05188484672837014,0.6045982117788054,16,True,True
3,0.02,True,0.0518939872365304,0.7271559025784697,16,True,True
4,0.02,True,0.05189530891803438,0.6351029895891872,16,True,True
5,0.02,True,0.05189570576292412,0.7272216742271052,16,True,True
6,0.02,True,0.051895467588989934,0.6079478329125448,16,True,True
7,0.02,True,0.051887508077080084,0.606896374174074,16,True,True
8,0.02,True,0.05189539371020332,0.6743667984692865,16,True,True
9,0.02,True,0.05189122613973578,0.5902107297413578,16,True,True
10,0.02,True,0.0518965018054869,0.586877276633826,16,True,True
11,0.02,True,0.051892409873463906,0.581682142651992,16,True,True
12,0.02,True,0.051895686888812805,0.7868434159869027,16,True,True
13,0.02,True,0.05188916918132203,0.5892936843600265,16,True,True
14,0.02,True,0.05189583303098771,0.6942939430103836,16,True,True
15,0.02,True,0.05189434769169135,0.6116087866043028,16,True,True
0,0.034,True,0.05189235622167547,0.8965408911602595,16,True,True
1,0.034,True,0.05189364927196712,0.7249645659980073,16,True,True
2,0.034,True,0.05188484672837014,0.6045982117788054,16,True,True
3,0.034,True,0.0518939872365304,0.7271559025784697,16,True,True
4,0.034,True,0.05189530891803438,0.6351029895891872,16,True,True
5,0.034,True,0.05189570576292412,0.7272216742271052,16,True,True
