layer_id,trajectory_step,t,x,y,z,r,phi,particle,charge,event
1,1205,0.851728011197149,33.24786192889581,-0.37706386339815884,1.3299350793331866,33.25,-0.011340509645257143,1,1,0
2,1831,0.3400024222556439,50.48620612167875,-1.1802505832946553,2.0194801357362904,50.5,-0.023373426838027116,1,1,0
3,3210,0.28225742459983205,88.49795395105825,-0.6017860719339261,3.539975075248367,88.5,-0.006799895023507491,1,1,0
4,4443,0.5249463395786484,122.49999948598777,-0.011221987170696876,4.90007770149676,122.5,-9.160805866443072e-05,1,1,0
5,10841,0.64455077076485,298.998298709102,-1.0086471447474525,11.960123031612042,299.0,-0.0033734082200593475,1,1,0
6,13450,0.9560945470562346,370.9990288621271,-0.8488718151849087,14.840198541421064,371.00000000000006,-0.002288066188304443,1,1,0
7,16059,0.8915871216827204,442.99910159626734,0.8921798585400318,17.72024729178943,442.99999999999994,0.0020139513807086364,1,1,0
8,18634,0.22365571205778476,513.998507061357,-1.238845711166986,20.560268295228397,514.0,-0.0024102079972725754,1,1,0
1,1205,0.851728011197149,33.24786192889581,0.37706386339815884,1.3299350793331866,33.25,0.011340509645257143,-1,-1,0
2,1831,0.3400024222556439,50.48620612167875,1.1802505832946553,2.0194801357362904,50.5,0.023373426838027116,-1,-1,0
3,3210,0.28225742459983205,88.49795395105825,0.6017860719339261,3.539975075248367,88.5,0.006799895023507491,-1,-1,0
4,4443,0.5249463395786484,122.49999948598777,0.011221987170696876,4.90007770149676,122.5,9.160805866443072e-05,-1,-1,0
5,10841,0.64455077076485,298.998298709102,1.0086471447474525,11.960123031612042,299.0,0.0033734082200593475,-1,-1,0
6,13450,0.9560945470562346,370.9990288621271,0.8488718151849087,14.840198541421064,371.00000000000006,0.002288066188304443,-1,-1,0
7,16059,0.8915871216827204,442.99910159626734,-0.8921798585400318,17.72024729178943,442.99999999999994,-0.0020139513807086364,-1,-1,0
8,18634,0.22365571205778476,513.998507061357,1.238845711166986,20.560268295228397,514.0,0.0024102079972725754,-1,-1,0
1,1205,0.851670383735397,30.861314026153046,12.375047336441558,1.3299350161385515,33.25,0.38135866927986006,1,1,1
2,1831,0.3400007932213204,47.094834621045834,18.229825891004626,2.0194801339341515,50.5,0.36932566765211333,1,1,1
3,3210,0.28212341060041424,81.99174438101639,33.31071679442019,3.5399749277925303,88.5,0.38589911171585994,1,1,1
4,4443,0.5249797045350244,113.17953715788339,46.86835146159178,4.900077738009409,122.5,0.3926074644319761,1,1,1
5,10836,0.25932263254141646,275.86671433705334,115.31936489973666,11.960128256303484,299.0,0.39594851823744753,1,1,1
6,13482,0.5671911214763873,343.02070111135276,141.34284067145387,14.840211917232338,371.0,0.3908538469313392,1,1,1
7,16050,0.18074302747934803,409.36267016489893,169.32573423866842,17.72028127828256,443.0,0.39220307375448,1,1,1
8,18649,0.8438758645805856,475.3057471057294,195.65389535673552,20.560279268254355,514.0,0.39049868041125624,1,1,1
1,1205,0.8516827679335355,30.572723820398647,13.071765687986801,1.3299350297191406,33.25,0.4040395318266526,-1,-1,1
2,1831,0.3400001330407551,46.19151046991358,20.410643314404968,2.019480133203819,50.5,0.4160724936320448,-1,-1,1
3,3210,0.2823184482945266,81.5311560641527,34.42267553289222,3.539975142392845,88.5,0.3994989389796471,-1,-1,1
4,4443,0.5248746692394458,113.17094937467817,46.889084205537976,4.900077623064949,122.5,0.39279065594356344,-1,-1,1
5,10856,0.7445793153480069,276.49613738141886,113.80195961913647,11.960160546514338,299.00000000000006,0.39045429841876356,-1,-1,1
6,13461,0.1193090087731301,342.7108926006334,142.09237872904066,14.840236658737561,371.0,0.3930399435497689,-1,-1,1
7,16093,0.2898776443259908,409.2015622625566,169.7147060271531,17.720281692613817,443.0,0.39315344940931196,-1,-1,1
8,18662,0.4369327375930976,474.5087625005248,197.5789318480605,20.56029378509798,514.0,0.39455217472204657,-1,-1,1
1,1205,0.8516749098114701,23.77641122759845,23.243166073840506,1.3299350211018748,33.25,0.7740577319268737,1,1,2
2,1831,0.3399376725585175,36.533701287115626,34.86457615207455,2.0194800641061477,50.49999999999999,0.7620247540227694,1,1,2
3,3210,0.2822478682205172,63.00303038830198,62.15197633133396,3.5399750647334667,88.5,0.7785982681151271,1,1,2
4,4443,0.5249330460699299,86.62851462310634,86.61264604083084,4.900077686949125,122.5,0.7853065651758114,1,1,2
5,10858,0.9996103583018618,211.0447641945872,211.80440860862902,11.96017100427664,299.0,0.7871946517097885,1,1,2
6,13436,0.2266766165602802,262.8688474655454,261.8033021795864,14.84020699660418,371.0,0.7833672878845247,1,1,2
7,16043,0.18808193961868128,313.413741298253,313.08277941373865,17.720280432391643,443.0,0.7848698893483751,1,1,2
8,18643,0.15344173870483113,363.24792245768765,363.65773308177245,20.56032593177689,513.9999999999999,0.7859619374959762,1,1,2
1,1205,0.8516749098114701,23.243166073840506,23.77641122759845,1.3299350211018748,33.25,0.7967385948680229,-1,-1,2
2,1831,0.3399376725585175,34.86457615207455,36.533701287115626,2.0194800641061477,50.49999999999999,0.8087715727721272,-1,-1,2
3,3210,0.2822478682205172,62.15197633133396,63.00303038830198,3.5399750647334667,88.5,0.7921980586797694,-1,-1,2
4,4443,0.5249330460699299,86.61264604083084,86.62851462310634,4.900077686949125,122.5,0.7854897616190851,-1,-1,2
5,10831,0.44754450991194905,212.02603048498474,210.82211078722344,11.960143025253291,299.0,0.7825510030882716,-1,-1,2
6,13468,0.9174711343241297,262.2846076325945,262.38861369925326,14.840237341121634,371.0,0.7855963935739998,-1,-1,2
7,16073,0.7831441677912491,313.32051954933075,313.17607192973327,17.720282788380523,443.0,0.7851675993065937,-1,-1,2
8,18686,0.19298958332914373,363.79509766610454,363.1103508771258,20.56031901305913,514.0,0.7844561611221729,-1,-1,2
1,1205,0.8516827679335355,13.071765687986801,30.572723820398647,1.3299350297191406,33.25,1.166756794968244,1,1,3
2,1831,0.3400001330407551,20.410643314404968,46.19151046991358,2.019480133203819,50.5,1.1547238331628518,1,1,3
3,3210,0.2823184482945266,34.42267553289222,81.5311560641527,3.539975142392845,88.5,1.1712973878152495,1,1,3
4,4443,0.5248746692394458,46.889084205537976,113.17094937467817,4.900077623064949,122.5,1.1780056708513331,1,1,3
5,10856,0.8558001472964439,113.77772584807488,276.50611042224784,11.960158797674534,299.0,1.180429672761458,1,1,3
6,13431,0.023162819141194536,141.88078426110192,342.7985458800178,14.84023710611854,371.0,1.1783737181769058,1,1,3
7,16068,0.5577148542913435,168.51235759706802,409.6981636974687,17.7202287364881,443.0,1.1805793726071148,1,1,3
