event,phi0,lambda_eV,lambda_keV,n_hits,found,delta_s,delta_w,reason
0,0.0,2000.0,2.0,16,True,7.808710052764554e-07,0.7820916539866425,
1,0.39269908169872414,2000.0,2.0,16,True,8.596075280981362e-07,0.7266801015091803,
2,0.7853981633974483,2000.0,2.0,16,True,6.681918318007152e-07,0.6522502217527905,
3,1.1780972450961724,2000.0,2.0,16,True,8.001773977332523e-07,0.7266801015043176,
4,1.5707963267948966,2000.0,2.0,16,True,8.072614834557634e-07,0.8812716315885033,
5,1.9634954084936207,2000.0,2.0,16,True,7.484337897889059e-07,0.6231643067973828,
6,2.356194490192345,2000.0,2.0,16,True,6.382166756765926e-07,0.6522502217449913,
7,2.748893571891069,2000.0,2.0,16,True,7.494049193812268e-07,0.6989484309384845,
8,3.141592653589793,2000.0,2.0,16,True,7.325609292667321e-07,0.618013741867266,
9,3.5342917352885173,2000.0,2.0,16,True,8.20360246380736e-07,0.5868886148688425,
10,3.9269908169872414,2000.0,2.0,16,True,8.964649542875161e-07,0.7127588945929176,
11,4.319689898685965,2000.0,2.0,16,True,7.831854580891203e-07,0.6764058893440856,
12,4.71238898038469,2000.0,2.0,16,True,7.90040418880844e-07,0.811059056268825,
13,5.105088062083414,2000.0,2.0,16,True,7.908983109812753e-07,0.6000040150707537,
14,5.497787143782138,2000.0,2.0,16,True,7.419883652072284e-07,0.7140464840202916,
15,5.890486225480862,2000.0,2.0,16,True,7.836145969928371e-07,0.6363340461381543,
