event,layer,forward_xn3,abs_xn1_mm,abs_xn2_mm,cur_ds_before,trial_ds,trial_dw,ds_ratio,dw_ratio,result
0,1304,378.34594025699096,2.3761628954143134e-07,1.341546070408141,,1.9412438834055464e-06,1.5698307416464965,1.0177708731429271,0.9442572589608526,accepted
0,1304,378.3452815010347,2.4937064179346877e-07,1.5159883602497712,,1.3486991523486091e-06,1.5421571044039988,0.6947602843093422,0.9823715789808827,accepted
0,1302,304.9213466623129,2.3963635967257324e-06,0.750052213866074,,0.0,1.438442318277791,0.0,0.9327469387975937,accepted
0,1302,304.9212138951483,2.337783554354663e-06,0.8022128091571432,,2.3360154559928683e-06,1.3636295747730713,,0.9479904459469108,accepted
0,808,124.90627489095642,0.09996437402462148,0.1499999625156213,2.3360154559928683e-06,0.035121467039192576,1.27664958770651,15034.775112078625,0.9362143585943887,3x_ds
0,808,124.90627489095642,0.09996437402462148,0.1499999625156213,2.3360154559928683e-06,0.035121467039192576,1.27664958770651,15034.775112078625,0.9362143585943887,3x_ds
0,806,90.23297685581736,0.0994371247882864,0.0999999787204627,2.3360154559928683e-06,0.035043278545968885,1.2760461497463254,15001.3042319853,0.9357718352204841,3x_ds
0,806,90.23297685581736,0.0994371247882864,0.0999999787204627,2.3360154559928683e-06,0.035043278545968885,1.2760461497463254,15001.3042319853,0.9357718352204841,3x_ds
0,804,51.4697805122479,0.0967103200255246,1.049924347287679,2.3360154559928683e-06,0.032801486397029796,1.3284121217386644,14041.63928491145,0.9741737391987354,3x_ds
0,804,51.4697805122479,0.0967103200255246,1.049924347287679,2.3360154559928683e-06,0.032801486397029796,1.3284121217386644,14041.63928491145,0.9741737391987354,3x_ds
0,802,33.92086784339864,0.09898049258079805,0.6999482929279632,2.3360154559928683e-06,0.03434056121429342,1.299340606497349,14700.485446787327,0.9528545218840527,3x_ds
0,802,33.92086784339864,0.09898049258079805,0.6999482929279632,2.3360154559928683e-06,0.03434056121429342,1.299340606497349,14700.485446787327,0.9528545218840527,3x_ds
