trial,event,mode,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
0,0,pixel_only,True,0.07190465607054643,0.6252904166364244,16,True,True
0,0,rphi_only,True,0.07190443986474636,0.6274861531222469,16,True,True
0,0,z_only,False,,,0,False,False
0,0,full,False,0.37394042879713585,1.1009559815484533,12,False,False
0,1,pixel_only,True,0.07189199908424007,0.5098111679898344,16,True,True
0,1,rphi_only,True,0.07189378001226451,0.5202285427705231,16,True,True
0,1,z_only,False,0.2502671362260453,0.40731345385786955,10,False,False
0,1,full,False,0.2495756615173185,0.407510520642161,10,False,False
0,2,pixel_only,True,0.07189871283523565,0.6628253663910119,16,True,True
0,2,rphi_only,True,0.0718987015777962,0.6614356367762259,16,True,True
0,2,z_only,False,0.26879727993008673,1.166734762980402,13,False,False
0,2,full,False,0.2655762873276417,1.1674809417172134,13,False,False
0,3,pixel_only,True,0.07190185530537212,0.41995809945659174,16,True,True
0,3,rphi_only,True,0.07190211715572918,0.42193472846981706,16,True,True
0,3,z_only,False,0.23834612414125655,1.08277855028022,13,False,False
0,3,full,False,0.2365229879009351,1.0824084093584017,13,False,False
0,4,pixel_only,True,0.07189613461923168,0.7342546300395721,16,True,True
0,4,rphi_only,True,0.07189651956152047,0.7561052928598608,16,True,True
0,4,z_only,False,,,0,False,False
0,4,full,False,,,0,False,False
0,5,pixel_only,True,0.07189920074648912,0.6172303001901993,16,True,True
0,5,rphi_only,True,0.07190136072346907,0.6267295768784821,16,True,True
0,5,z_only,False,0.295843245189325,0.7882884686480287,10,False,False
0,5,full,False,0.2971687909514037,0.7926990752501948,10,False,False
0,6,pixel_only,True,0.07188297097242989,0.6631143725437443,16,True,True
0,6,rphi_only,True,0.07188476971765219,0.656700624297222,16,True,True
0,6,z_only,False,,,0,False,False
0,6,full,False,,,0,False,False
0,7,pixel_only,True,0.07184813686188439,0.6333262839849378,16,True,True
0,7,rphi_only,True,0.07184020882842389,0.6197600273855792,16,True,True
0,7,z_only,False,0.32488622790179195,0.773164623327353,11,False,False
0,7,full,False,0.3104747481548198,0.7717273876038079,11,False,False
0,8,pixel_only,True,0.07189545667554867,0.5336925313900979,16,True,True
0,8,rphi_only,True,0.07189501554863106,0.5346936648501692,16,True,True
0,8,z_only,False,0.2821052508162517,0.4014978924012222,11,False,False
0,8,full,False,0.27861962685216296,0.3991327312606424,11,False,False
0,9,pixel_only,True,0.07186824625441596,0.4940554043780464,16,True,True
0,9,rphi_only,True,0.07186896852525732,0.4985250738954543,16,True,True
0,9,z_only,False,0.28814220134216545,0.9781321360963643,13,False,False
0,9,full,False,0.2835254512193295,0.757257453368089,12,False,False
0,10,pixel_only,True,0.07189870413528625,0.5723884826084998,16,True,True
0,10,rphi_only,True,0.07189816959686032,0.5695533111826239,16,True,True
0,10,z_only,False,0.2666805939998661,0.3862345329006636,11,False,False
0,10,full,False,0.27296738965245404,0.38753025408228853,11,False,False
0,11,pixel_only,True,0.07190136386372802,0.6158116768037407,16,True,True
0,11,rphi_only,True,0.07190167860947441,0.6113992412480127,16,True,True
0,11,z_only,False,0.2246276702630101,0.7836232776786253,11,False,False
0,11,full,False,0.2346108801556417,0.6457774928993508,12,False,False
0,12,pixel_only,True,0.07187914155022351,0.4548116223197397,16,True,True
0,12,rphi_only,True,0.07188566191544736,0.4567595966494373,16,True,True
0,12,z_only,False,0.26394961047047655,0.37050859055067037,13,False,False
0,12,full,False,0.2644269099708027,0.3730735263088499,13,False,False
0,13,pixel_only,True,0.07190138469950684,0.6515339395912753,16,True,True
0,13,rphi_only,True,0.07190001876291095,0.6587888587788809,16,True,True
0,13,z_only,False,0.22438518575125896,0.882857627240341,13,False,False
0,13,full,False,0.22268002912459797,0.8865173911374243,13,False,False
0,14,pixel_only,True,0.07190034314077187,0.6116871028039714,16,True,True
0,14,rphi_only,True,0.0719003185689679,0.5956486432528045,16,True,True
0,14,z_only,False,,,0,False,False
0,14,full,False,,,0,False,False
0,15,pixel_only,True,0.07188355809554992,0.5239861462132219,16,True,True
0,15,rphi_only,True,0.07187670559856564,0.5188472708908078,16,True,True
0,15,z_only,False,0.2742766876650372,0.6024893354214634,12,False,False
0,15,full,False,0.27781092901273147,0.6020008892377977,12,False,False
1,0,pixel_only,True,0.07190465607054643,0.6252904166364244,16,True,True
1,0,rphi_only,True,0.07190455469731992,0.6284833339889303,16,True,True
1,0,z_only,False,,,0,False,False
1,0,full,False,,,0,False,False
1,1,pixel_only,True,0.07189199908424007,0.5098111679898344,16,True,True
1,1,rphi_only,True,0.07189294323671404,0.5020457020956486,16,True,True
1,1,z_only,False,0.27145223369248,0.7957548409502382,11,False,False
1,1,full,False,0.26819712725589195,0.8018555504719035,11,False,False
1,2,pixel_only,True,0.07189871283523565,0.6628253663910119,16,True,True
1,2,rphi_only,True,0.07189703955330098,0.6677431302000922,16,True,True
1,2,z_only,False,0.1982162071834889,0.6957437784136082,13,False,False
1,2,full,False,0.19902142915611906,0.6960180445307287,13,False,False
1,3,pixel_only,True,0.07190185530537212,0.41995809945659174,16,True,True
1,3,rphi_only,True,0.07190097339707208,0.41909617789316206,16,True,True
1,3,z_only,False,0.2645776563430867,0.8541434999545038,13,False,False
1,3,full,False,0.26219245156491816,0.8540359752847085,13,False,False
1,4,pixel_only,True,0.07189613461923168,0.7342546300395721,16,True,True
1,4,rphi_only,True,0.07189626017637915,0.7312188894398275,16,True,True
1,4,z_only,False,,,0,False,False
1,4,full,False,,,0,False,False
1,5,pixel_only,True,0.07189920074648912,0.6172303001901993,16,True,True
1,5,rphi_only,True,0.07189940967645399,0.6153043154726894,16,True,True
1,5,z_only,False,0.35618947307454785,0.7581990759470064,10,False,False
1,5,full,False,0.3601987211309605,0.7557635511575733,10,False,False
1,6,pixel_only,True,0.07188297097242989,0.6631143725437443,16,True,True
1,6,rphi_only,True,0.07187918328610014,0.665640608074619,16,True,True
1,6,z_only,False,,,0,False,False
1,6,full,False,,,0,False,False
1,7,pixel_only,True,0.07184813686188439,0.6333262839849378,16,True,True
1,7,rphi_only,True,0.07184959976123187,0.6311029212243054,16,True,True
1,7,z_only,False,0.3264310157314872,0.5775346750518026,11,False,False
1,7,full,False,0.28794119068857993,0.5807990532910065,12,False,False
1,8,pixel_only,True,0.07189545667554867,0.5336925313900979,16,True,True
1,8,rphi_only,True,0.07189980820818896,0.5353612837441108,16,True,True
1,8,z_only,False,0.2765125969052305,0.7360313806878743,11,False,False
1,8,full,False,0.27639523488263107,0.7368753228971875,11,False,False
