trial,event,mode,direct_delta_s,direct_delta_w,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
0,0,pixel_only,0.05177131597792917,1.6368286862176065,True,0.05177131597738019,1.6368286862176065,16,True,True
0,0,rphi_only,0.05177108039300051,1.6248519475821488,True,0.05177108039245153,1.6248519475821488,16,True,True
0,0,z_only,0.9501437129719564,1.6378651858984974,False,,,0,False,False
0,0,full,0.9494980936427644,1.626275672115804,False,,,0,False,False
0,1,pixel_only,0.05107552169102353,0.6186596367175344,True,0.05107552169129842,0.6186596367175348,16,True,True
0,1,rphi_only,0.05107217638526271,0.6203129822255421,True,0.05107217638745203,0.6203129822312258,16,True,True
0,1,z_only,0.46003655661888754,0.6203087935022232,False,0.20998924361077972,0.5995694798905215,10,False,False
0,1,full,0.460554909268556,0.6215735230581189,False,0.21973626285865266,0.5988387502804123,10,False,False
0,2,pixel_only,0.05175615583230785,0.6784951316863743,True,0.051756155832299144,0.678495131686356,16,True,True
0,2,rphi_only,0.05175610124139613,0.6774418366228434,True,0.051756101241587756,0.6774418366174996,16,True,True
0,2,z_only,0.5997006123491496,0.9746135850290983,False,0.27501249002858347,1.2315864781376429,10,False,False
0,2,full,0.6007079556345304,0.9732598338290291,False,0.27593736511194195,1.2304131982761024,10,False,False
0,3,pixel_only,0.0511242567672788,0.6017030450073345,True,0.05112425676700084,0.6017030450073345,16,True,True
0,3,rphi_only,0.05112685978441725,0.6007654788344168,True,0.051126859784344135,0.6007654788344153,16,True,True
0,3,z_only,0.601263163897281,0.9688478504845262,False,0.15762127188012412,0.34936294544931407,9,False,False
0,3,full,0.6004621493416584,0.9687629254154788,False,0.020986992212752305,0.37574445957563585,5,False,False
0,4,pixel_only,0.0517774801522213,1.6336562455597636,True,0.05177748015169912,1.6336562455642183,16,True,True
0,4,rphi_only,0.05177738496006784,1.6287899138061654,True,0.051777384960406944,1.6287899138016984,16,True,True
0,4,z_only,0.9566580919454657,1.6904525897138998,False,,,0,False,False
0,4,full,0.9616833094287944,1.6828854264230475,False,,,0,False,False
0,5,pixel_only,0.05176988682075039,0.7806915179459026,True,0.05176988682035931,0.780691517936578,16,True,True
0,5,rphi_only,0.051770042696742076,0.7716167181328796,True,0.05177004269687683,0.7716167181234488,16,True,True
0,5,z_only,0.6297921392599456,0.7989005603983105,False,0.3719931331518248,0.9686915095279444,8,False,False
0,5,full,0.6293043028528525,0.7904236896083408,False,0.3645968187762948,0.9610717610229718,8,False,False
0,6,pixel_only,0.051748793439293055,0.6887890978247417,True,0.05174879343980716,0.6887890978352873,16,True,True
0,6,rphi_only,0.05174809637514632,0.6938976675210332,True,0.05174809637512965,0.6938976675315585,16,True,True
0,6,z_only,0.6636018914391435,1.1463427553729926,False,0.35652206045594875,1.5617544792961304,9,False,False
0,6,full,0.6672342615014235,1.147315270220309,False,0.371297532370991,1.5626512801538863,9,False,False
0,7,pixel_only,0.05161407287966216,0.681303434622067,True,0.05161407287911056,0.6813034346181039,16,True,True
0,7,rphi_only,0.05161661102571802,0.6761771800248895,True,0.05161661102522176,0.6761771800249529,16,True,True
0,7,z_only,0.5627208295103129,0.73543929955325,False,0.15519201503046604,0.8697815642415148,9,False,False
0,7,full,0.5591522247789016,0.7334274220621423,False,0.08722615022187619,0.923246291712146,8,False,False
0,8,pixel_only,0.051765788529092006,0.674148695683823,True,0.05176578852882123,0.6741486956838185,16,True,True
0,8,rphi_only,0.05176605297161717,0.6743419513621498,True,0.05176605297188977,0.6743419513621437,16,True,True
0,8,z_only,0.553097260664937,0.6774326020918863,False,0.3006592106313416,0.5724912049764012,10,False,False
0,8,full,0.5526914675650715,0.6779558222034755,False,0.29649179484706883,0.5748223357863842,10,False,False
0,9,pixel_only,0.05153797459109027,0.7251921262586986,True,0.051537974590718856,0.7251921262562167,16,True,True
0,9,rphi_only,0.05153888562099427,0.7269286633048194,True,0.05153888562052224,0.7269286633011354,16,True,True
0,9,z_only,0.7026316164546121,0.9161421678330567,False,,,0,False,False
0,9,full,0.7028455222908203,0.9173538831332865,False,,,0,False,False
0,10,pixel_only,0.05172282739129061,0.7552221742710121,True,0.051722827391233434,0.7552221742710277,16,True,True
0,10,rphi_only,0.05172153986744883,0.7507134158670884,True,0.05172153986709873,0.7507134158574408,16,True,True
0,10,z_only,0.4131719180685183,0.7595722098303616,False,,,0,False,False
0,10,full,0.4140195204820129,0.754624741495248,False,,,0,False,False
0,11,pixel_only,0.05173958913355114,0.8122543034251503,True,0.05173958913313573,0.8122543034251412,16,True,True
0,11,rphi_only,0.05173883524805372,0.8113167329493233,True,0.05173883524805372,0.8113167329493233,16,True,True
0,11,z_only,0.5225492735885902,0.8281459821823824,False,,,0,False,False
0,11,full,0.5212455495565523,0.8280490767740684,False,0.3701245778565824,0.5814517288699639,9,False,False
0,12,pixel_only,0.05176603568572386,0.7851509783974986,True,0.051766035685507604,0.785150978392675,16,True,True
0,12,rphi_only,0.05176486997040849,0.7830264229087555,True,0.05176486997050395,0.7830264229100985,16,True,True
0,12,z_only,0.45099417760974136,0.7981989912241056,False,0.2752580455310048,0.8003830179695902,7,False,False
0,12,full,0.45116899487141643,0.7960101931862842,False,0.28151188888316697,0.8003087972786759,7,False,False
0,13,pixel_only,0.05176559446735749,0.7929946613213913,True,0.051765594467093445,0.792994661321387,16,True,True
0,13,rphi_only,0.051768808574880164,0.7935005743644086,True,0.05176880857521167,0.7935005743552348,16,True,True
0,13,z_only,0.5750874074145003,0.8311865945909661,False,,,0,False,False
0,13,full,0.574752798796636,0.8319004351293775,False,,,0,False,False
0,14,pixel_only,0.05173973081116609,0.628724180625421,True,0.051739730811837296,0.6287241806427255,16,True,True
0,14,rphi_only,0.051740584406218176,0.6301367464748872,True,0.05174058440624388,0.630136746463318,16,True,True
0,14,z_only,0.599840559674124,0.9442041925097571,False,0.22636641836278312,1.2065157824809014,10,False,False
0,14,full,0.6003542185377165,0.9448192860822945,False,0.2144829537536925,0.8274771023754969,8,False,False
0,15,pixel_only,0.051776067747210656,0.6461309364136752,True,0.05177606774775461,0.6461309364136757,16,True,True
0,15,rphi_only,0.05177477567551956,0.648995235906285,True,0.05177477567588046,0.6489952359034773,16,True,True
0,15,z_only,0.5010467349157421,0.6993911960466113,False,0.2810941308598638,0.7402933023948065,11,False,False
0,15,full,0.5019607006406035,0.7013848777309558,False,0.2882671403340783,0.7409569377147802,11,False,False
1,0,pixel_only,0.05177131597792917,1.6368286862176065,True,0.05177131597738019,1.6368286862176065,16,True,True
1,0,rphi_only,0.05177120703782662,1.6313971338571378,True,0.05177120703782662,1.6313971338571378,16,True,True
1,0,z_only,0.6559696932669226,1.6428153000017927,False,,,0,False,False
1,0,full,0.6553546389386112,1.6376509782267639,False,,,0,False,False
1,1,pixel_only,0.05107552169102353,0.6186596367175344,True,0.05107552169129842,0.6186596367175348,16,True,True
1,1,rphi_only,0.05107898253479273,0.6228498346491268,True,0.05107898253570814,0.6228498346534552,16,True,True
1,1,z_only,0.6152357820461101,0.8769099636843919,False,0.21616586077900926,1.1282081242082846,10,False,False
1,1,full,0.6131789618643257,0.8813059544618379,False,0.22138733631298774,1.130997134468095,10,False,False
