trial,event,mode,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double,reason
0,0,pixel_only,True,0.05189235622167547,0.8965408911602595,16,True,True,pass
0,0,rphi_only,True,0.05189227704105488,0.8929099495483157,16,True,True,pass
0,0,z_only,False,,,0,False,False,seed_ds_fail
0,0,full,False,,,0,False,False,seed_ds_fail
0,1,pixel_only,True,0.05189364927196712,0.7249645659980073,16,True,True,pass
0,1,rphi_only,True,0.05189319782398045,0.7185993054572026,16,True,True,pass
0,1,z_only,False,0.31415543721130945,0.6681074922089104,12,False,False,final_ds_fail
0,1,full,False,0.3188098560499172,0.662572787727227,12,False,False,final_ds_fail
0,2,pixel_only,True,0.05188484672837014,0.6045982117788054,16,True,True,pass
0,2,rphi_only,True,0.0518847219092118,0.6011281779561366,16,True,True,pass
0,2,z_only,False,0.26657739408397707,1.187639146573133,10,False,False,final_ds_fail
0,2,full,False,0.2718282998712239,1.187973300105364,10,False,False,final_ds_fail
0,3,pixel_only,True,0.0518939872365304,0.7271559025784697,16,True,True,pass
0,3,rphi_only,True,0.05189385078257294,0.7323307916833192,16,True,True,pass
0,3,z_only,False,0.2078228653423728,0.7427561413004302,13,False,False,final_ds_fail
0,3,full,False,0.20682380990934812,0.7466127544208739,13,False,False,final_ds_fail
0,4,pixel_only,True,0.05189530891803438,0.6351029895891872,16,True,True,pass
0,4,rphi_only,True,0.05189536180475505,0.6476681312944528,16,True,True,pass
0,4,z_only,False,0.2341386090317801,1.1255117747480192,10,False,False,final_ds_fail
0,4,full,False,0.24551248956252864,1.1289070499230018,10,False,False,final_ds_fail
0,5,pixel_only,True,0.05189570576292412,0.7272216742271052,16,True,True,pass
0,5,rphi_only,True,0.05189585835286489,0.7311265487299522,16,True,True,pass
0,5,z_only,False,0.2880607761729874,0.918765018494631,11,False,False,final_ds_fail
0,5,full,False,0.3133437235374473,0.892276723684169,12,False,False,final_ds_fail
0,6,pixel_only,True,0.051895467588989934,0.6079478329125448,16,True,True,pass
0,6,rphi_only,True,0.051895769019035566,0.602843043809431,16,True,True,pass
0,6,z_only,False,0.2918334290607033,1.3569253337243563,12,False,False,final_ds_fail
0,6,full,False,0.28333358436420786,1.3556314026159144,12,False,False,final_ds_fail
0,7,pixel_only,True,0.051887508077080084,0.606896374174074,16,True,True,pass
0,7,rphi_only,True,0.05188840260299441,0.6011959968582374,16,True,True,pass
0,7,z_only,False,0.24057525466538265,0.8160493120398459,10,False,False,final_ds_fail
0,7,full,False,0.23632844678577958,0.8153635519058949,10,False,False,final_ds_fail
0,8,pixel_only,True,0.05189539371020332,0.6743667984692865,16,True,True,pass
0,8,rphi_only,True,0.051895344274137195,0.6707724091279483,16,True,True,pass
0,8,z_only,False,,,0,False,False,seed_ds_fail
0,8,full,False,,,0,False,False,seed_ds_fail
0,9,pixel_only,True,0.05189122613973578,0.5902107297413578,16,True,True,pass
0,9,rphi_only,True,0.05189123088555839,0.5918581939958386,16,True,True,pass
0,9,z_only,False,0.2660193163523328,1.12013707401634,10,False,False,final_ds_fail
0,9,full,False,0.2540740264284292,1.1203339862510644,10,False,False,final_ds_fail
