event,phi0,n_hits,found,delta_s,delta_w,reason
0,0.0,16,True,6.886343841773247e-07,0.6266640708408131,
1,0.39269908169872414,16,True,5.707583443157511e-07,0.5054352014646507,
2,0.7853981633974483,16,False,,,no exact8 plane survived
3,1.1780972450961724,16,True,7.62590689351802e-07,0.42502241404103097,
4,1.5707963267948966,16,True,4.461497980840101e-07,0.7313556895062093,
5,1.9634954084936207,16,True,5.306467297602015e-07,0.6165803947316456,
6,2.356194490192345,16,True,6.529029372192172e-07,0.6642615416741613,
7,2.748893571891069,16,True,5.092898364002288e-07,0.6294251472839155,
8,3.141592653589793,16,True,6.047458256844854e-07,0.5357311188010204,
9,3.5342917352885173,16,True,5.966881507843099e-07,0.4892840955582811,
10,3.9269908169872414,16,True,6.316552006073697e-07,0.573759476138837,
11,4.319689898685965,16,True,7.508109065717516e-07,0.6151809463680368,
12,4.71238898038469,16,True,6.618012298491812e-07,0.4502203542764009,
13,5.105088062083414,16,True,6.47585125773242e-07,0.6547840665078914,
14,5.497787143782138,16,False,,,no exact8 plane survived
15,5.890486225480862,16,True,5.136000301415019e-07,0.5196899748742516,
