trial,event,mode,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double,reason
0,0,pixel_only,True,0.07147336810341376,1.0413432602483117,16,True,True,pass
0,0,rphi_only,True,0.07147455221151809,1.0554338227515927,16,True,True,pass
0,0,z_only,False,,,0,False,False,seed_ds_fail
0,0,full,False,,,0,False,False,seed_ds_fail
0,1,pixel_only,True,0.07140468929377271,0.9897480618666817,16,True,True,pass
0,1,rphi_only,True,0.07140107464350033,0.9861243705125539,16,True,True,pass
0,1,z_only,False,0.25492349609029685,1.0499141048859066,14,True,False,final_ds_fail
0,1,full,False,0.25494347317368354,1.0510733969184332,14,True,False,final_ds_fail
0,2,pixel_only,True,0.0714381963346305,0.7701439218029933,16,True,True,pass
0,2,rphi_only,True,0.0714381397597234,0.7699314806758335,16,True,True,pass
0,2,z_only,False,,,0,False,False,seed_ds_fail
0,2,full,False,,,0,False,False,seed_ds_fail
0,3,pixel_only,True,0.07139350491224229,0.6704990334628728,16,True,True,pass
0,3,rphi_only,True,0.0713901744427504,0.6692537896872222,16,True,True,pass
0,3,z_only,False,0.2470205534671634,0.7001103750988124,14,True,False,final_ds_fail
0,3,full,False,0.24682491945482385,0.697872437102691,14,True,False,final_ds_fail
0,4,pixel_only,True,0.07141091757019803,0.4991362690990127,16,True,True,pass
0,4,rphi_only,True,0.07141106233141195,0.5039603749972184,16,True,True,pass
0,4,z_only,False,0.16259989549113038,1.2571802452488599,11,False,False,final_ds_fail
0,4,full,False,0.1715078206023882,1.259154817171147,11,False,False,final_ds_fail
0,5,pixel_only,True,0.07143563451418362,0.5206615929780103,16,True,True,pass
0,5,rphi_only,True,0.0714242903349849,0.5168467701955677,16,True,True,pass
0,5,z_only,False,0.09576282270337072,0.8268510358717375,9,False,False,missing_layer_after_growth
0,5,full,False,0.13084641427310975,0.7772762909206115,11,False,False,final_ds_fail
0,6,pixel_only,True,0.07146983164826677,0.7694968860957921,16,True,True,pass
0,6,rphi_only,True,0.07147158336860772,0.7672409395289209,16,True,True,pass
0,6,z_only,False,,,0,False,False,seed_ds_fail
0,6,full,False,,,0,False,False,seed_ds_fail
0,7,pixel_only,True,0.07141298381261889,1.1989741241299252,16,True,True,pass
0,7,rphi_only,True,0.07141696816724538,1.2031973100941722,16,True,True,pass
0,7,z_only,False,,,0,False,False,seed_ds_fail
0,7,full,False,,,0,False,False,seed_ds_fail
0,8,pixel_only,True,0.07147848753981544,0.6066440263845885,16,True,True,pass
0,8,rphi_only,True,0.07147803837903997,0.5957344064061109,16,True,True,pass
0,8,z_only,False,0.17618638897700764,0.5980231411926538,11,False,False,final_ds_fail
0,8,full,False,0.17427168384722114,0.5852101606033077,11,False,False,final_ds_fail
0,9,pixel_only,True,0.07149050958116422,0.5681116281611195,16,True,True,pass
0,9,rphi_only,True,0.07149006510916475,0.5593486542169639,16,True,True,pass
0,9,z_only,False,0.26538994050516074,0.8666573344157595,9,False,False,final_ds_fail
0,9,full,False,0.25316153861524693,0.8642487059984691,9,False,False,final_ds_fail
0,10,pixel_only,True,0.07139256101985414,0.6636635019546379,16,True,True,pass
0,10,rphi_only,True,0.07138819985287513,0.6478180072893904,16,True,True,pass
0,10,z_only,False,,,0,False,False,seed_ds_fail
0,10,full,False,,,0,False,False,seed_ds_fail
0,11,pixel_only,True,0.07130851837283964,0.6495674430128878,16,True,True,pass
0,11,rphi_only,True,0.07130422446765147,0.6373110932125131,16,True,True,pass
0,11,z_only,False,,,0,False,False,seed_ds_fail
0,11,full,False,,,0,False,False,seed_ds_fail
0,12,pixel_only,True,0.07143833600843592,0.7467847268764675,16,True,True,pass
0,12,rphi_only,True,0.07143075574627149,0.7503178115018662,16,True,True,pass
0,12,z_only,False,0.22957998760377635,0.4064992835205241,11,False,False,final_ds_fail
0,12,full,False,0.23284819662107478,0.4034946546793625,11,False,False,final_ds_fail
0,13,pixel_only,True,0.07146340745497169,0.5872167788723452,16,True,True,pass
0,13,rphi_only,True,0.07147148267751209,0.5956597453237407,16,True,True,pass
0,13,z_only,False,0.2737964687963952,0.7343444961300328,10,False,False,final_ds_fail
0,13,full,False,0.3153431340958788,0.7250823328698968,11,False,False,final_ds_fail
0,14,pixel_only,True,0.07128069438769301,0.611618557052855,16,True,True,pass
0,14,rphi_only,True,0.07128027382026053,0.6070900368124079,16,True,True,pass
0,14,z_only,False,0.2147257963235197,0.7159678344204533,10,False,False,final_ds_fail
0,14,full,False,0.20074670839743566,0.7166814171447418,10,False,False,final_ds_fail
0,15,pixel_only,True,0.07144583253310179,0.7703172424593167,16,True,True,pass
0,15,rphi_only,True,0.07143810038418322,0.7691055518754706,16,True,True,pass
0,15,z_only,False,,,0,False,False,seed_ds_fail
0,15,full,False,,,0,False,False,seed_ds_fail
1,0,pixel_only,True,0.07147336810341376,1.0413432602483117,16,True,True,pass
1,0,rphi_only,True,0.07147389627626884,1.047857671558941,16,True,True,pass
1,0,z_only,False,,,0,False,False,seed_ds_fail
1,0,full,False,,,0,False,False,seed_ds_fail
1,1,pixel_only,True,0.07140468929377271,0.9897480618666817,16,True,True,pass
1,1,rphi_only,True,0.07140336808910487,0.9947519214658422,16,True,True,pass
1,1,z_only,False,,,0,False,False,seed_ds_fail
1,1,full,False,,,0,False,False,seed_ds_fail
1,2,pixel_only,True,0.0714381963346305,0.7701439218029933,16,True,True,pass
1,2,rphi_only,True,0.07143200182838674,0.7635676199757232,16,True,True,pass
1,2,z_only,False,0.2698412729278147,0.847382056554817,12,False,False,final_ds_fail
1,2,full,False,0.2695424944114587,0.8406749306323261,12,False,False,final_ds_fail
1,3,pixel_only,True,0.07139350491224229,0.6704990334628728,16,True,True,pass
1,3,rphi_only,True,0.07139804844491907,0.6655163776673368,16,True,True,pass
1,3,z_only,False,,,0,False,False,seed_ds_fail
1,3,full,False,,,0,False,False,seed_ds_fail
1,4,pixel_only,True,0.07141091757019803,0.4991362690990127,16,True,True,pass
1,4,rphi_only,True,0.07140428281735751,0.5048517216276999,16,True,True,pass
1,4,z_only,False,0.18942349793130928,1.1024360925331946,11,False,False,final_ds_fail
1,4,full,False,0.19437177840454456,1.1024407540608951,11,False,False,final_ds_fail
