event,phi0,lambda_eV,lambda_keV,n_hits,found,delta_s,delta_w,reason
0,0.0,1000.0,1.0,16,True,3.1040231147507516e-06,1.8015757637483045,
1,0.39269908169872414,1000.0,1.0,16,True,3.282524008283267e-06,1.8021163934455948,
2,0.7853981633974483,1000.0,1.0,16,True,3.249734552350581e-06,1.8020936810116464,
3,1.1780972450961724,1000.0,1.0,16,True,3.2354597188343672e-06,1.8024504894806923,
4,1.5707963267948966,1000.0,1.0,16,True,3.1040231147507516e-06,1.801575763748303,
5,1.9634954084936207,1000.0,1.0,16,True,3.2829649565921193e-06,1.802116393441484,
6,2.356194490192345,1000.0,1.0,16,True,3.2366793012791283e-06,1.8020936809933994,
7,2.748893571891069,1000.0,1.0,16,True,3.4119155560215138e-06,1.8015710697236291,
8,3.141592653589793,1000.0,1.0,16,True,3.3995709338122884e-06,1.8017042587833783,
9,3.5342917352885173,1000.0,1.0,16,True,3.212665312815539e-06,1.8022869063295406,
10,3.9269908169872414,1000.0,1.0,16,True,3.2587085295231374e-06,1.8016748221045131,
11,4.319689898685965,1000.0,1.0,16,True,3.363081018424836e-06,1.8015689932458516,
12,4.71238898038469,1000.0,1.0,16,True,3.4275617595049467e-06,1.8017042587796646,
13,5.105088062083414,1000.0,1.0,16,True,3.209241980463127e-06,1.8015733130766038,
14,5.497787143782138,1000.0,1.0,16,True,3.3246812868983456e-06,1.8015657207854807,
15,5.890486225480862,1000.0,1.0,16,True,3.3156794557560082e-06,1.8015762440276153,
