event,phi0,lambda_eV,lambda_keV,n_hits,found,delta_s,delta_w,reason
0,0.0,5000.0,5.0,16,True,3.769728732309794e-07,0.4446911710085886,
1,0.39269908169872414,5000.0,5.0,16,True,9.946354108503595e-08,0.47992494241755723,
2,0.7853981633974483,5000.0,5.0,16,True,9.222750967412125e-08,0.4541145751178816,
3,1.1780972450961724,5000.0,5.0,16,True,2.40268518042523e-07,0.6131510925384661,
4,1.5707963267948966,5000.0,5.0,16,True,4.0824870881913093e-07,0.4606171596560542,
5,1.9634954084936207,5000.0,5.0,16,True,4.6761807306535166e-07,0.7941148983486538,
6,2.356194490192345,5000.0,5.0,16,True,0.0,0.4541145751246222,
7,2.748893571891069,5000.0,5.0,16,True,3.843542027186675e-07,0.7872716126060687,
8,3.141592653589793,5000.0,5.0,16,True,2.892086695886208e-07,0.46202257100366995,
9,3.5342917352885173,5000.0,5.0,16,True,4.1646135144319627e-07,0.5395347941902979,
10,3.9269908169872414,5000.0,5.0,16,True,3.5897219323787454e-07,0.5394511509157384,
11,4.319689898685965,5000.0,5.0,16,False,,,no exact8 plane survived
12,4.71238898038469,5000.0,5.0,16,True,5.156139120451426e-07,0.6306032212165406,
13,5.105088062083414,5000.0,5.0,16,False,,,no exact8 plane survived
14,5.497787143782138,5000.0,5.0,16,True,1.994464335499119e-07,0.4358324747146113,
15,5.890486225480862,5000.0,5.0,16,True,0.0,0.5471923461897352,
