event,phi0,lambda_eV,lambda_keV,n_hits,found,delta_s,delta_w,reason
0,0.0,1000.0,1.0,16,True,1.0688298454047545e-06,1.383472924787837,
1,0.39269908169872414,1000.0,1.0,16,True,1.0960843784401357e-06,1.3865137547355733,
2,0.7853981633974483,1000.0,1.0,16,True,1.0601926684792537e-06,1.3838371052284104,
3,1.1780972450961724,1000.0,1.0,16,True,1.157423621847069e-06,1.3865899506082904,
4,1.5707963267948966,1000.0,1.0,16,True,1.1197980723873906e-06,1.3835858746259186,
5,1.9634954084936207,1000.0,1.0,16,True,1.1165016258220407e-06,1.3862157271505602,
6,2.356194490192345,1000.0,1.0,16,True,1.072174204177818e-06,1.3838371052224328,
7,2.748893571891069,1000.0,1.0,16,True,1.078453182002263e-06,1.3857115362058539,
8,3.141592653589793,1000.0,1.0,16,True,1.0688298454047545e-06,1.383472924787837,
9,3.5342917352885173,1000.0,1.0,16,True,1.2323216881612867e-06,1.3838959056377662,
10,3.9269908169872414,1000.0,1.0,16,True,1.2267138822988879e-06,1.3837649616416738,
11,4.319689898685965,1000.0,1.0,16,True,9.992188851656321e-07,1.3838066886308706,
12,4.71238898038469,1000.0,1.0,16,True,1.0794860289260646e-06,1.3834729247878321,
13,5.105088062083414,1000.0,1.0,16,True,1.1732859706107529e-06,1.395005302422576,
14,5.497787143782138,1000.0,1.0,16,True,1.156620534817145e-06,1.3820094893417054,
15,5.890486225480862,1000.0,1.0,16,True,9.9123862110949e-07,1.3838066886313278,
