event,phi0,lambda_eV,lambda_keV,n_hits,found,delta_s,delta_w,reason
0,0.0,2000.0,2.0,16,True,2.5350831905951787e-07,0.8918981274489167,
1,0.39269908169872414,2000.0,2.0,16,True,5.009727397036376e-07,0.7264599815887332,
2,0.7853981633974483,2000.0,2.0,16,True,5.572586221578475e-07,0.606458787911145,
3,1.1780972450961724,2000.0,2.0,16,True,4.887417032672614e-07,0.7285678791616051,
4,1.5707963267948966,2000.0,2.0,16,True,4.5403840535741375e-07,0.6367412046108988,
5,1.9634954084936207,2000.0,2.0,16,True,4.887417032672614e-07,0.7285678791616051,
6,2.356194490192345,2000.0,2.0,16,True,5.486316687264051e-07,0.6064587879309385,
7,2.748893571891069,2000.0,2.0,16,True,5.14877630181438e-07,0.6067456098188021,
8,3.141592653589793,2000.0,2.0,16,True,5.887165941214101e-07,0.6734797834601876,
9,3.5342917352885173,2000.0,2.0,16,True,5.550241857193431e-07,0.5899465764540276,
10,3.9269908169872414,2000.0,2.0,16,True,4.997958052922745e-07,0.5852105388411917,
11,4.319689898685965,2000.0,2.0,16,True,5.739527011565787e-07,0.5832989696916532,
12,4.71238898038469,2000.0,2.0,16,True,4.698368915551589e-07,0.7881281464077622,
13,5.105088062083414,2000.0,2.0,16,True,5.521249364297918e-07,0.5910588182362142,
14,5.497787143782138,2000.0,2.0,16,True,4.6972863674232833e-07,0.6958266977659734,
15,5.890486225480862,2000.0,2.0,16,True,7.148789212403432e-07,0.6133120171379122,
