event,phi0,lambda_eV,lambda_keV,n_hits,found,delta_s,delta_w,reason
0,0.0,5000.0,5.0,16,True,0.0,0.9059316765831695,
1,0.39269908169872414,5000.0,5.0,16,True,3.3306156638034004e-07,0.5943554961973196,
2,0.7853981633974483,5000.0,5.0,16,True,4.512250719882681e-07,0.6582117145182644,
3,1.1780972450961724,5000.0,5.0,16,True,5.28021470157977e-07,0.5385992404124657,
4,1.5707963267948966,5000.0,5.0,16,True,3.5987948826367883e-07,0.6195798322367725,
5,1.9634954084936207,5000.0,5.0,16,True,4.865818606897359e-07,0.6815281065540844,
6,2.356194490192345,5000.0,5.0,16,True,4.6622125439215555e-07,0.6582117145169867,
7,2.748893571891069,5000.0,5.0,16,True,4.954783868674115e-07,0.5385992404227702,
8,3.141592653589793,5000.0,5.0,16,True,3.917384382278358e-07,0.5492867297096109,
9,3.5342917352885173,5000.0,5.0,16,True,6.309119426689877e-07,0.6237100842716949,
10,3.9269908169872414,5000.0,5.0,16,True,5.269812316253774e-07,0.9660040710675316,
11,4.319689898685965,5000.0,5.0,16,True,3.452483516965213e-07,0.5972183049820131,
12,4.71238898038469,5000.0,5.0,16,True,2.3830150121342324e-07,0.5185417409367413,
13,5.105088062083414,5000.0,5.0,16,True,4.4614561659390037e-07,0.630676230348001,
14,5.497787143782138,5000.0,5.0,16,True,2.1082086729357363e-07,0.5292790802501088,
15,5.890486225480862,5000.0,5.0,16,True,3.454824961289177e-07,0.597218304991798,
