particle,hit_id,trajectory_step,x,y,z,r,phi,volume_id,layer_id,module_id,module_index,local_u_mm,local_v_mm,distance_to_module
-1,0,5703,31.536535632456673,0.8372770370574052,6.3078133923352,31.54764828848567,0.026543194392988995,8,2,120,875,7.042575105568613,-28.692186607636106,0.0
-1,4,12853,71.0670975215217,1.029529376500697,14.214558007365518,71.07455438390419,0.014485709993669427,8,4,240,1219,8.069316370444678,-20.785441992613695,0.0
-1,6,20814,115.07151748621793,-1.1271968888620723,23.016146372707134,115.07703815013323,-0.009795306974982335,8,6,390,1817,5.880225179811306,-11.983853627280881,0.0
-1,8,30942,171.02909102638756,-1.099793282393004,34.208556385576784,171.0326270703235,-0.006430357064520483,8,8,585,2740,5.84492569375692,-0.7914436144224241,0.0
-1,10,46375,256.1845820159199,-0.9305648283416433,51.24102559507851,256.18627210210025,-0.003632383839517049,13,2,461,5484,-21.26654114615664,-51.758974404869726,0.0
-1,14,64460,355.9744245590374,-0.7272929846476036,71.200588268065,355.9751675260837,-0.0020431017581588524,13,4,645,6508,-20.92075677239768,-31.79941173190319,0.0
-1,18,89743,495.7025452609874,-1.6533846964209564,99.14845043019913,495.70530263370756,-0.0033354248044298665,13,6,898,7937,-21.857425205542032,-3.8515495697970143,0.0
-1,20,118805,655.7797295791403,0.1706834040829497,131.16646056266768,655.779751791495,0.00026027550491423084,13,8,1174,9851,-20.251519811466117,28.16646056263951,0.0
-1,22,148345,818.6693814603497,1.0264696000880753,163.74699829452658,818.670024967637,0.0012538261298591182,17,2,1501,13928,-20.63591747229657,-42.25300170543117,0.0
1,0,5684,31.428779870191857,-1.0729737964892871,6.286258590048169,31.447090118116325,-0.034126594522635716,8,2,120,875,5.1292874765489245,-28.713741409923113,0.0
1,2,12869,71.15355354381653,-1.0363442339868691,14.231852915815836,71.16110026752034,-0.014563867995937516,8,4,240,1219,6.001634475594452,-20.768147084163395,0.0
1,6,20788,114.92716878502486,0.6827451186874388,22.98727753610904,114.92919675103748,0.005940606510579296,8,6,390,1817,7.695914200051801,-12.012722463878946,0.0
1,8,30906,170.83001208201543,0.8899003652946499,34.16873972796888,170.83232993377362,0.005209227026183817,8,8,585,2740,7.844553968645262,-0.831260272030292,0.0
1,12,46410,256.38070497551445,1.8092684728020263,51.28024498919725,256.38708886398405,0.007056843219148279,13,2,461,5484,-18.519697369506634,-51.71975501075102,0.0
1,18,64502,356.20444277814676,1.7151090585444035,71.2465949525257,356.20857184235854,0.00481491974411597,13,4,645,6508,-18.467547421017596,-31.753405047442545,0.0
1,20,89782,495.9167152953093,0.2906900388419011,99.19128735641085,495.9168004917635,0.000586166984462102,13,6,898,7937,-19.90158897009665,-3.8087126435853373,0.0
1,22,118761,655.539980684243,-1.8310962822476178,131.11849676744006,655.5425380469925,-0.002793256817211486,13,8,1174,9851,-22.267605485539033,28.118496767411944,0.0
1,28,148295,818.3966926872511,-1.1645611993338851,163.69244219570257,818.3975212598202,-0.0014229779075512134,17,2,1501,13928,-22.843852057147284,-42.30755780425512,0.0
