trial,event,mode,sigma_z_mm,direct_delta_s,direct_delta_w,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
0,0,z_sigma,0.0,0.05177131597783616,1.6368286862175891,True,0.05177131597701268,1.6368286862175891,16,True,True
0,0,z_sigma,0.1,0.09741658469375072,1.6368338135330056,True,0.09741658469346152,1.6368338135330054,16,True,True
0,0,z_sigma,0.25,0.21161352921165627,1.636861160776445,False,0.18636683591167072,1.436639355237881,15,True,True
0,0,z_sigma,0.5,0.4128503539753308,1.636965085597771,False,,,0,False,False
0,0,z_sigma,0.58,0.4778039555382884,1.6370165539909234,False,,,0,False,False
0,0,z_sigma,1.16,0.9501437129719564,1.6378651858984974,False,,,0,False,False
0,1,z_sigma,0.0,0.05107552169098705,0.6186596367145552,True,0.05107552169124374,0.6186596367130658,16,True,True
0,1,z_sigma,0.1,0.06409282799541137,0.6186227544474586,True,0.06409282799604737,0.6186227544458988,16,True,True
0,1,z_sigma,0.25,0.11061904162123944,0.6186019993711237,False,0.11061904162122835,0.6186019993696344,16,True,True
0,1,z_sigma,0.5,0.20360588983389685,0.618666913437007,False,0.1930204978831225,0.28130058971903066,10,False,False
0,1,z_sigma,0.58,0.2343834349367833,0.6187195962197523,False,0.19999340309412006,0.31467077466565396,10,False,False
0,1,z_sigma,1.16,0.46003655661888754,0.6203087935022232,False,0.20998924361077972,0.5995694798905215,10,False,False
0,2,z_sigma,0.0,0.05175615583218509,0.6784951316917281,True,0.05175615583217639,0.6784951316917098,16,True,True
0,2,z_sigma,0.1,0.0892941147748501,0.6791273844822966,True,0.08929411477453461,0.6791273844876551,16,True,True
0,2,z_sigma,0.25,0.19023650214516877,0.6825431188833792,False,0.19023650214521448,0.6825431188993171,16,True,True
0,2,z_sigma,0.5,0.3625711620655602,0.6988650514534781,False,0.2594587981345597,0.6059778526765087,11,False,False
0,2,z_sigma,0.58,0.41354437058953825,0.7093616272611261,False,0.27623148167210065,0.6632108634358571,11,False,False
0,2,z_sigma,1.16,0.5997006123491496,0.9746135850290983,False,0.27501249002858347,1.2315864781376429,10,False,False
0,3,z_sigma,0.0,0.051124256767248216,0.6017030450315198,True,0.051124256767237176,0.6017030450194274,16,True,True
0,3,z_sigma,0.1,0.0991908948025153,0.6016696032829637,True,0.09919089480268796,0.6016696032829593,16,True,True
0,3,z_sigma,0.25,0.21594933799896893,0.6016474169532239,False,0.0774334983440529,0.641588304677273,14,True,False
0,3,z_sigma,0.5,0.42086317081540797,0.6017277936007912,False,0.11560593213775214,0.6418140757947116,14,True,False
0,3,z_sigma,0.58,0.486875285990622,0.6018632869982176,False,0.1290166371333324,0.6419062396163024,14,True,False
0,3,z_sigma,1.16,0.601263163897281,0.9688478504845262,False,0.15762127188012412,0.34936294544931407,9,False,False
0,4,z_sigma,0.0,0.051777480152047285,1.633656245555259,True,0.051777480151379826,1.6336562455597112,16,True,True
0,4,z_sigma,0.1,0.10042498389820793,1.633940694546906,False,0.10042498397063082,1.6339406945469073,16,True,True
0,4,z_sigma,0.25,0.2197239388797818,1.6354540317839432,False,0.1219822200310933,1.3944785721510733,14,True,False
0,4,z_sigma,0.5,0.4277904960209919,1.6412165740929445,False,0.22265716455717602,1.395244535014288,14,True,False
0,4,z_sigma,0.58,0.49430183256932797,1.6440762670600568,False,0.25591612941853936,1.395610770823108,14,True,False
0,4,z_sigma,1.16,0.9566580919454657,1.6904525897138998,False,,,0,False,False
0,5,z_sigma,0.0,0.05176988682016089,0.7806915179459066,True,0.05176988682022458,0.780691517936567,16,True,True
0,5,z_sigma,0.1,0.07385193734125538,0.7807377430378163,True,0.07385193734130331,0.7807377430378157,16,True,True
0,5,z_sigma,0.25,0.14561346577990636,0.7809965775327685,False,0.14561346577987763,0.7809965775234565,16,True,True
0,5,z_sigma,0.5,0.2795801383427373,0.7820541793339293,False,0.26211485711950067,0.7674758017635284,14,True,False
0,5,z_sigma,0.58,0.32311046019943823,0.7826221077779963,False,0.30103574247699294,0.6686454362778426,11,False,False
0,5,z_sigma,1.16,0.6297921392599456,0.7989005603983105,False,0.3719931331518248,0.9686915095279444,8,False,False
0,6,z_sigma,0.0,0.05174879343968676,0.6887890978405597,True,0.05174879343993141,0.688789097851163,16,True,True
0,6,z_sigma,0.1,0.10800945788809321,0.6891497870678996,False,0.10800945788846081,0.6891497870837205,16,True,True
0,6,z_sigma,0.25,0.24229329364805174,0.6911700502458789,False,0.24229329364860056,0.691170050256233,16,True,True
0,6,z_sigma,0.5,0.46793380699775744,0.7038775839600093,False,0.3563579308020515,0.6725430741341307,10,False,False
0,6,z_sigma,0.58,0.5330368722109153,0.7157480500228984,False,0.36401363580730645,0.7638797426422645,10,False,False
0,6,z_sigma,1.16,0.6636018914391435,1.1463427553729926,False,0.35652206045594875,1.5617544792961304,9,False,False
0,7,z_sigma,0.0,0.05161407287939999,0.6813034346247401,True,0.05161407287867292,0.6813034346154303,16,True,True
0,7,z_sigma,0.1,0.07339724972732838,0.681361440257521,True,0.07198026718555615,0.6954332104514523,15,True,True
0,7,z_sigma,0.25,0.14014853251352016,0.6820012166747402,False,0.13449236299548958,0.6907284710288687,14,True,False
0,7,z_sigma,0.5,0.26453510368423133,0.684930073299026,False,0.19169720891417474,0.5029477018466565,10,False,False
0,7,z_sigma,0.58,0.30463948081070685,0.6865727790739318,False,0.12527599398735795,0.5437826280599648,9,False,False
0,7,z_sigma,1.16,0.5627208295103129,0.73543929955325,False,0.15519201503046604,0.8697815642415148,9,False,False
0,8,z_sigma,0.0,0.051765788529637285,0.674148695683822,True,0.051765788529637285,0.674148695683822,16,True,True
0,8,z_sigma,0.1,0.06988727481466617,0.6741513448418675,True,0.06988727481466617,0.6741513448418675,16,True,True
0,8,z_sigma,0.25,0.12941478853884134,0.6741886066776053,False,0.12941478853884134,0.6741886066776053,16,True,True
0,8,z_sigma,0.5,0.24354463337510174,0.6743593409498254,False,0.16387603579117335,0.6920435984447385,15,True,True
0,8,z_sigma,0.58,0.2809584471345258,0.6744535367461574,False,0.1877957012298895,0.6925963086322384,15,True,True
0,8,z_sigma,1.16,0.553097260664937,0.6774326020918863,False,0.3006592106313416,0.5724912049764012,10,False,False
0,9,z_sigma,0.0,0.0515379745920921,0.7251921262686257,True,0.05153797459217674,0.7251921262686557,16,True,True
0,9,z_sigma,0.1,0.09214468463028516,0.7253627730970251,True,0.09214468462974695,0.725362773094587,16,True,True
0,9,z_sigma,0.25,0.19760309896522904,0.7260169844096706,False,0.19760309896508294,0.7260169844085295,16,True,True
0,9,z_sigma,0.5,0.3834753176489108,0.7288968844684988,False,,,0,False,False
0,9,z_sigma,0.58,0.4426518897619474,0.7307962343430965,False,,,0,False,False
0,9,z_sigma,1.16,0.7026316164546121,0.9161421678330567,False,,,0,False,False
0,10,z_sigma,0.0,0.05172282739177839,0.7552221742710277,True,0.05172282739100029,0.7552221742758225,16,True,True
0,10,z_sigma,0.1,0.06354601881672138,0.7552616200592256,True,0.0635460188164998,0.7552616200592629,16,True,True
0,10,z_sigma,0.25,0.10383157812291208,0.7554028600188952,False,0.10383157812265097,0.7554028600237097,16,True,True
0,10,z_sigma,0.5,0.18577505683420967,0.7558809200017383,False,0.18577505683404943,0.7558809200161779,16,True,True
0,10,z_sigma,0.58,0.21304518582944654,0.7561086687441829,False,0.18082843874065715,0.7779621874201191,15,True,True
0,10,z_sigma,1.16,0.4131719180685183,0.7595722098303616,False,,,0,False,False
0,11,z_sigma,0.0,0.05173958913396772,0.8122543034251536,True,0.05173958913355114,0.8122543034251503,16,True,True
0,11,z_sigma,0.1,0.0710595408090483,0.812346372986494,True,0.07105954080909505,0.8123463730133649,16,True,True
0,11,z_sigma,0.25,0.12777775311618644,0.8127493821396474,False,0.12777775311620643,0.8127493821485965,16,True,True
0,11,z_sigma,0.5,0.23565226523891655,0.8142330586689654,False,0.1849942216496229,0.770065092673026,14,True,False
0,11,z_sigma,0.58,0.27089197365111656,0.8149722206062965,False,0.2508582079389806,0.8041461296873174,15,True,True
0,11,z_sigma,1.16,0.5225492735885902,0.8281459821823824,False,,,0,False,False
0,12,z_sigma,0.0,0.051766035685234496,0.7851509784076885,True,0.0517660356852425,0.7851509784078605,16,True,True
0,12,z_sigma,0.1,0.06589552075785218,0.785210231409929,True,0.06589552075788103,0.7852102314107796,16,True,True
0,12,z_sigma,0.25,0.11209710638337644,0.7855542395743509,False,0.11209710638367909,0.7855542395852593,16,True,True
0,12,z_sigma,0.5,0.20354678220357578,0.7868826825154539,False,0.14040257966764907,0.7930369230345969,15,True,True
