event,phi0,lambda_eV,lambda_keV,n_hits,found,delta_s,delta_w,reason
0,0.0,3000.0,3.0,16,True,1.6858739404357614e-07,0.9540000604814043,
1,0.39269908169872414,3000.0,3.0,16,True,1.442989728545106e-07,0.8709621987752997,
2,0.7853981633974483,3000.0,3.0,16,True,3.6883593637518317e-07,0.6899842034016379,
3,1.1780972450961724,3000.0,3.0,16,True,2.5088382310669897e-07,0.7330045386899233,
4,1.5707963267948966,3000.0,3.0,16,True,4.434854681406258e-07,0.7404536850355341,
5,1.9634954084936207,3000.0,3.0,16,True,2.06628244093088e-07,0.8709621987874969,
6,2.356194490192345,3000.0,3.0,16,True,3.081681915242628e-07,0.6899842033848008,
7,2.748893571891069,3000.0,3.0,16,True,2.871779495526806e-07,0.7288681241626759,
8,3.141592653589793,3000.0,3.0,16,True,5.515945321441946e-07,0.7404536850346164,
9,3.5342917352885173,3000.0,3.0,16,True,3.50895064576416e-07,0.7173689524083527,
10,3.9269908169872414,3000.0,3.0,16,True,5.9130131096036555e-08,0.7448217001393358,
11,4.319689898685965,3000.0,3.0,16,True,3.759391044136662e-07,0.672223630131182,
12,4.71238898038469,3000.0,3.0,16,True,2.540724263908757e-07,0.7883476022412059,
13,5.105088062083414,3000.0,3.0,16,True,4.185632144362064e-07,0.7498671539941676,
14,5.497787143782138,3000.0,3.0,16,True,3.634916961071902e-07,0.7095302595068058,
15,5.890486225480862,3000.0,3.0,16,True,0.0,0.8907424058829707,
