particle,hit_id,trajectory_step,x,y,z,r,phi,volume_id,layer_id,module_id,module_index,local_u_mm,local_v_mm,distance_to_module
-1,0,1427,31.51933151956812,0.5322894401526179,1.5759986008590912,31.523825774936302,0.016886108336633652,8,2,120,875,6.737102658749178,-33.42400139910748,0.0
-1,2,3220,71.07558647106127,0.8266852440846377,3.553850967124385,71.08039392616008,0.011630547275883259,8,4,240,1219,7.86629468608602,-31.446149032844165,0.0
-1,4,5208,114.98966542930799,-0.10088023356035312,5.749597695360429,114.98970968032623,-0.0008772980363307849,8,6,390,1817,6.909800643858491,-29.25040230461032,0.0
-1,6,7740,170.92330729171758,-0.04253820418594728,8.546335629309668,170.92331258502372,-0.0002488730412588252,8,8,585,2740,6.907459692701463,-26.453664370663876,0.0
-1,8,11735,259.1888614920195,-0.5096508481604528,12.959701866094058,259.1893625624252,-0.001966327520330197,13,2,421,5444,-21.0805524870183,12.959701866081097,0.0
-1,10,16255,359.09188129960654,0.7411892039837636,17.95495298425874,359.09264623036603,0.002064062681463806,13,4,589,6452,-19.61472100589686,17.954952984240784,0.0
-1,12,22575,498.76134229355097,-0.9716376428265956,24.938565457392123,498.7622887169535,-0.0019480988827395762,13,6,820,7859,-21.293084466121936,24.938565457367183,0.0
-1,14,29809,658.7493794647168,0.026374562598653277,32.938126635872806,658.7493799927003,4.0037324370600377e-05,13,8,1072,9749,-20.48992032452042,32.938126635839865,0.0
-1,16,37034,818.5312759700913,-0.08319611620402893,40.9273814993117,818.5312801981484,-0.00010164072938927464,17,2,1261,13688,-21.754144250884462,40.927381499270766,0.0
-1,18,45942,1015.5260196438395,-0.12594101794803791,50.77731640664213,1015.5260274531618,-0.0001240155494455531,17,4,1749,16696,-21.353477584018748,-52.222683593305646,0.0
1,0,1424,31.45071217768532,-0.6841666664536177,1.5725675308465932,31.458152846457622,-0.021750183996778947,8,2,120,875,5.518712707470417,-33.42743246911998,0.0
1,2,3223,71.13996002406024,-0.7115259854398608,3.5570696479339974,71.143518197042,-0.0100014430801256,8,4,240,1219,6.326737041515269,-31.44293035203456,0.0
1,4,5207,114.96957405763601,0.15103902361250704,5.748593099756757,114.96967326987107,0.0013137296363710607,8,6,390,1817,7.162519806863712,-29.25140690021399,0.0
1,6,7740,170.91175093118207,0.072961791157384,8.545758012193193,170.91176650478275,0.0004268974270501867,8,8,585,2740,7.023536384561238,-26.45424198778035,0.0
1,8,11739,259.27119958480995,0.6406104422372033,12.963819497469729,259.27199099764914,0.002470807168880228,13,2,421,5444,-19.9273479961716,12.963819497456763,0.0
1,10,16249,358.95260133429076,-0.7377270017852752,17.94798925978633,358.95335942958303,-0.002055218322258147,13,4,589,6452,-21.100181221594422,17.94798925976838,0.0
1,12,22584,498.9620308138582,0.8500620324887018,24.94860011853617,498.9627549219968,0.001703659111455674,13,6,820,7859,-19.460363650170898,24.94860011851122,0.0
1,14,29809,658.7444234337102,-0.015005741565529467,32.93787797390043,658.7444236046204,-2.2779307162429477e-05,13,8,1072,9749,-20.531596358593436,32.93787797386749,0.0
1,16,37036,818.5590252946184,0.1397673157374998,40.92876992638724,818.5590372271131,0.00017074799746896025,17,2,1261,13688,-21.52946065781466,40.928769926346305,0.0
1,18,45944,1015.55207292369,0.07438062689599073,50.77861997275653,1015.552075647567,7.324156854788786e-05,17,4,1749,16696,-21.151468834743117,-52.221380027191245,0.0
