event,phi0,lambda_eV,lambda_keV,n_hits,found,delta_s,delta_w,reason
0,0.0,3000.0,3.0,16,True,0.0,0.427542968183139,
1,0.39269908169872414,3000.0,3.0,16,True,4.797446494397719e-07,0.5091408998413335,
2,0.7853981633974483,3000.0,3.0,16,True,2.404517313236099e-07,0.3285407537974353,
3,1.1780972450961724,3000.0,3.0,16,True,3.8829778532320804e-07,0.5424717293719604,
4,1.5707963267948966,3000.0,3.0,16,True,4.00859510238328e-07,0.4928320056285775,
5,1.9634954084936207,3000.0,3.0,16,True,3.265062555495564e-07,0.4249528132137947,
6,2.356194490192345,3000.0,3.0,16,True,2.2625577058584605e-07,0.32854075381745645,
7,2.748893571891069,3000.0,3.0,16,True,2.9198035140335307e-07,0.5548661422917263,
8,3.141592653589793,3000.0,3.0,16,True,2.784525495861873e-07,0.413634952410128,
9,3.5342917352885173,3000.0,3.0,16,True,2.891352149687349e-07,0.494151584756776,
10,3.9269908169872414,3000.0,3.0,16,True,4.3702789881354284e-07,0.41469754548577503,
11,4.319689898685965,3000.0,3.0,16,True,3.003932122237686e-07,0.4243611034849069,
12,4.71238898038469,3000.0,3.0,16,True,3.4437861583846745e-07,0.48716539799856773,
13,5.105088062083414,3000.0,3.0,16,True,1.7898285083168582e-07,0.4274658114147663,
14,5.497787143782138,3000.0,3.0,16,True,4.031915629105878e-07,0.5809630596126591,
15,5.890486225480862,3000.0,3.0,16,True,2.8826934048106523e-07,0.53573816195033,
